Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2018-10-23,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-10-24,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-10-25,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-10-26,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-10-29,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-10-30,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-10-31,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-01,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-02,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-05,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-06,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-07,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-08,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-09,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-12,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-13,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-14,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-15,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-16,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-19,15060,15060,15060,15060,0,A32,0.0,0.0,0.0
2018-11-20,15060,15060,15060,15060,0,A32,0.0,15060.0,15060.0
2018-11-21,15060,15060,15060,15060,0,A32,0.0,15060.0,15060.0
2018-11-22,15060,15060,15060,15060,0,A32,0.0,15060.0,15060.0
2018-11-23,15060,15060,15060,15060,0,A32,0.0,15060.0,15060.0
2018-11-26,15060,15060,15060,15060,0,A32,0.0,15060.0,15060.0
2018-11-27,15060,15060,15060,15060,0,A32,0.0,15060.0,15060.0
2018-11-28,15060,15060,15060,15060,0,A32,0.0,15060.0,15060.0
2018-11-29,18610,18610,18610,18610,1000,A32,0.2357237715803453,16784.90912495694,13690.09087504306
2018-11-30,18610,18610,18610,18610,0,A32,0.0,17545.0,13285.0
2018-12-03,18610,18610,18610,18610,100,A32,0.0,18127.70709213271,13057.292907867288
2018-12-04,16290,16290,16290,16290,2000,A32,-0.12466415905427186,18194.22361220425,13113.776387795751
2018-12-05,16290,16290,16290,16290,0,A32,0.0,18254.779228442592,13176.220771557408
2018-12-06,16290,16290,16290,16290,0,A32,0.0,18309.367271941413,13244.632728058587
2018-12-07,16290,16290,16290,16290,0,A32,0.0,18357.938627948693,13319.061372051305
2018-12-10,16290,16290,16290,16290,0,A32,0.0,18400.39996800512,13399.60003199488
2018-12-11,16290,16290,16290,16290,0,A32,0.0,18436.61030057248,13486.389699427518
2018-12-12,16290,16290,16290,16290,0,A32,0.0,18466.37553396935,13579.624466030651
2018-12-13,16290,16290,16290,16290,0,A32,0.0,18489.440539805506,13679.559460194494
2018-12-14,16290,16290,16290,16290,0,A32,0.0,18505.47790835176,13786.52209164824
2018-12-17,16290,16290,16290,16290,0,A32,0.0,18514.0721319742,13900.927868025801
2018-12-18,16290,16290,16290,16290,0,A32,0.0,18514.69721912817,14023.302780871829
2018-12-19,16290,16290,16290,16290,0,A32,0.0,18506.684505045472,14154.315494954528
2018-12-20,16290,16290,16290,16290,0,A32,0.0,18489.17524303526,14294.82475696474
2018-12-21,17580,17580,17580,17580,100,A32,0.07918968692449346,18582.476689139407,14453.523310860593
2018-12-24,17580,17580,17580,17580,0,A32,0.0,18643.743983613902,14644.256016386096
2018-12-25,17580,17580,17580,17580,0,A32,0.0,18669.70524029387,14870.294759706127
2018-12-26,17580,17580,17580,17580,0,A32,0.0,18654.344676108754,15137.655323891246
2018-12-27,17580,17580,17580,17580,0,A32,0.0,18452.971013105303,15236.028986894697
2018-12-28,17580,17580,17580,17580,0,A32,0.0,18228.74510272541,15357.254897274588
2019-01-02,18610,18610,18610,18610,100,A32,0.058589306029579014,18228.74510272541,15357.254897274588
2019-01-03,18610,18610,18610,18610,0,A32,0.0,18526.787377871395,15291.212622128605
2019-01-04,18610,18610,18610,18610,0,A32,0.0,18775.845510032224,15274.154489967776
2019-01-07,18610,18610,18610,18610,100,A32,0.0,18986.544905983053,15295.455094016945
2019-01-08,18610,18610,18610,18610,0,A32,0.0,19164.606877739752,15349.393122260248
2019-01-09,18610,18610,18610,18610,0,A32,0.0,19313.165972281753,15432.834027718247
2019-01-10,18610,18610,18610,18610,0,A32,0.0,19433.704604817915,15544.295395182085
2019-01-11,18610,18610,18610,18610,0,A32,0.0,19526.421348897737,15683.578651102262
2019-01-14,18610,18610,18610,18610,0,A32,0.0,19590.276865528485,15851.723134471515
2019-01-15,18610,18610,18610,18610,0,A32,0.0,19622.744662598772,16051.255337401228
2019-01-16,18610,18610,18610,18610,0,A32,0.0,19619.110440517077,16286.889559482925
2019-01-17,18610,18610,18610,18610,0,A32,0.0,19570.7709545733,16567.2290454267
2019-01-18,18610,18610,18610,18610,0,A32,0.0,19460.562620963785,16909.437379036215
2019-01-21,18610,18610,18610,18610,0,A32,0.0,19245.010593160903,17356.989406839097
2019-01-22,18610,18610,18610,18610,0,A32,0.0,19244.506165897972,17460.493834102028
2019-01-23,18610,18610,18610,18610,0,A32,0.0,19228.0,17580.0
2019-01-24,18610,18610,18610,18610,0,A32,0.0,19191.067128139915,17719.932871860085
2019-01-25,18610,18610,18610,18610,0,A32,0.0,19125.000000000004,17888.999999999996
2019-01-28,18610,18610,18610,18610,0,A32,0.0,19007.466591184693,18109.533408815307
2019-01-29,18610,18610,18610,18610,0,A32,0.0,18610.0,18610.0
2019-01-30,18610,18610,18610,18610,0,A32,0.0,18610.0,18610.0
2019-01-31,18610,18610,18610,18610,0,A32,0.0,18610.0,18610.0
2019-02-01,18610,18610,18610,18610,0,A32,0.0,18610.0,18610.0
2019-02-11,18610,18610,18610,18610,0,A32,0.0,18610.0,18610.0
2019-02-12,18610,18610,18610,18610,0,A32,0.0,18610.0,18610.0
2019-02-13,16490,16490,16490,16490,100,A32,-0.11391724879097265,19428.086576030626,17579.913423969374
2019-02-14,15260,15260,15260,15260,100,A32,-0.07459066100667067,20022.967017169325,16650.032982830675
2019-02-15,15260,15260,15260,15260,0,A32,0.0,20316.08080891242,16021.919191087582
2019-02-18,15260,15260,15260,15260,0,A32,0.0,20481.6796305913,15521.320369408699
2019-02-19,13430,13430,13430,13430,100,A32,-0.11992136304062906,20902.98018503518,14582.01981496482
2019-02-20,13430,13430,13430,13430,0,A32,0.0,21128.953469734595,13838.046530265405
2019-02-21,13430,13430,13430,13430,0,A32,0.0,21231.166819190235,13217.833180809765
2019-02-22,13430,13430,13430,13430,0,A32,0.0,21241.102764523384,12689.897235476616
2019-02-25,13430,13430,13430,13430,0,A32,0.0,21175.451890544362,12237.54810945564
2019-02-26,13430,13430,13430,13430,0,A32,0.0,21043.763156086694,11851.236843913306
2019-02-27,13430,13430,13430,13430,0,A32,0.0,20851.448745161157,11525.551254838843
2019-02-28,13430,13430,13430,13430,0,A32,0.0,20601.105612634696,11257.894387365302
2019-03-01,13430,13430,13430,13430,0,A32,0.0,20293.059788688515,11047.940211311485
2019-03-04,13430,13430,13430,13430,0,A32,0.0,19925.430770403997,10897.569229596005
2019-03-05,13430,13430,13430,13430,0,A32,0.0,19493.74809242688,10811.251907573122
2019-03-06,13430,13430,13430,13430,0,A32,0.0,18989.919290062968,10797.080709937032
2019-03-07,13430,13430,13430,13430,0,A32,0.0,18399.897588568834,10869.102411431166
2019-03-08,15380,15380,15380,15380,100,A32,0.14519731943410275,17793.259628402575,11152.740371597427
2019-03-11,15380,15380,15380,15380,300,A32,0.0,17079.418170755776,11543.581829244224
2019-03-12,15380,15380,15380,15380,0,A32,0.0,16172.36495222796,12127.63504777204
2019-03-13,15380,15380,15380,15380,100,A32,0.0,15906.984206827743,12282.015793172257
2019-03-14,15380,15380,15380,15380,200,A32,0.0,15929.100284370534,12271.899715629466
2019-03-15,15380,15380,15380,15380,100,A32,0.0,15950.9974925437,12262.0025074563
2019-03-18,15380,15380,15380,15380,0,A32,0.0,15972.681442763043,12252.318557236957
2019-03-19,15380,15380,15380,15380,0,A32,0.0,16120.601999370878,12299.398000629122
2019-03-20,15380,15380,15380,15380,0,A32,0.0,16247.72550235791,12367.27449764209
2019-03-21,15380,15380,15380,15380,200,A32,0.0,16355.0,12455.0
2019-03-22,15380,15380,15380,15380,100,A32,0.0,16442.72550235791,12562.27449764209
2019-03-25,15380,15380,15380,15380,100,A32,0.0,16510.60199937088,12689.398000629122
2019-03-26,15380,15380,15380,15380,0,A32,0.0,16557.68144276304,12837.318557236957
2019-03-27,15570,15570,15570,15570,100,A32,0.012353706111833507,16606.00464889769,13002.995351102309
2019-03-28,15570,15570,15570,15570,0,A32,0.0,16625.84273119467,13197.157268805331
2019-03-29,15570,15570,15570,15570,0,A32,0.0,16612.529798968637,13424.470201031363
2019-04-01,15570,15570,15570,15570,0,A32,0.0,16557.73566496579,13693.264335034211
2019-04-02,15570,15570,15570,15570,18,A32,0.0,16444.96649438242,14020.033505617579
2019-04-03,15570,15570,15570,15570,0,A32,0.0,16232.393610683823,14446.606389316177
2019-04-04,15570,15570,15570,15570,0,A32,0.0,15627.748448269205,15265.251551730795
2019-04-05,15570,15570,15570,15570,0,A32,0.0,15642.161220451508,15269.838779548492
2019-04-08,15570,15570,15570,15570,0,A32,0.0,15654.547613050245,15276.452386949755
2019-04-09,15570,15570,15570,15570,100,A32,0.0,15664.999999999987,15285.000000000013
2019-04-10,15570,15570,15570,15570,0,A32,0.0,15673.547613050245,15295.452386949755
2019-04-11,15570,15570,15570,15570,0,A32,0.0,15680.161220451508,15307.838779548492
2019-04-12,15570,15570,15570,15570,45,A32,0.0,15684.748448269205,15322.251551730795
2019-04-16,15570,15570,15570,15570,0,A32,0.0,15687.137876408307,15338.862123591693
2019-04-17,15570,15570,15570,15570,0,A32,0.0,15687.044826719028,15357.955173280972
2019-04-18,15570,15570,15570,15570,0,A32,0.0,15683.999999999984,15380.000000000016
2019-04-19,15570,15570,15570,15570,0,A32,0.0,15677.187140142296,15405.812859857704
2019-04-22,15570,15570,15570,15570,0,A32,0.0,15664.999999999978,15437.000000000022
2019-04-23,15570,15570,15570,15570,0,A32,0.0,15643.319079927242,15477.680920072758
2019-04-24,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-04-25,15570,15570,15570,15570,3,A32,0.0,15570.0,15570.0
2019-04-26,15570,15570,15570,15570,10,A32,0.0,15570.0,15570.0
2019-05-02,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-03,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-06,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-07,15570,15570,15570,15570,302,A32,0.0,15570.0,15570.0
2019-05-08,15570,15570,15570,15570,500,A32,0.0,15570.0,15570.0
2019-05-09,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-10,15570,15570,15570,15570,200,A32,0.0,15570.0,15570.0
2019-05-13,15570,15570,15570,15570,300,A32,0.0,15570.0,15570.0
2019-05-14,15570,15570,15570,15570,300,A32,0.0,15570.0,15570.0
2019-05-15,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-16,15570,15570,15570,15570,400,A32,0.0,15570.0,15570.0
2019-05-17,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-20,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-21,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-22,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-23,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-24,15570,15570,15570,15570,0,A32,0.0,15570.0,15570.0
2019-05-27,16170,16170,15260,15260,1100,A32,-0.019910083493898556,15689.625867249742,15419.374132750258
2019-05-28,16120,16120,16120,16120,0,A32,0.056356487549148016,15863.325434328279,15300.674565671721
2019-05-29,16120,16120,16120,16120,0,A32,0.0,15975.531419416415,15243.468580583585
2019-05-30,16120,16120,16120,16120,0,A32,0.0,16064.509064231386,15209.490935768614
2019-05-31,16120,16120,16120,16120,0,A32,0.0,16139.36734989889,15189.63265010111
2019-06-03,16120,16120,16120,15260,10,A32,-0.053349875930521096,16154.446337408825,15143.553662591175
2019-06-04,16120,16120,16120,16120,0,A32,0.056356487549148016,16220.16441855247,15132.83558144753
2019-06-05,16120,16120,16120,15260,35,A32,-0.053349875930521096,16232.870614737281,15089.129385262719
2019-06-06,16120,16120,16120,15690,20,A32,0.02817824377457412,16237.441933942444,15096.558066057556
2019-06-07,16120,16120,16120,16120,0,A32,0.027405991077119163,16295.781132250127,15093.218867749873
2019-06-10,15690,15690,15690,15690,135,A32,-0.026674937965260548,16299.080821610578,15101.919178389422
2019-06-11,15690,15690,15690,15690,800,A32,0.0,16302.12656085839,15110.87343914161
2019-06-12,15690,15690,15690,15690,0,A32,0.0,16304.914550800362,15120.085449199638
2019-06-13,15690,15690,15690,15690,0,A32,0.0,16307.440574251761,15129.559425748239
2019-06-14,15690,15690,15690,15690,0,A32,0.0,16309.699965823645,15139.300034176355
2019-06-17,15690,15690,15690,15690,0,A32,0.0,16311.687577293247,15149.312422706753
2019-06-18,13810,13810,13810,13810,1000,A32,-0.11982154238368392,16661.96799851687,14623.032001483129
2019-06-19,13810,13810,13810,13810,20,A32,0.0,16850.223350102173,14258.776649897827
2019-06-20,13810,13810,13810,13810,0,A32,0.0,16968.675422512297,13964.324577487703
2019-06-21,13810,13810,13810,13810,0,A32,0.0,17043.495795790488,13713.504204209514
2019-06-24,13170,13810,13170,13810,1200,A32,0.0,17106.1155518466,13505.884448153398
2019-06-25,14420,14420,14420,14420,120,A32,0.04417089065894286,17019.887433943546,13422.112566056454
2019-06-26,14420,14420,14420,14420,0,A32,0.0,16917.509472329573,13354.490527670427
2019-06-27,14420,14420,14420,14420,0,A32,0.0,16798.49992846924,13303.500071530761
2019-06-28,14100,14100,14100,14100,500,A32,-0.02219140083217752,16671.998838559422,13228.00116144058
2019-07-01,14100,14100,14100,14100,1,A32,0.0,16646.16760886752,13137.832391132479
2019-07-02,14420,14740,14420,14740,601,A32,0.04539007092198588,16484.650986218225,13161.349013781777
2019-07-03,14500,14500,14500,14500,0,A32,-0.016282225237449155,16439.68425991184,13130.31574008816
2019-07-04,14740,14870,14740,14870,2800,A32,0.02551724137931033,16346.777589062187,13141.222410937813
2019-07-05,14800,14800,14800,14800,0,A32,-0.00470746469401484,16152.253709508643,13203.746290491357
2019-07-08,14800,14800,14800,14800,0,A32,0.0,16034.803321911426,13232.196678088574
2019-07-09,14800,14800,14800,14800,0,A32,0.0,15907.345933357401,13270.654066642599
2019-07-10,14420,14420,13810,13810,2600,A32,-0.06689189189189193,15752.62474530362,13237.37525469638
2019-07-11,14100,14610,13980,14610,11100,A32,0.057929036929761146,15575.45846111702,13306.54153888298
2019-07-12,13980,13980,13980,13980,0,A32,-0.043121149897330624,15349.612166709569,13361.387833290431
2019-07-15,13980,13980,13980,13980,0,A32,0.0,15064.380261587607,13475.619738412393
2019-07-16,14050,14740,14050,14740,333,A32,0.05436337625178833,15106.59556384022,13526.40443615978
2019-07-17,14500,14500,14500,14500,0,A32,-0.016282225237449155,15109.232154422374,13592.767845577626
2019-07-18,14740,14740,14740,14740,500,A32,0.016551724137930934,15130.981424440997,13664.018575559003
2019-07-19,14740,14740,14740,14740,0,A32,0.0,15139.540077925058,13748.459922074942
2019-07-22,14740,14740,14740,14740,0,A32,0.0,15132.573983276066,13848.426016723934
2019-07-23,14740,14740,14740,14740,0,A32,0.0,15156.646906475755,13856.353093524245
2019-07-24,14740,14740,14740,14740,0,A32,0.0,15179.063020585225,13865.936979414775
2019-07-25,14740,14740,14740,14740,0,A32,0.0,15199.87054666805,13877.12945333195
2019-07-26,14500,14500,14500,14500,100,A32,-0.016282225237449155,15189.095750064964,13927.904249935036
2019-07-29,15040,15040,15040,15040,100,A32,0.03724137931034477,15232.507974430944,13978.492025569056
2019-07-30,15040,15040,15040,15040,33,A32,0.0,15273.47702869243,13967.52297130757
2019-07-31,14740,14740,14740,14740,200,A32,-0.019946808510638347,15284.999042144886,13980.000957855114
2019-08-01,15040,15040,15040,15040,400,A32,0.020352781546811416,15309.876670246462,13972.123329753538
2019-08-02,15230,15230,15230,15230,100,A32,0.012632978723404298,15376.55531998578,13948.44468001422
2019-08-05,14740,15690,14740,15690,1120,A32,0.030203545633617823,15549.21374959092,13864.78625040908
2019-08-06,15610,15610,15610,15610,0,A32,-0.005098789037603524,15677.077861182157,13817.922138817843
2019-08-07,14740,15690,14740,15690,1100,A32,0.005124919923126248,15752.900570550619,13930.099429449381
2019-08-08,15690,15690,15690,15690,100,A32,0.0,15871.337588946026,13919.662411053974
2019-08-09,15690,15690,15690,15690,0,A32,0.0,15919.954737993261,14042.045262006739
2019-08-12,15690,15690,15690,15690,300,A32,0.0,15933.9854465638,14199.0145534362
