Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2017-03-16,13280,13440,13170,13300,1444720,AAA,0.0,0.0,0.0
2017-03-17,13390,13720,13300,13580,696740,AAA,0.021052631578947434,0.0,0.0
2017-03-20,13580,13630,13500,13580,338920,AAA,0.0,0.0,0.0
2017-03-21,13580,13580,13250,13300,1218970,AAA,-0.020618556701030966,0.0,0.0
2017-03-22,13610,13610,13280,13300,770160,AAA,0.0,0.0,0.0
2017-03-23,13390,13390,13220,13300,510340,AAA,0.0,0.0,0.0
2017-03-24,13330,13410,13190,13220,583700,AAA,-0.006015037593984918,0.0,0.0
2017-03-27,13220,13330,13000,13000,1161030,AAA,-0.016641452344931973,0.0,0.0
2017-03-28,13060,13280,12920,13030,655400,AAA,0.002307692307692344,0.0,0.0
2017-03-29,13030,13360,13030,13170,810850,AAA,0.01074443591711427,0.0,0.0
2017-03-30,13280,13410,13170,13360,1379080,AAA,0.014426727410782103,0.0,0.0
2017-03-31,13330,13610,13280,13440,666400,AAA,0.0059880239520957446,0.0,0.0
2017-04-03,13550,13550,13280,13280,531880,AAA,-0.011904761904761862,0.0,0.0
2017-04-04,13390,13660,13220,13610,963720,AAA,0.02484939759036142,0.0,0.0
2017-04-05,13690,13960,13660,13770,2565740,AAA,0.011756061719323974,0.0,0.0
2017-04-07,14100,14100,13800,13910,2062950,AAA,0.010167029774872827,0.0,0.0
2017-04-10,13990,14180,13990,14100,1674730,AAA,0.013659237958303372,0.0,0.0
2017-04-11,14130,14210,13930,13990,2071730,AAA,-0.007801418439716268,0.0,0.0
2017-04-12,13990,14370,13880,14260,2746840,AAA,0.019299499642601914,0.0,0.0
2017-04-13,14260,14590,13930,13930,1463000,AAA,-0.023141654978962145,0.0,0.0
2017-04-14,13880,14040,13610,13910,1625680,AAA,-0.001435750179468731,14272.044443072788,12831.955556927212
2017-04-17,13930,14130,13330,13330,1397130,AAA,-0.04169662113587347,14265.818800527702,12813.181199472298
2017-04-18,13390,13720,13220,13720,1034500,AAA,0.02925731432858214,14276.932063918335,12816.067936081665
2017-04-19,13720,13880,13660,13720,658430,AAA,0.0,14292.506896518922,12842.493103481078
2017-04-20,13720,13910,13610,13720,615600,AAA,0.0,14305.585071661655,12871.414928338345
2017-04-21,13820,13850,13520,13630,624170,AAA,-0.006559766763848396,14309.854594934302,12900.145405065698
2017-04-24,13610,13820,13500,13720,534910,AAA,0.006603081438004477,14313.60807484991,12946.39192515009
2017-04-25,13720,13820,13630,13720,444610,AAA,0.0,14285.980644859177,13046.019355140823
2017-04-26,13740,14100,13690,13930,1015430,AAA,0.015306122448979664,14267.16184694745,13154.83815305255
2017-04-27,14040,14150,13930,14020,733410,AAA,0.006460875807609456,14265.994878023186,13241.005121976814
2017-04-28,13990,14150,13820,14150,767910,AAA,0.00927246790299563,14299.83725198529,13286.16274801471
2017-05-03,14260,15140,14260,15140,3829480,AAA,0.06996466431095416,14630.292496307122,13125.707503692878
2017-05-04,15360,15420,14780,14810,1878120,AAA,-0.02179656538969621,14757.456412266569,13151.543587733431
2017-05-05,14840,15640,14810,15360,1834810,AAA,0.037137069547602986,15034.70539436431,13049.29460563569
2017-05-08,15690,16070,15580,15660,2631820,AAA,0.01953125,15344.196567851379,12928.803432148621
2017-05-09,15770,16020,15420,15690,1536630,AAA,0.0019157088122605526,15603.636060046321,12847.363939953679
2017-05-10,15690,16730,15690,16320,2333650,AAA,0.040152963671128195,15987.018403411486,12685.981596588514
2017-05-11,16379,17010,16350,17010,2200480,AAA,0.04227941176470584,16497.105682714893,12477.894317285105
2017-05-12,16950,17200,16730,16950,1376350,AAA,-0.003527336860670194,16895.45200081286,12348.54799918714
2017-05-15,17120,17360,16570,16620,2671110,AAA,-0.019469026548672552,17164.580355802107,12348.419644197893
2017-05-16,16460,16510,15800,15800,3514970,AAA,-0.04933814681107096,17267.111752382327,12434.888247617673
2017-05-17,15740,16379,15530,16270,1930620,AAA,0.02974683544303791,17383.62025477652,12612.379745223478
2017-05-18,16180,16350,15960,15960,992280,AAA,-0.01905347264904733,17455.088484471322,12764.911515528678
2017-05-19,15990,16980,15850,16760,1363210,AAA,0.05012531328320802,17621.04726531708,12902.952734682918
2017-05-22,16840,17230,16460,16460,1721570,AAA,-0.017899761336515496,17701.50211726287,13096.49788273713
2017-05-23,16460,17010,16290,16620,1482090,AAA,0.009720534629404698,17758.570360870894,13338.429639129106
2017-05-24,16620,17770,16620,17770,2731670,AAA,0.06919374247894106,17995.70844431966,13506.291555680338
2017-05-25,17770,18270,17560,17830,1434210,AAA,0.003376477208778761,18172.182964686057,13740.817035313941
2017-05-26,17830,18130,17750,18100,814300,AAA,0.015143017386427315,18363.394868989646,13966.605131010354
2017-05-29,18100,18760,18100,18490,1093860,AAA,0.021546961325966896,18578.03214180564,14198.967858194359
2017-05-30,18490,18490,17200,17200,2555080,AAA,-0.06976744186046513,18498.180625287303,14583.819374712697
2017-05-31,16460,17010,16070,16730,2339300,AAA,-0.027325581395348797,18469.786078463796,14771.213921536206
2017-06-01,16730,17800,16730,17720,1001930,AAA,0.05917513448894196,18475.203323188907,15056.796676811095
2017-06-02,17830,18100,17720,17720,1003960,AAA,0.0,18512.59939825606,15255.40060174394
2017-06-05,17450,17830,17390,17660,699670,AAA,-0.003386004514672636,18543.851274961817,15424.148725038185
2017-06-06,17830,18080,17560,17830,935390,AAA,0.00962627406568517,18572.75436560855,15609.24563439145
2017-06-07,17830,18210,17560,17830,1528370,AAA,0.0,18637.25864777332,15695.741352226682
2017-06-08,17830,17860,16900,17560,2543700,AAA,-0.015143017386427315,18672.572284333775,15715.427715666225
2017-06-09,17720,17880,17390,17560,912080,AAA,0.0,18706.84240309046,15742.15759690954
2017-06-12,17560,17560,16810,16840,1636130,AAA,-0.04100227790432798,18702.925977690185,15768.074022309813
2017-06-13,16950,17340,16790,17170,1292960,AAA,0.019596199524940516,18616.743691662617,15991.25630833738
2017-06-14,17450,17560,17120,17230,1214630,AAA,0.0034944670937682165,18577.293434243405,16126.706565756593
2017-06-15,17230,17280,16730,17200,1626060,AAA,-0.0017411491584445882,18464.264728532766,16363.735271467236
2017-06-16,17010,17340,16900,17120,471610,AAA,-0.0046511627906976605,18448.61398770625,16415.38601229375
2017-06-19,17360,18270,17360,18100,3345220,AAA,0.05724299065420557,18466.310873612183,16561.689126387817
2017-06-20,18210,18600,18100,18270,1735670,AAA,0.00939226519337022,18509.807724701812,16683.192275298188
2017-06-21,18300,19310,17940,19310,2019660,AAA,0.056923918992884515,18853.165630591993,16493.834369408007
2017-06-22,19530,19910,19150,19200,1956120,AAA,-0.005696530295183799,19096.246654047925,16387.753345952075
2017-06-23,19150,19420,18930,19260,1120050,AAA,0.0031250000000000444,19301.918772770354,16298.081227229648
2017-06-26,19480,19690,19200,19260,1362650,AAA,0.0,19445.027621922512,16231.972378077488
2017-06-27,19480,19480,18710,18870,2618210,AAA,-0.02024922118380057,19560.384570239847,16283.615429760155
2017-06-28,18870,18980,18650,18870,2040920,AAA,0.0,19620.878136039315,16437.121863960685
2017-06-29,18980,19200,18870,19200,1249990,AAA,0.01748807631160565,19766.527577168472,16439.472422831528
2017-06-30,19200,19420,18950,18950,1297990,AAA,-0.01302083333333337,19857.52657982679,16471.47342017321
2017-07-03,18900,19040,18760,18760,925410,AAA,-0.010026385224274459,19914.8639727209,16524.1360272791
2017-07-04,18710,18820,18320,18520,1757830,AAA,-0.01279317697228144,19944.330145267486,16563.669854732514
2017-07-05,18520,18950,18380,18820,1005750,AAA,0.016198704103671746,19999.239071909356,16607.760928090644
2017-07-06,18840,19390,18760,19040,1050880,AAA,0.011689691817215797,20066.154790062195,16688.845209937805
2017-07-07,19200,19420,18870,18870,1343590,AAA,-0.008928571428571397,20101.084436933175,16784.915563066825
2017-07-10,18760,19090,18490,18540,991600,AAA,-0.01748807631160576,20014.03633872123,17041.96366127877
2017-07-11,18490,18540,17770,18320,1796130,AAA,-0.011866235167206085,19940.084438121154,17230.915561878846
2017-07-12,18430,18650,18380,18490,746460,AAA,0.009279475982532759,19854.05837685282,17442.94162314718
2017-07-13,18760,18980,18600,18730,1256090,AAA,0.012979989183342422,19730.81310391146,17719.18689608854
2017-07-14,18730,18840,18540,18540,1095860,AAA,-0.010144153764014896,19491.079851527866,18100.920148472134
2017-07-17,18430,18520,17830,17940,1896430,AAA,-0.032362459546925515,19517.7561236468,18058.2438763532
2017-07-18,17830,17830,17280,17280,1360980,AAA,-0.03678929765886285,19699.692488526623,17777.307511473377
2017-07-19,17340,18020,17280,17770,1177730,AAA,0.0283564814814814,19672.66319157691,17650.33680842309
2017-07-20,17770,18320,17580,17990,738940,AAA,0.012380416432189012,19620.80194155532,17581.19805844468
2017-07-21,17880,18080,17560,17610,567650,AAA,-0.021122846025569797,19577.901245987563,17459.098754012437
2017-07-24,17390,17560,17250,17340,727790,AAA,-0.015332197614991494,19541.99765520076,17303.00234479924
2017-07-25,17500,17770,17340,17750,508550,AAA,0.023644752018454396,19502.779455063763,17230.220544936237
2017-07-26,17770,18100,17720,18100,616510,AAA,0.019718309859154903,19445.454249622777,17210.545750377223
2017-07-27,18100,18380,17880,18210,1079220,AAA,0.006077348066298338,19322.344337054143,17234.655662945857
2017-07-28,18080,18430,18080,18240,606970,AAA,0.0016474464579900872,19240.33845809735,17245.66154190265
2017-07-31,18240,18490,17940,18050,1292080,AAA,-0.01041666666666663,19178.908770806607,17236.091229193393
2017-08-01,17990,18050,17720,17720,889480,AAA,-0.018282548476454274,19149.963739788906,17185.036260211094
2017-08-02,17610,17770,17450,17660,684750,AAA,-0.003386004514672636,19067.695700261695,17151.304299738305
2017-08-03,17660,18100,17610,17880,576810,AAA,0.01245753114382775,18912.92382135625,17190.07617864375
2017-08-04,17860,17970,17640,17660,681990,AAA,-0.01230425055928408,18780.98480998055,17201.01519001945
2017-08-07,17660,17770,17450,17690,1079770,AAA,0.001698754246885592,18706.583768458342,17190.416231541658
2017-08-08,17770,18080,17660,17880,1072870,AAA,0.010740531373657491,18665.479702021647,17187.520297978353
2017-08-09,17880,17990,17450,17660,762840,AAA,-0.01230425055928408,18584.928567783885,17185.071432216115
2017-08-10,17560,17800,17560,17660,324520,AAA,0.0,18419.52295873546,17243.47704126454
2017-08-11,17660,17940,17560,17660,757710,AAA,0.0,18280.97239031176,17294.02760968824
2017-08-14,17830,18610,17780,18610,1794540,AAA,0.05379388448471123,18429.00986834097,17212.99013165903
2017-08-15,18670,18670,18330,18450,970210,AAA,-0.008597528210639416,18493.160329498332,17265.839670501668
