Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2024-01-11,13800,13800,13800,13800,474900,AAH,0.0,0.0,0.0
2024-01-12,15800,15800,15800,15800,85000,AAH,0.14492753623188404,0.0,0.0
2024-01-15,18100,18100,18100,18100,300,AAH,0.14556962025316467,0.0,0.0
2024-01-16,20800,20800,20800,20800,1048000,AAH,0.149171270718232,0.0,0.0
2024-01-17,23900,23900,18000,20800,63700,AAH,0.0,0.0,0.0
2024-01-18,20000,21000,20000,20000,1040800,AAH,-0.038461538461538436,0.0,0.0
2024-01-19,20000,20500,20000,20500,1037700,AAH,0.02499999999999991,0.0,0.0
2024-01-22,20500,20500,19500,20100,180000,AAH,-0.019512195121951237,0.0,0.0
2024-01-23,20100,20300,19800,20000,1008500,AAH,-0.00497512437810943,0.0,0.0
2024-01-24,20000,20000,19800,20000,1014000,AAH,0.0,0.0,0.0
2024-01-25,19800,20000,19100,19900,168200,AAH,-0.0050000000000000044,0.0,0.0
2024-01-26,19900,20400,19900,20400,1015100,AAH,0.025125628140703515,0.0,0.0
2024-01-29,20800,20800,19800,20000,537300,AAH,-0.019607843137254943,0.0,0.0
2024-01-30,20000,20000,19700,19800,276900,AAH,-0.010000000000000009,0.0,0.0
2024-01-31,19800,19800,19500,19700,760100,AAH,-0.005050505050505083,0.0,0.0
2024-02-01,19700,19700,19500,19500,1174800,AAH,-0.010152284263959421,0.0,0.0
2024-02-02,19500,19700,18200,19700,1312100,AAH,0.01025641025641022,0.0,0.0
2024-02-05,18900,18900,18900,18900,1000,AAH,-0.040609137055837574,0.0,0.0
2024-02-06,18500,18800,18200,18300,118100,AAH,-0.031746031746031744,0.0,0.0
2024-02-07,18300,18400,17500,17500,113300,AAH,-0.04371584699453557,0.0,0.0
2024-02-15,18000,18000,17900,18000,97800,AAH,0.02857142857142847,21853.249885821573,16926.750114178427
2024-02-16,17800,17900,17800,17900,100300,AAH,-0.005555555555555536,21467.282941162346,17522.717058837654
2024-02-19,17800,17800,17600,17700,100300,AAH,-0.011173184357541888,21510.55889131216,17439.44110868784
2024-02-20,17600,17600,17000,17400,103100,AAH,-0.016949152542372836,21435.234728850322,17174.765271149678
2024-02-21,17500,17500,17400,17400,560800,AAH,0.0,21303.202020107903,16966.797979892097
2024-02-22,17500,18000,17500,17900,2001000,AAH,0.028735632183908066,21223.718304614336,16836.281695385664
2024-02-23,17500,17600,17500,17600,105700,AAH,-0.016759776536312887,21054.124247248183,16715.875752751817
2024-02-26,17600,17900,17600,17600,3200700,AAH,0.0,20922.77599394852,16597.22400605148
2024-02-27,17600,17600,17000,17400,1040700,AAH,-0.011363636363636354,20791.573500947863,16468.426499052137
2024-02-28,17600,17600,17000,17000,580700,AAH,-0.02298850574712641,20656.786622524127,16303.213377475873
2024-02-29,17500,17500,17400,17400,76000,AAH,0.0235294117647058,20477.710531372566,16232.289468627434
2024-03-01,17500,17500,16800,17300,137700,AAH,-0.005747126436781658,20148.332620473207,16251.667379526793
2024-03-04,17400,17400,17000,17300,126200,AAH,0.0,19864.194264108242,16265.805735891758
2024-03-05,17000,17000,16800,17000,151000,AAH,-0.017341040462427793,19593.382450159435,16256.617549840565
2024-03-06,16900,16900,16900,16900,110300,AAH,-0.00588235294117645,19296.654722481293,16273.345277518707
2024-03-07,16900,17000,16900,17000,143300,AAH,0.00591715976331364,18985.745073534123,16334.254926465877
2024-03-08,16900,16900,16300,16900,133200,AAH,-0.00588235294117645,18501.019877474457,16538.980122525543
2024-03-11,16900,16900,16900,16900,129600,AAH,0.0,18206.3841300535,16633.6158699465
2024-03-12,17000,17000,16800,16800,230400,AAH,-0.00591715976331364,18064.652694012882,16625.347305987118
2024-03-13,16900,17000,16800,17000,128300,AAH,0.011904761904761862,18051.02667529988,16588.97332470012
2024-03-14,17000,17000,17000,17000,150600,AAH,0.0,17942.60686883201,16597.39313116799
2024-03-15,16900,17000,16900,17000,132400,AAH,0.0,17841.035713250454,16608.964286749546
2024-03-18,17000,17000,16300,16700,129800,AAH,-0.01764705882352946,17791.035713250454,16558.964286749546
2024-03-19,16700,17400,15600,16100,273200,AAH,-0.0359281437125748,17873.93717019137,16346.06282980863
2024-03-20,17000,17200,15700,15800,258200,AAH,-0.018633540372670843,17970.4254356407,16089.574564359302
2024-03-21,17200,17200,15000,15300,316700,AAH,-0.03164556962025311,18024.277545804416,15775.722454195586
2024-03-22,17000,17200,14300,15000,300100,AAH,-0.019607843137254943,18119.221998041834,15420.778001958166
2024-03-25,16400,16400,14100,15000,296700,AAH,0.0,18137.19738177703,15142.802618222968
2024-03-26,15000,15000,13300,13500,402600,AAH,-0.09999999999999998,18431.42895669591,14458.571043304091
2024-03-27,13700,13700,11800,11800,143500,AAH,-0.12592592592592589,19000.865763845995,13369.134236154003
2024-03-28,11800,11800,10100,10200,344000,AAH,-0.13559322033898302,19603.82256794362,12046.177432056382
2024-03-29,10200,10600,9900,10300,267000,AAH,0.009803921568627416,19886.29232765184,11063.707672348159
2024-04-01,10400,10400,9600,9700,192100,AAH,-0.058252427184465994,20083.57695139606,10106.423048603941
2024-04-02,9400,10200,8500,8500,1910100,AAH,-0.12371134020618557,20338.897600062995,9001.102399937005
2024-04-03,8700,9000,7800,8900,762500,AAH,0.04705882352941182,20365.933070498722,8174.066929501276
2024-04-04,8800,9000,7900,8100,311000,AAH,-0.0898876404494382,20343.550452362855,7306.449547637143
2024-04-05,8000,8100,7800,7900,125600,AAH,-0.024691358024691357,20216.893012902205,6533.106987097796
2024-04-08,7900,8300,7600,7800,1663400,AAH,-0.012658227848101222,19970.843921120366,5869.156078879635
