Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2020-07-23,9900,9900,9900,9900,88000,AAS,0.0,0.0,0.0
2020-07-24,11370,11370,11370,11370,145600,AAS,0.14848484848484844,0.0,0.0
2020-07-27,13060,13060,13060,13060,456200,AAS,0.148636763412489,0.0,0.0
2020-07-28,13350,14980,13170,14980,357600,AAS,0.1470137825421134,0.0,0.0
2020-07-29,16510,16510,12270,14420,197100,AAS,-0.03738317757009346,0.0,0.0
2020-07-30,14190,14190,12220,12440,89000,AAS,-0.13730929264909852,0.0,0.0
2020-07-31,12950,13230,12440,12440,42000,AAS,0.0,0.0,0.0
2020-08-03,12780,13230,12440,13120,53800,AAS,0.05466237942122176,0.0,0.0
2020-08-04,13010,14140,13010,14080,77700,AAS,0.07317073170731714,0.0,0.0
2020-08-05,13800,15720,13800,15720,226091,AAS,0.11647727272727271,0.0,0.0
2020-08-06,16970,17530,15610,17530,145300,AAS,0.11513994910941472,0.0,0.0
2020-08-07,19230,20020,14870,19340,437300,AAS,0.10325156873930408,0.0,0.0
2020-08-10,17920,17920,15380,15380,75200,AAS,-0.20475698035160295,0.0,0.0
2020-08-11,13970,16170,13740,13740,81600,AAS,-0.10663198959687903,0.0,0.0
2020-08-12,12160,13170,11880,12500,667800,AAS,-0.09024745269286749,0.0,0.0
2020-08-13,12440,13800,12440,13800,329100,AAS,0.10400000000000009,0.0,0.0
2020-08-14,13690,15380,13690,15380,357500,AAS,0.11449275362318834,0.0,0.0
2020-08-17,15270,17130,12720,12720,1878291,AAS,-0.17295188556566965,0.0,0.0
2020-08-18,13010,13970,12380,13910,293011,AAS,0.09355345911949686,0.0,0.0
2020-08-19,12830,14140,10910,12720,631500,AAS,-0.085549964054637,0.0,0.0
2020-08-20,12610,12900,10570,10910,308680,AAS,-0.14229559748427678,17915.255897195406,10040.744102804594
2020-08-21,10180,11650,9960,9960,385110,AAS,-0.08707607699358388,18072.909343629988,9742.090656370012
2020-08-24,10520,12040,8990,10690,967366,AAS,0.07329317269076308,18173.207568078866,9404.792431921134
2020-08-25,10690,11650,8990,9670,614056,AAS,-0.09541627689429377,18219.120406293507,8827.879593706493
2020-08-26,9620,11090,8650,9440,359010,AAS,-0.02378490175801451,18272.009279631202,8276.990720368796
2020-08-27,9330,9330,8200,8200,132850,AAS,-0.1313559322033898,18522.00135085614,7602.998649143863
2020-08-28,7910,7910,7180,7180,325603,AAS,-0.12439024390243902,18830.48159506394,6768.5184049360605
2020-08-31,6330,6620,6100,6100,192133,AAS,-0.1504178272980501,19144.47274486687,5752.527255133128
2020-09-01,5940,7070,5260,5830,1666610,AAS,-0.04426229508196722,19273.67752804724,4798.322471952762
2020-09-03,6100,6500,5200,5370,257730,AAS,-0.07890222984562612,19100.41868856426,3936.5813114357406
2020-09-04,5370,5370,4520,5090,77055,AAS,-0.05214152700186214,18444.708462940063,3348.2915370599385
2020-09-07,5030,5310,4810,5090,275111,AAS,0.0,17070.898866688833,3297.1011333111655
2020-09-08,5030,5370,4810,5200,255900,AAS,0.0216110019646365,16454.48523119565,2895.514768804349
2020-09-09,5200,5370,4970,5200,281112,AAS,0.0,16025.34343234869,2470.6565676513083
2020-09-10,5370,5940,4520,4520,973831,AAS,-0.13076923076923075,15751.990366500588,1946.0096334994114
2020-09-11,4810,5310,4410,4580,433010,AAS,0.01327433628318575,15136.598669353507,1639.401330646493
2020-09-14,4700,4860,4470,4700,97701,AAS,0.026200873362445476,13965.105955553376,1742.8940444466252
2020-09-15,4630,4630,4410,4410,146028,AAS,-0.0617021276595745,13294.41077459347,1582.5892254065284
2020-09-16,4470,4470,4180,4180,92810,AAS,-0.05215419501133789,12157.042170818591,1746.9578291814087
2020-09-17,4130,4180,3840,3840,191910,AAS,-0.08133971291866027,11154.166591933601,1861.833408066398
