Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,7340,7340,7340,7340,0,ABI,0.0,0.0,0.0
2016-09-05,7640,7780,7460,7460,22400,ABI,0.016348773841961872,0.0,0.0
2016-09-06,7460,7690,7460,7460,6700,ABI,0.0,0.0,0.0
2016-09-07,7640,7640,7460,7460,1400,ABI,0.0,0.0,0.0
2016-09-08,7340,7460,7260,7460,29900,ABI,0.0,0.0,0.0
2016-09-09,7600,7600,7370,7410,2700,ABI,-0.006702412868632712,0.0,0.0
2016-09-12,7410,7410,7410,7410,0,ABI,0.0,0.0,0.0
2016-09-13,6860,7310,6860,7220,5900,ABI,-0.02564102564102566,0.0,0.0
2016-09-14,7410,7410,7410,7410,100,ABI,0.026315789473684292,0.0,0.0
2016-09-15,7460,7600,7070,7260,3000,ABI,-0.020242914979757054,0.0,0.0
2016-09-16,7340,7340,7340,7340,118,ABI,0.011019283746556363,0.0,0.0
2016-09-19,7340,7340,7340,7340,0,ABI,0.0,0.0,0.0
2016-09-20,7460,7460,7260,7310,800,ABI,-0.004087193460490468,0.0,0.0
2016-09-21,7460,7460,6990,7310,4624,ABI,0.0,0.0,0.0
2016-09-22,7410,7410,6950,7260,17700,ABI,-0.0068399452804377425,0.0,0.0
2016-09-23,7260,7260,7260,7260,500,ABI,0.0,0.0,0.0
2016-09-26,7260,7370,7260,7260,1600,ABI,0.0,0.0,0.0
2016-09-27,7260,7260,7260,7260,0,ABI,0.0,0.0,0.0
2016-09-28,6990,7030,6860,6860,5700,ABI,-0.05509641873278237,0.0,0.0
2016-09-29,7220,7220,7170,7170,400,ABI,0.04518950437317781,0.0,0.0
2016-09-30,7220,7260,7070,7260,9700,ABI,0.012552301255230214,7579.9169614476,7038.0830385524
2016-10-03,7220,8250,7220,7370,8100,ABI,0.015151515151515138,7568.126629914355,7040.873370085645
2016-10-04,7820,7820,7460,7600,4210,ABI,0.031207598371777445,7597.735916684123,7025.264083315877
2016-10-05,7850,7850,7540,7540,1600,ABI,-0.007894736842105288,7611.977655144533,7019.022344855467
2016-10-06,7580,7850,7260,7460,5900,ABI,-0.010610079575596787,7611.977655144533,7019.022344855467
2016-10-07,7370,7640,7260,7370,15300,ABI,-0.012064343163538882,7607.933354088834,7019.066645911166
2016-10-10,7370,7370,7260,7260,7600,ABI,-0.014925373134328401,7597.849276168368,7014.150723831632
2016-10-11,7370,7370,7340,7370,1100,ABI,0.015151515151515138,7603.829123582186,7023.170876417814
2016-10-12,7640,7640,7260,7260,4600,ABI,-0.014925373134328401,7593.708185493567,7018.291814506433
2016-10-13,7600,7600,7260,7370,3300,ABI,0.015151515151515138,7599.685704017393,7023.314295982607
2016-10-14,7260,7260,7260,7260,2000,ABI,-0.014925373134328401,7596.212659923323,7018.787340076677
