Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2018-06-12,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-13,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-14,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-15,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-18,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-19,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-20,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-21,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-22,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-25,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-26,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-27,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-28,9260,9260,9260,9260,0,ABR,0.0,0.0,0.0
2018-06-29,7580,7580,7230,7320,1100,ABR,-0.20950323974082075,0.0,0.0
2018-07-02,6610,6700,6520,6520,600,ABR,-0.10928961748633881,0.0,0.0
2018-07-03,5640,5640,5640,5640,800,ABR,-0.13496932515337423,0.0,0.0
2018-07-04,5380,5380,5380,5380,200,ABR,-0.046099290780141855,0.0,0.0
2018-07-05,5470,5470,5470,5470,100,ABR,0.016728624535315983,0.0,0.0
2018-07-06,5200,5200,5110,5110,200,ABR,-0.06581352833638021,0.0,0.0
2018-07-09,5110,5110,5110,5110,100,ABR,0.0,0.0,0.0
2018-07-10,5200,5290,5200,5290,700,ABR,0.03522504892367917,11429.204266723695,4266.795733276305
2018-07-11,5200,5380,5200,5290,800,ABR,0.0,11334.244088807252,3964.7559111927467
2018-07-12,5380,5380,5380,5380,200,ABR,0.017013232514177634,11188.887068065673,3722.112931934328
2018-07-13,5030,5030,4940,5030,700,ABR,-0.06505576208178443,11023.499437756274,3464.5005622437257
2018-07-16,4940,4940,4940,4940,0,ABR,-0.017892644135188873,10815.720158617845,3240.2798413821547
2018-07-17,5030,5030,5030,5030,200,ABR,0.018218623481781382,10554.137087786881,3078.862912213119
2018-07-18,5110,5110,5110,5110,100,ABR,0.015904572564612307,10240.252676418979,2977.7473235810216
2018-07-19,5110,5110,5110,5110,0,ABR,0.0,9873.907090189743,2929.092909810258
2018-07-20,5110,5110,5110,5110,0,ABR,0.0,9447.425271924958,2940.5747280750415
2018-07-23,5380,5380,5380,5380,100,ABR,0.052837573385518644,8947.317424370845,3052.6825756291555
2018-07-24,5200,5200,5200,5200,100,ABR,-0.03345724907063197,8351.27563117217,3242.72436882783
2018-07-25,5030,5030,5030,5030,100,ABR,-0.03269230769230769,7601.580107535408,3569.419892464591
2018-07-26,5030,5030,5030,5030,0,ABR,0.0,6490.680795930504,4257.319204069496
2018-07-27,5110,5110,5110,5110,100,ABR,0.015904572564612307,5937.807793222045,4589.192206777955
2018-07-30,5110,5110,5110,5110,0,ABR,0.0,5544.801080157499,4841.198919842501
2018-07-31,5110,5110,5110,5110,0,ABR,0.0,5453.503484299377,4879.496515700623
2018-08-01,5110,5110,5110,5110,0,ABR,0.0,5423.488447073037,4882.511552926963
2018-08-02,5110,5110,5110,5110,0,ABR,0.0,5363.341848989586,4906.658151010414
2018-08-03,5110,5110,5110,5110,0,ABR,0.0,5363.341848989586,4906.658151010414
2018-08-06,5110,5110,5110,5110,0,ABR,0.0,5363.341848989586,4906.658151010414
2018-08-07,5380,5380,5380,5380,200,ABR,0.052837573385518644,5382.931715271415,4896.068284728585
2018-08-08,5290,5290,5290,5290,100,ABR,-0.016728624535315983,5382.931715271415,4896.068284728585
2018-08-09,5550,5550,5550,5550,100,ABR,0.04914933837429114,5432.787640181211,4863.212359818789
2018-08-10,5550,5550,5550,5550,0,ABR,0.0,5502.536147174072,4845.463852825928
2018-08-13,5550,5550,5550,5550,0,ABR,0.0,5553.1244397628825,4855.8755602371175
2018-08-14,5550,5550,5550,5550,0,ABR,0.0,5600.1200752123505,4860.8799247876495
2018-08-15,5550,5550,5550,5550,0,ABR,0.0,5642.621775859774,4862.378224140226
2018-08-16,5550,5550,5550,5550,0,ABR,0.0,5679.34441455945,4869.65558544055
2018-08-17,5380,5470,5380,5380,500,ABR,-0.03063063063063065,5687.979999499955,4888.020000500045
2018-08-20,5200,5200,5110,5110,200,ABR,-0.05018587360594795,5679.34441455945,4869.65558544055
2018-08-21,5030,5030,5030,5030,300,ABR,-0.015655577299412915,5683.679302814951,4848.320697185049
2018-08-22,4850,4940,4850,4850,400,ABR,-0.035785288270377746,5701.526714607777,4812.473285392223
2018-08-23,4580,4850,4580,4580,300,ABR,-0.05567010309278353,5760.749940617558,4708.250059382442
2018-08-24,4670,4670,4670,4670,0,ABR,0.01965065502183405,5791.840141885563,4633.159858114437
2018-08-27,4760,4850,4670,4670,500,ABR,0.0,5815.367185888316,4565.632814111684
