Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2020-03-18,9250,9250,9250,9250,9690,ABS,0.0,0.0,0.0
2020-03-19,9900,9900,9900,9900,12840,ABS,0.07027027027027022,0.0,0.0
2020-03-20,10580,10580,10580,10580,10080,ABS,0.06868686868686869,0.0,0.0
2020-03-23,11290,11290,11290,11290,8110,ABS,0.06710775047258988,0.0,0.0
2020-03-24,12080,12080,12080,12080,210860,ABS,0.06997342781222327,0.0,0.0
2020-03-25,12900,12900,12900,12900,124850,ABS,0.06788079470198682,0.0,0.0
2020-03-26,13790,13790,13720,13790,198820,ABS,0.06899224806201554,0.0,0.0
2020-03-27,14760,14760,14760,14760,91940,ABS,0.07034082668600439,0.0,0.0
2020-03-30,15760,15760,15760,15760,96540,ABS,0.0677506775067751,0.0,0.0
2020-03-31,16830,16830,16760,16830,211060,ABS,0.06789340101522834,0.0,0.0
2020-04-01,17970,17970,17970,17970,99250,ABS,0.06773618538324411,0.0,0.0
2020-04-03,19220,19220,19220,19220,108670,ABS,0.06956037840845863,0.0,0.0
2020-04-06,20540,20540,20540,20540,98590,ABS,0.06867845993756494,0.0,0.0
2020-04-07,21970,21970,21970,21970,67880,ABS,0.06962025316455689,0.0,0.0
2020-04-08,23510,23510,23510,23510,89030,ABS,0.07009558488848433,0.0,0.0
2020-04-09,25150,25150,25150,25150,65630,ABS,0.0697575499787324,0.0,0.0
2020-04-10,26900,26900,23400,23400,311640,ABS,-0.06958250497017893,0.0,0.0
2020-04-13,21870,21870,21800,21800,23580,ABS,-0.06837606837606836,0.0,0.0
2020-04-14,20290,20290,20290,20290,2390,ABS,-0.06926605504587158,0.0,0.0
2020-04-15,18900,18900,18900,18900,2760,ABS,-0.0685066535239034,0.0,0.0
2020-04-16,17580,17580,17580,17580,1810,ABS,-0.06984126984126982,26460.10581217835,8361.894187821648
2020-04-17,17580,17580,16360,16360,5300,ABS,-0.06939704209328779,26124.881717674252,9343.118282325746
2020-04-20,15220,15220,15220,15220,2090,ABS,-0.06968215158924207,25790.30163017761,10141.698369822388
2020-04-21,14180,14180,14180,14180,480,ABS,-0.06833114323258871,25532.705804206726,10688.294195793274
2020-04-22,13220,13220,13220,13220,5910,ABS,-0.06770098730606489,25419.131195806913,10915.868804193085
2020-04-23,12330,12330,12330,12330,5730,ABS,-0.06732223903177004,25477.179338228252,10800.820661771748
2020-04-24,11470,13180,11470,13180,493220,ABS,0.06893755068937546,25523.399257575926,10693.600742424074
2020-04-27,14080,14080,12930,13720,349260,ABS,0.04097116843702575,25578.4153810715,10534.5846189285
2020-04-28,13220,13580,12790,12790,185300,ABS,-0.06778425655976672,25717.188434146025,10098.811565853975
2020-04-29,11900,11900,11900,11900,141340,ABS,-0.06958561376075056,25891.15193674678,9431.84806325322
2020-05-04,11080,11080,11080,11080,50130,ABS,-0.06890756302521006,26028.867997163412,8605.132002836588
2020-05-05,10330,11430,10330,10650,347130,ABS,-0.038808664259927794,26016.90024319705,7760.099756802947
2020-05-06,10330,11360,10330,11360,150420,ABS,0.06666666666666665,25699.405015694607,7159.594984305393
2020-05-07,11430,11430,10720,10930,109900,ABS,-0.03785211267605637,25076.510544618373,6678.489455381627
2020-05-08,10720,10930,10360,10930,299560,ABS,0.0,23982.558106058146,6514.441893941854
2020-05-11,10650,11080,10360,10650,230270,ABS,-0.025617566331198494,22191.783445465484,6855.216554534515
2020-05-12,10900,11040,10720,11040,158790,ABS,0.036619718309859106,20534.480238317203,7276.519761682796
2020-05-13,10860,11040,10500,10720,169550,ABS,-0.02898550724637683,19033.099334694416,7669.900665305585
2020-05-14,10500,10720,10290,10400,203350,ABS,-0.02985074626865669,17696.02510842835,8017.974891571648
2020-05-15,10400,10720,10290,10500,254320,ABS,0.009615384615384581,16501.244579254555,8372.755420745447
2020-05-18,10360,10580,10150,10290,130190,ABS,-0.020000000000000018,15481.088417512448,8663.911582487552
2020-05-19,10290,10500,10250,10360,227310,ABS,0.006802721088435382,14630.554408159513,8914.445591840487
2020-05-20,10360,10430,9900,9900,227880,ABS,-0.044401544401544424,13998.417133453684,9014.582866546316
2020-05-21,9860,10080,9860,10000,222900,ABS,0.010101010101010166,13546.79211086511,9048.20788913489
2020-05-22,10000,10150,9830,10150,227050,ABS,0.014999999999999902,13262.777005727603,9025.222994272397
2020-05-25,9930,10220,9930,10150,156330,ABS,0.0,13122.577543469948,8947.422456530052
2020-05-26,10150,10180,9900,10180,158340,ABS,0.002955665024630516,12754.219088282598,9015.780911717402
2020-05-27,10180,10180,9860,9900,111050,ABS,-0.027504911591355596,12084.919120581792,9303.080879418208
2020-05-28,9900,9970,9650,9930,103110,ABS,0.003030303030302939,11595.48839151042,9506.51160848958
2020-05-29,10000,10000,9720,10000,113420,ABS,0.007049345417925457,11322.957899785233,9589.042100214767
2020-06-01,10000,10040,9830,10040,234490,ABS,0.0040000000000000036,11239.18620678267,9568.81379321733
2020-06-02,10040,10180,9860,10080,100240,ABS,0.003984063745019917,11214.057690323107,9536.942309676893
2020-06-03,10150,10150,10000,10150,136950,ABS,0.00694444444444442,11025.535009693416,9604.464990306584
2020-06-04,10150,10360,9970,10220,142300,ABS,0.006896551724137945,10932.170667335391,9626.829332664609
2020-06-05,10040,10250,10000,10250,128550,ABS,0.0029354207436398383,10825.930013007617,9665.069986992383
2020-06-08,10220,10290,10040,10290,160820,ABS,0.0039024390243902474,10778.20409477325,9676.79590522675
2020-06-09,10290,10330,10080,10330,138840,ABS,0.0038872691933915515,10602.248705055878,9781.751294944122
2020-06-10,10360,10440,9990,10330,275930,ABS,0.0,10511.373132602783,9833.626867397217
2020-06-11,10330,10330,9840,9840,164310,ABS,-0.047434656340755055,10495.867329158566,9793.132670841434
2020-06-12,9840,9840,9180,9180,230700,ABS,-0.06707317073170727,10595.037510738593,9561.962489261407
2020-06-15,8990,8990,8550,8550,253110,ABS,-0.06862745098039214,10825.077230975045,9157.922769024955
2020-06-16,8070,8550,7990,8510,257220,ABS,-0.004678362573099393,10934.584858908252,8863.415141091748
2020-06-17,8440,8590,8070,8550,194510,ABS,0.004700352526439522,11022.36985015157,8640.63014984843
2020-06-18,8440,8590,8109,8440,157970,ABS,-0.012865497076023358,11085.945496071048,8421.054503928952
2020-06-19,8360,8510,8140,8510,229110,ABS,0.0082938388625593,11094.99253598325,8248.00746401675
2020-06-22,8440,8620,8250,8620,256190,ABS,0.01292596944770863,11070.892950047539,8119.107049952462
2020-06-23,8440,9220,8440,9220,267450,ABS,0.06960556844547572,11006.014736046222,8087.9852639537785
2020-06-24,9840,9840,9400,9840,154300,ABS,0.06724511930585675,11000.34336610568,8087.656633894319
2020-06-25,10510,10510,9840,10290,506250,ABS,0.0457317073170731,11045.625289619999,8078.3747103800015
2020-06-26,9990,10290,9590,9590,178470,ABS,-0.0680272108843537,11011.619382907396,8071.380617092604
2020-06-29,8960,9250,8920,8920,91770,ABS,-0.06986444212721588,10960.714899599385,8010.285100400614
2020-06-30,8360,8770,8330,8330,187560,ABS,-0.06614349775784756,10928.354207365088,7867.645792634912
2020-07-01,7770,8880,7770,8590,199170,ABS,0.031212484993997647,10848.109943688616,7791.890056311384
2020-07-02,8660,9100,7990,9030,103960,ABS,0.051222351571594826,10735.552202466077,7785.447797533923
2020-07-03,8880,9100,8660,9100,121590,ABS,0.007751937984496138,10607.237871587298,7798.762128412702
2020-07-06,9100,9440,8660,9180,157990,ABS,0.00879120879120876,10460.26616348839,7834.733836511611
2020-07-07,9180,9360,8880,9220,125020,ABS,0.004357298474945592,10288.839170481993,7895.160829518008
2020-07-08,9220,9220,8770,8960,73900,ABS,-0.02819956616052066,10077.355303160744,7969.644696839256
2020-07-09,8960,9100,8770,9030,137190,ABS,0.0078125,9968.25326693192,7997.746733068078
2020-07-10,9030,9100,8730,8810,135340,ABS,-0.02436323366555926,9948.155935782439,7980.844064217562
2020-07-13,8880,8960,8730,8880,79870,ABS,0.007945516458569779,9947.207017155239,8014.792982844761
2020-07-14,8880,9030,8700,9030,174910,ABS,0.016891891891891886,9948.78766184317,8065.212338156831
2020-07-15,9030,9180,8730,9100,209530,ABS,0.007751937984496138,9953.139755290409,8115.86024470959
2020-07-16,9140,9140,8880,9070,125640,ABS,-0.003296703296703285,9943.209211077965,8188.790788922036
2020-07-17,9030,9250,8880,9070,98820,ABS,0.0,9933.366427729883,8254.633572270117
2020-07-20,9070,9330,8730,8880,159930,ABS,-0.02094818081587657,9924.364055975075,8289.635944024925
2020-07-21,8880,9030,8730,8880,95220,ABS,0.0,9911.389067373084,8268.610932626916
2020-07-22,8960,9030,8810,8960,153780,ABS,0.009009009009008917,9792.870805427568,8299.129194572432
2020-07-23,8880,8960,8730,8960,65230,ABS,0.0,9461.266540971894,8497.733459028106
2020-07-24,8960,8990,8360,8730,98510,ABS,-0.025669642857142905,9339.750542467118,8533.249457532882
2020-07-27,8180,8810,8140,8140,103310,ABS,-0.06758304696449025,9429.810999322788,8365.189000677212
2020-07-28,8140,8700,7770,8510,117980,ABS,0.045454545454545414,9405.14917527258,8407.85082472742
2020-07-29,8140,8440,7920,8070,72550,ABS,-0.051703877790834296,9485.362794359204,8275.637205640796
2020-07-30,8029,8140,7920,8109,56650,ABS,0.004832713754646889,9521.435436526877,8147.464563473123
2020-07-31,8109,8140,7850,8140,112960,ABS,0.0038229128129239065,9524.746546111402,8048.153453888599
2020-08-03,8140,8290,7990,8220,143440,ABS,0.00982800982800991,9492.812373133778,7984.087626866223
2020-08-04,8220,8360,7990,8290,203470,ABS,0.008515815085158085,9436.434378613834,7947.465621386168
