Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,28210,28210,28210,28210,1230,ABT,0.0,0.0,0.0
2016-09-05,28210,28470,27100,28170,2550,ABT,-0.0014179369018079147,0.0,0.0
2016-09-06,27630,27990,27630,27990,1460,ABT,-0.006389776357827448,0.0,0.0
2016-09-07,27340,27990,27340,27990,720,ABT,0.0,0.0,0.0
2016-09-08,27990,28170,27630,27990,600,ABT,0.0,0.0,0.0
2016-09-09,27870,27990,27340,27930,910,ABT,-0.002143622722400873,0.0,0.0
2016-09-12,28210,28210,27630,28040,520,ABT,0.003938417472252098,0.0,0.0
2016-09-13,27630,27990,27340,27340,2500,ABT,-0.024964336661911557,0.0,0.0
2016-09-14,27390,28210,27050,28210,2060,ABT,0.03182150694952446,0.0,0.0
2016-09-15,28170,28170,28170,28170,1010,ABT,-0.0014179369018079147,0.0,0.0
2016-09-16,28170,28170,28140,28170,1000,ABT,0.0,0.0,0.0
2016-09-19,28210,28210,27630,28170,2030,ABT,0.0,0.0,0.0
2016-09-20,27630,28170,27630,27930,2020,ABT,-0.008519701810436597,0.0,0.0
2016-09-21,27630,27630,27630,27630,2500,ABT,-0.01074113856068748,0.0,0.0
2016-09-22,27630,27630,27070,27340,8290,ABT,-0.01049583785740138,0.0,0.0
2016-09-23,27340,27340,27340,27340,10,ABT,0.0,0.0,0.0
2016-09-26,27050,27510,27050,27510,25880,ABT,0.006217995610826588,0.0,0.0
2016-09-27,27490,27490,27490,27490,510,ABT,-0.0007270083605961375,0.0,0.0
2016-09-28,25870,27450,25870,27450,1630,ABT,-0.0014550745725718794,0.0,0.0
2016-09-29,28170,28170,26460,27450,3580,ABT,0.0,0.0,0.0
2016-09-30,27280,27340,27280,27340,560,ABT,-0.004007285974499064,28447.29696148523,27117.70303851477
2016-10-03,27340,27340,27340,27340,0,ABT,0.0,28407.480307285965,27074.519692714035
2016-10-04,27050,27280,26460,27280,1030,ABT,-0.002194586686174116,28390.52481706869,27020.47518293131
2016-10-05,28800,28800,25460,27220,1740,ABT,-0.0021994134897360684,28370.053340792852,26963.946659207148
2016-10-06,26750,27220,26750,27220,5020,ABT,0.0,28340.85595035066,26916.14404964934
2016-10-07,28210,28210,27050,27390,150,ABT,0.006245407788390889,28307.00053153771,26895.99946846229
2016-10-10,26750,27610,26750,27610,1010,ABT,0.008032128514056325,28256.34310819287,26903.65689180713
2016-10-11,27340,27340,26460,27020,40,ABT,-0.0213690691778341,28276.471753826063,26851.528246173937
2016-10-12,28340,28340,25870,27050,6740,ABT,0.0011102886750555818,28186.834781720194,26825.165218279806
2016-10-13,27580,27580,25160,27050,5340,ABT,0.0,28085.924523823374,26814.075476176626
2016-10-14,25640,27580,25640,26990,1430,ABT,-0.0022181146025878062,27964.68632544273,26817.31367455727
2016-10-17,28040,28040,26050,27280,80,ABT,0.010744720266765428,27796.267717827748,26896.732282172252
2016-10-18,27280,27280,26460,27280,690,ABT,0.0,27675.74023829259,26952.25976170741
2016-10-19,27050,27050,27050,27050,560,ABT,-0.008431085043988262,27633.511118904375,26936.488881095625
2016-10-20,27220,27220,27050,27190,50,ABT,0.005175600739371511,27627.40713053606,26927.59286946394
2016-10-21,26990,26990,26460,26990,240,ABT,-0.007355645457888915,27630.081072199024,26889.918927800976
2016-10-24,26460,26920,26460,26920,130,ABT,-0.002593553167839935,27610.103740761308,26850.896259238692
2016-10-25,25370,26750,25370,26460,70,ABT,-0.017087667161961417,27667.626646837824,26690.373353162176
2016-10-26,26340,26460,25280,26460,700,ABT,0.0,27693.112455504644,26565.887544495356
2016-10-27,26390,26390,25280,26390,2010,ABT,-0.002645502645502673,27705.189907665117,26447.810092334883
2016-10-28,26460,26750,26460,26750,2700,ABT,0.013641530882910091,27678.82592539399,26415.17407460601
2016-10-31,26750,26750,25920,25920,2990,ABT,-0.03102803738317761,27760.79041788236,26191.20958211764
2016-11-01,24140,26460,24140,26460,17950,ABT,0.02083333333333326,27737.45872167979,26132.54127832021
2016-11-02,25280,26390,25020,26390,60,ABT,-0.002645502645502673,27718.249052742693,26068.750947257307
2016-11-03,25480,26340,25480,26340,30,ABT,-0.0018946570670708152,27693.54916918386,26005.45083081614
2016-11-04,25520,26390,25520,26390,90,ABT,0.0018982536066818323,27627.883365356865,25971.116634643135
2016-11-07,25610,26340,25610,26340,30,ABT,-0.0018946570670708152,27498.19157696734,25973.80842303266
2016-11-08,26310,26310,25610,26310,280,ABT,-0.001138952164009166,27472.5485736014,25928.4514263986
2016-11-09,25370,26280,25340,25370,3310,ABT,-0.03572786012922846,27563.838904510925,25669.161095489075
2016-11-10,26280,26280,25370,25370,410,ABT,0.0,27601.328798264698,25463.671201735302
2016-11-11,26310,27130,25340,27130,5070,ABT,0.06937327552227046,27621.968937198642,25457.031062801358
2016-11-14,27340,28210,25400,25400,5220,ABT,-0.06376704754883888,27579.704126248867,25311.295873751133
2016-11-15,25400,27050,25400,26340,660,ABT,0.03700787401574801,27466.456459786612,25330.543540213388
2016-11-16,25280,26730,25280,26370,1700,ABT,0.001138952164009055,27389.77020828655,25339.22979171345
2016-11-17,25480,26460,25480,26390,880,ABT,0.0007584376185059138,27277.715085906613,25371.284914093387
2016-11-18,26460,26460,25690,26460,1050,ABT,0.0026525198938991412,27204.037526816603,25391.962473183397
2016-11-21,26460,26460,26460,26460,100,ABT,0.0,27139.094902195324,25410.905097804676
2016-11-22,25750,26460,25280,26170,750,ABT,-0.01095993953136809,27121.41753379749,25399.58246620251
