Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,12450,13420,12450,13420,2830,ACE,0.0,0.0,0.0
2016-09-05,13110,13230,12900,12900,24100,ACE,-0.03874813710879288,0.0,0.0
2016-09-06,13300,13300,12740,13010,10710,ACE,0.00852713178294584,0.0,0.0
2016-09-07,13060,13060,12860,12860,9700,ACE,-0.01152959262106068,0.0,0.0
2016-09-08,12990,13060,12950,12990,2200,ACE,0.010108864696733999,0.0,0.0
2016-09-09,13060,13110,12770,12900,30300,ACE,-0.006928406466512715,0.0,0.0
2016-09-12,12770,12860,12770,12770,3000,ACE,-0.010077519379844913,0.0,0.0
2016-09-13,12710,12820,12710,12820,2200,ACE,0.003915426781519127,0.0,0.0
2016-09-14,12710,12740,12710,12710,3400,ACE,-0.00858034321372858,0.0,0.0
2016-09-15,12300,12710,12220,12710,10500,ACE,0.0,0.0,0.0
2016-09-16,12340,12380,12340,12340,8300,ACE,-0.029110936270652976,0.0,0.0
2016-09-19,12300,12580,12220,12580,4100,ACE,0.01944894651539708,0.0,0.0
2016-09-20,12300,12300,12300,12300,3000,ACE,-0.022257551669316422,0.0,0.0
2016-09-21,12300,12300,12300,12300,0,ACE,0.0,0.0,0.0
2016-09-22,12300,12500,12300,12300,4000,ACE,0.0,0.0,0.0
2016-09-23,12380,12710,12380,12500,5000,ACE,0.016260162601626105,0.0,0.0
2016-09-26,12300,12630,12270,12630,2800,ACE,0.010399999999999965,0.0,0.0
2016-09-27,12340,12340,12140,12140,24600,ACE,-0.03879651623119562,0.0,0.0
2016-09-28,12300,12300,12100,12140,10110,ACE,0.0,0.0,0.0
2016-09-29,11980,12220,11930,11930,6530,ACE,-0.017298187808896248,0.0,0.0
2016-09-30,11890,12100,11890,12050,4300,ACE,0.010058675607711676,13196.699011796403,11891.300988203597
2016-10-03,11740,12500,11740,12500,10100,ACE,0.03734439834024905,13156.025315948658,11891.974684051342
2016-10-04,12420,12420,12420,12420,0,ACE,-0.006399999999999961,13086.867284714475,11902.132715285525
2016-10-05,12170,12450,12170,12450,1500,ACE,0.0024154589371980784,13042.239386174524,11905.760613825476
2016-10-06,12050,12170,12050,12170,3937,ACE,-0.02248995983935742,12963.475258612501,11902.524741387499
2016-10-07,12300,12300,12300,12300,500,ACE,0.010682004930156141,12890.569482227918,11915.430517772082
2016-10-10,12300,12300,12140,12170,15300,ACE,-0.010569105691056957,12839.951817642892,11906.048182357108
2016-10-11,11980,12170,11980,12170,1900,ACE,0.0,12767.230594169203,11913.769405830797
2016-10-12,12100,12100,11980,11980,1100,ACE,-0.01561216105176666,12722.874682930349,11885.125317069651
2016-10-13,12300,12300,11980,11980,8100,ACE,0.0,12665.187062902478,11869.812937097522
2016-10-14,12100,12100,12100,12100,900,ACE,0.01001669449081799,12658.164873064437,11852.835126935563
2016-10-17,12500,12500,12100,12100,6900,ACE,0.0,12610.460420096875,11852.539579903125
2016-10-18,12100,12100,11980,11980,9000,ACE,-0.00991735537190086,12608.30911394722,11822.69088605278
2016-10-19,12170,12380,12100,12380,4100,ACE,0.03338898163606019,12617.267520041543,11821.732479958457
