Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2021-08-04,56850,65110,53230,65050,197900,ACG,0.0,0.0,0.0
2021-08-05,63610,63820,58440,60980,227100,ACG,-0.06256725595695622,0.0,0.0
2021-08-06,60980,60980,59180,60470,155200,ACG,-0.00836339783535589,0.0,0.0
2021-08-09,59410,59940,55800,57570,135600,ACG,-0.04795766495783038,0.0,0.0
2021-08-10,57460,57570,55850,56990,133900,ACG,-0.010074691679694325,0.0,0.0
2021-08-11,56320,59370,56320,58550,180500,ACG,0.02737322337252146,0.0,0.0
2021-08-12,57110,58900,56850,56850,115900,ACG,-0.029035012809564442,0.0,0.0
2021-08-13,57360,60410,55280,56160,166700,ACG,-0.012137203166226906,0.0,0.0
2021-08-16,58340,58340,55050,56730,45200,ACG,0.010149572649572614,0.0,0.0
2021-08-17,56850,57110,55050,56630,98500,ACG,-0.001762735765908685,0.0,0.0
2021-08-18,55800,57050,55050,55280,32000,ACG,-0.02383895461769381,0.0,0.0
2021-08-19,56220,56220,54090,55050,24700,ACG,-0.0041606367583212345,0.0,0.0
2021-08-20,55050,55230,52190,54140,20600,ACG,-0.01653042688465034,0.0,0.0
2021-08-23,51160,56280,51160,53960,28300,ACG,-0.003324713705208704,0.0,0.0
2021-08-24,55710,55710,51670,53690,17200,ACG,-0.0050037064492216565,0.0,0.0
2021-08-25,54200,54200,51670,53230,49600,ACG,-0.008567703482957767,0.0,0.0
2021-08-26,53490,53490,51620,52860,20500,ACG,-0.006950967499530392,0.0,0.0
2021-09-01,54260,54480,54140,54480,77200,ACG,0.030646992054483624,0.0,0.0
2021-09-06,54420,54530,53740,54420,43800,ACG,-0.0011013215859030367,0.0,0.0
2021-09-07,54770,54770,54010,54650,34900,ACG,0.004226387357589179,0.0,0.0
2021-09-08,54530,55180,54420,55050,37500,ACG,0.007319304666056681,60259.500886220616,51514.499113779384
2021-09-09,55050,56540,54770,56480,101300,ACG,0.02597638510445055,59376.6822205944,51947.3177794056
2021-09-10,57360,59370,56480,58900,145500,ACG,0.0428470254957507,58937.26967008769,52229.73032991231
2021-09-13,58900,59940,58390,59290,96300,ACG,0.006621392190152786,59299.4557848547,52039.5442151453
2021-09-14,59410,60220,58900,59890,83200,ACG,0.010119750379490533,59852.60091503421,51776.39908496579
2021-09-15,59690,60410,57880,60250,127100,ACG,0.006011020203706696,60225.64135229075,51573.35864770925
2021-09-16,59410,60870,59410,60100,94900,ACG,-0.0024896265560165887,60747.93896673869,51376.06103326131
2021-09-17,60470,67180,59940,61750,113700,ACG,0.027454242928452555,61643.791108568075,51039.208891431925
2021-09-20,61490,62270,60470,60470,73800,ACG,-0.020728744939271238,62127.88666284086,50929.11333715914
2021-09-21,61490,62270,60980,61860,55100,ACG,0.022986604928063592,62853.21037075245,50726.78962924755
2021-09-22,52710,64810,52710,61040,45900,ACG,-0.013255738764953118,63369.83788729494,50786.16211270506
2021-09-23,59940,62010,59940,61610,79300,ACG,0.009338138925294892,63920.7629273827,50891.2370726173
2021-09-24,52710,62270,52710,61440,51200,ACG,-0.002759292322674911,64330.76493481283,51211.23506518717
2021-09-27,61490,61960,60980,61080,67700,ACG,-0.005859375,64592.96659440798,51661.03340559202
2021-09-28,59940,61960,59940,60930,56600,ACG,-0.0024557956777996326,64727.47064591955,52250.52935408045
2021-09-29,60220,60930,60220,60610,66300,ACG,-0.005251928442475018,64666.80228618602,53049.19771381398
2021-09-30,59940,61700,59410,60930,64700,ACG,0.005279656822306578,64433.96275965327,54089.03724034673
2021-10-01,59940,61550,59940,60820,55600,ACG,-0.001805350402100725,64297.149277070705,54859.850722929295
2021-10-04,60470,61440,60470,61040,66500,ACG,0.0036172311739559593,64024.42150593421,55794.57849406579
