Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,3340,3340,3340,3340,0,ACL,0.0,0.0,0.0
2016-09-05,3340,3340,3340,3340,0,ACL,0.0,0.0,0.0
2016-09-06,3340,3340,3340,3340,0,ACL,0.0,0.0,0.0
2016-09-07,3340,3340,3340,3340,0,ACL,0.0,0.0,0.0
2016-09-08,3120,3380,3120,3380,620,ACL,0.011976047904191711,0.0,0.0
2016-09-09,3380,3380,3380,3380,0,ACL,0.0,0.0,0.0
2016-09-12,3380,3380,3380,3380,120,ACL,0.0,0.0,0.0
2016-09-13,3380,3380,3380,3380,0,ACL,0.0,0.0,0.0
2016-09-14,3340,3340,3340,3340,160,ACL,-0.011834319526627168,0.0,0.0
2016-09-15,3340,3340,3340,3340,0,ACL,0.0,0.0,0.0
2016-09-16,3200,3380,3200,3380,1010,ACL,0.011976047904191711,0.0,0.0
2016-09-19,3340,3380,3340,3380,260,ACL,0.0,0.0,0.0
2016-09-20,3380,3380,3380,3380,0,ACL,0.0,0.0,0.0
2016-09-21,3380,3380,3380,3380,0,ACL,0.0,0.0,0.0
2016-09-22,3380,3380,3380,3380,0,ACL,0.0,0.0,0.0
2016-09-23,3270,3440,3270,3440,5020,ACL,0.01775147928994092,0.0,0.0
2016-09-26,3440,3440,3440,3440,0,ACL,0.0,0.0,0.0
2016-09-27,3440,3440,3440,3440,0,ACL,0.0,0.0,0.0
2016-09-28,3270,3410,3270,3410,530,ACL,-0.008720930232558155,0.0,0.0
2016-09-29,3380,3410,3250,3310,10830,ACL,-0.029325513196480912,0.0,0.0
2016-09-30,3410,3410,3340,3340,330,ACL,0.009063444108761365,3446.6937933157396,3303.3062066842604
2016-10-03,3230,3400,3230,3400,30,ACL,0.017964071856287456,3448.597450378891,3307.402549621109
2016-10-04,3230,3400,3230,3400,3010,ACL,0.0,3449.963758598267,3312.036241401733
2016-10-05,3400,3400,3400,3400,0,ACL,0.0,3450.7532770731145,3317.2467229268855
2016-10-06,3270,3380,3230,3310,6170,ACL,-0.026470588235294135,3454.6552425658497,3306.3447574341503
2016-10-07,3270,3310,3160,3310,5430,ACL,0.0,3457.2745289615577,3296.7254710384423
2016-10-10,3310,3340,3160,3310,1290,ACL,0.0,3458.887352693476,3288.112647306524
2016-10-11,3310,3340,3310,3340,710,ACL,0.009063444108761365,3458.0505632563995,3284.9494367436005
2016-10-12,3270,3340,3120,3340,2020,ACL,0.0,3458.0505632563995,3284.9494367436005
2016-10-13,3200,3310,3120,3160,2510,ACL,-0.053892215568862256,3488.6546669766917,3236.3453330233083
2016-10-14,3120,3300,3120,3270,1730,ACL,0.034810126582278444,3489.0757358487926,3224.9242641512074
2016-10-17,3140,3270,3050,3230,4830,ACL,-0.012232415902140636,3492.1148659852824,3206.8851340147176
2016-10-18,3250,3250,3250,3250,10,ACL,0.006191950464396356,3491.202564080383,3194.797435919617
2016-10-19,3230,3270,3230,3270,1530,ACL,0.006153846153846176,3487.949327017438,3187.050672982562
2016-10-20,3200,3270,3200,3270,7000,ACL,0.0,3483.868364052557,3180.131635947443
2016-10-21,3200,3260,3050,3260,1470,ACL,-0.003058103975535187,3469.4377000638838,3176.5622999361162
2016-10-24,3050,3230,3050,3230,700,ACL,-0.009202453987730008,3453.9036774627875,3171.0963225372125
2016-10-25,3230,3230,3230,3230,0,ACL,0.0,3434.9059818066894,3169.0940181933106
2016-10-26,3200,3230,3080,3230,390,ACL,0.0,3419.664912268552,3166.335087731448
2016-10-27,3200,3230,3080,3230,1440,ACL,0.0,3418.290370871152,3159.709629128848
2016-10-28,3080,3230,3080,3230,1160,ACL,0.0,3413.0028957205204,3153.9971042794796
2016-10-31,3230,3230,3230,3230,10,ACL,0.0,3394.7497390393814,3155.2502609606186
2016-11-01,3230,3230,3080,3080,14110,ACL,-0.04643962848297212,3392.4016491652183,3125.5983508347817
2016-11-02,3080,3120,3080,3090,130,ACL,0.0032467532467532756,3379.7754563375224,3107.2245436624776
2016-11-03,3190,3190,3190,3190,10,ACL,0.032362459546925626,3372.091975986684,3102.908024013316
2016-11-04,3190,3190,3190,3190,0,ACL,0.0,3363.2990895264456,3099.7009104735544
2016-11-07,2970,2970,2970,2970,10740,ACL,-0.06896551724137934,3383.78969253915,3045.21030746085
2016-11-08,2900,2970,2860,2940,12800,ACL,-0.010101010101010055,3391.9310006052747,2997.0689993947253
2016-11-09,2860,2970,2790,2970,15030,ACL,0.010204081632652962,3384.4610275327263,2967.5389724672737
2016-11-10,3050,3050,3050,3050,10,ACL,0.026936026936027035,3386.043499090091,2954.956500909909
2016-11-11,2970,2970,2970,2970,3650,ACL,-0.02622950819672132,3382.6981514009303,2928.3018485990697
2016-11-14,2970,3160,2970,3160,8010,ACL,0.06397306397306401,3376.6419373135836,2927.3580626864164
2016-11-15,2950,3120,2940,3120,5370,ACL,-0.012658227848101222,3365.906442737049,2925.093557262951
2016-11-16,3120,3120,3120,3120,0,ACL,0.0,3351.03520835768,2924.96479164232
2016-11-17,2920,3110,2920,3110,1010,ACL,-0.0032051282051281937,3334.450483002609,2925.549516997391
2016-11-18,2970,3110,2970,3110,7330,ACL,0.0,3318.1399754651384,2926.8600245348616
2016-11-21,2940,3080,2940,3080,520,ACL,-0.009646302250803873,3305.0,2925.0
2016-11-22,2970,3110,2970,3080,2040,ACL,0.0,3290.46174463532,2924.53825536468
2016-11-23,3080,3120,2990,2990,20030,ACL,-0.02922077922077926,3276.218012383935,2914.781987616065
2016-11-24,3010,3120,3010,3010,4520,ACL,0.006688963210702337,3257.7599203508994,2911.2400796491006
2016-11-25,3080,3080,3080,3080,20,ACL,0.023255813953488413,3236.887460421385,2917.112539578615
2016-11-28,2870,3080,2870,3080,510,ACL,0.0,3213.232390225725,2925.767609774275
2016-11-29,2970,3080,2970,3080,1010,ACL,0.0,3213.232390225725,2925.767609774275
2016-11-30,3080,3080,2970,2970,5940,ACL,-0.0357142857142857,3213.203039381303,2913.796960618697
2016-12-01,3120,3120,2790,2950,9830,ACL,-0.006734006734006703,3197.139967042018,2905.860032957982
2016-12-02,2900,3050,2900,3050,2110,ACL,0.03389830508474567,3175.5686842842333,2913.4313157157667
2016-12-05,2860,2940,2860,2940,40,ACL,-0.0360655737704918,3178.0703520392244,2907.9296479607756
2016-12-06,2900,3050,2900,2970,70,ACL,0.010204081632652962,3175.5686842842333,2913.4313157157667
2016-12-07,2850,2850,2850,2850,50,ACL,-0.04040404040404044,3191.7677395931705,2885.2322604068295
2016-12-08,2710,2930,2710,2930,1030,ACL,0.02807017543859658,3192.734203589621,2872.265796410379
2016-12-09,2820,2970,2820,2970,20,ACL,0.013651877133105783,3192.734203589621,2872.265796410379
2016-12-12,2900,2900,2860,2900,1190,ACL,-0.023569023569023573,3178.4308025525575,2860.5691974474425
2016-12-13,2710,2890,2710,2890,4180,ACL,-0.0034482758620689724,3169.4434885648843,2846.5565114351157
2016-12-14,2690,2960,2690,2960,310,ACL,0.02422145328719716,3154.1427909439817,2845.8572090560183
2016-12-15,2970,2970,2970,2970,3020,ACL,0.0033783783783782884,3139.0273946901743,2846.9726053098257
2016-12-16,2860,2860,2860,2860,1100,ACL,-0.03703703703703709,3127.1253729748028,2833.8746270251972
2016-12-19,2860,2950,2860,2950,430,ACL,0.03146853146853146,3113.7712416772492,2834.2287583227508
2016-12-20,2760,2960,2760,2960,2540,ACL,0.003389830508474523,3099.0877568653914,2836.9122431346086
2016-12-21,3010,3160,2970,3030,1420,ACL,0.023648648648648685,3103.566462856512,2836.433537143488
2016-12-22,3150,3150,3150,3150,10,ACL,0.03960396039603964,3131.2854497352228,2822.7145502647772
2016-12-23,3050,3120,2950,2950,200,ACL,-0.06349206349206349,3117.669969762856,2823.330030237144
2016-12-26,3150,3150,3120,3120,30,ACL,0.057627118644067776,3126.496753212527,2818.503246787473
2016-12-27,3120,3120,3120,3120,20,ACL,0.0,3134.933786965215,2814.066213034785
2016-12-28,3120,3120,2940,2940,80,ACL,-0.05769230769230771,3134.133485036475,2811.866514963525
2016-12-29,2750,3120,2750,3120,850,ACL,0.061224489795918435,3154.390138527332,2808.609861472668
2016-12-30,3120,3160,3120,3160,3200,ACL,0.012820512820512775,3174.6272901259304,2799.3727098740696
2017-01-03,2940,3250,2940,2950,530,ACL,-0.06645569620253167,3174.676387399693,2800.323612600307
2017-01-04,2950,2950,2950,2950,0,ACL,0.0,3174.252496654505,2798.747503345495
2017-01-05,2950,2950,2950,2950,20,ACL,0.0,3169.5196618354275,2813.4803381645725
2017-01-06,2950,2950,2950,2950,0,ACL,0.0,3169.347391838274,2815.652608161726
2017-01-09,3100,3100,3100,3100,20,ACL,0.05084745762711873,3181.5267103741257,2816.4732896258743
2017-01-10,3100,3100,3100,3100,0,ACL,0.0,3190.6480112745526,2827.3519887254474
2017-01-11,3050,3120,3050,3120,180,ACL,0.006451612903225712,3199.6619379220933,2841.3380620779067
