Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,6970,6970,6970,6970,0,ADC,0.0,0.0,0.0
2016-09-05,6970,6970,6970,6970,0,ADC,0.0,0.0,0.0
2016-09-06,6770,6770,6770,6770,300,ADC,-0.028694404591104727,0.0,0.0
2016-09-07,6770,6770,6770,6770,0,ADC,0.0,0.0,0.0
2016-09-08,6770,6770,6770,6770,0,ADC,0.0,0.0,0.0
2016-09-09,6770,6770,6770,6770,0,ADC,0.0,0.0,0.0
2016-09-12,6770,6770,6770,6770,1000,ADC,0.0,0.0,0.0
2016-09-13,6770,6770,6770,6770,0,ADC,0.0,0.0,0.0
2016-09-14,6770,6770,6770,6770,0,ADC,0.0,0.0,0.0
2016-09-15,6770,6770,6770,6770,0,ADC,0.0,0.0,0.0
2016-09-16,6770,6770,6770,6770,0,ADC,0.0,0.0,0.0
2016-09-19,6770,6770,6770,6770,1000,ADC,0.0,0.0,0.0
2016-09-20,6970,6970,6770,6770,4489,ADC,0.0,0.0,0.0
2016-09-21,6800,6800,6800,6800,5000,ADC,0.004431314623338345,0.0,0.0
2016-09-22,6800,6800,6770,6770,2563,ADC,-0.004411764705882337,0.0,0.0
2016-09-23,6770,6770,6770,6770,0,ADC,0.0,0.0,0.0
2016-09-26,6770,6770,6730,6730,12500,ADC,-0.005908419497784312,0.0,0.0
2016-09-27,6730,6730,6730,6730,100,ADC,0.0,0.0,0.0
2016-09-28,6730,6730,6730,6730,100,ADC,0.0,0.0,0.0
2016-09-29,6730,6730,6730,6730,0,ADC,0.0,0.0,0.0
2016-09-30,6730,6730,6730,6730,100,ADC,0.0,6870.348368727056,6672.651631272944
2016-10-03,6730,6730,6730,6730,0,ADC,0.0,6800.230823708834,6718.769176291166
2016-10-04,6650,6650,6650,6650,200,ADC,-0.011887072808320909,6815.877880695003,6691.122119304997
2016-10-05,6650,6730,6650,6730,4650,ADC,0.012030075187969835,6814.19768735767,6688.80231264233
2016-10-06,6730,6730,6730,6730,0,ADC,0.0,6812.261453138053,6686.738546861947
2016-10-07,6730,6730,6730,6730,0,ADC,0.0,6810.069960843844,6684.930039156156
2016-10-10,6800,6800,6800,6800,100,ADC,0.010401188707280795,6815.000000000001,6682.999999999999
2016-10-11,6800,6800,6770,6770,2300,ADC,-0.004411764705882337,6815.000000000001,6682.999999999999
2016-10-12,6600,6600,6600,6600,100,ADC,-0.025110782865583436,6832.25510884959,6648.74489115041
2016-10-13,6600,6600,6600,6600,0,ADC,0.0,6841.105453575887,6622.894546424113
2016-10-14,6600,6600,6600,6600,100,ADC,0.0,6845.200451930139,6601.799548069861
2016-10-17,6600,6600,6600,6600,30,ADC,0.0,6845.919822792425,6584.080177207575
2016-10-18,6600,6600,6600,6600,10,ADC,0.0,6843.944534267464,6569.055465732536
2016-10-19,6560,6560,6560,6560,100,ADC,-0.0060606060606061,6838.92645187084,6550.07354812916
2016-10-20,6560,6560,6560,6560,2100,ADC,0.0,6835.314242555022,6532.685757444978
2016-10-21,6560,6560,6560,6560,0,ADC,0.0,6828.583848288596,6518.416151711404
2016-10-24,6560,6560,6560,6560,0,ADC,0.0,6825.312195418815,6504.687804581185
2016-10-25,6360,6360,6360,6360,2100,ADC,-0.030487804878048808,6851.66091245654,6441.33908754346
2016-10-26,6360,6360,6360,6360,0,ADC,0.0,6864.101673013979,6391.898326986021
2016-10-27,6360,6360,6360,6360,0,ADC,0.0,6867.6840428841415,6351.3159571158585
2016-10-28,6360,6360,6360,6360,0,ADC,0.0,6864.561693224764,6317.438306775236
2016-10-31,6360,6360,6360,6360,1000,ADC,0.0,6855.828431330144,6289.171568669856
2016-11-01,6360,6360,6360,6360,0,ADC,0.0,6853.404807002188,6262.595192997812
2016-11-02,6360,6360,6360,6360,60,ADC,0.0,6835.842707013349,6243.157292986651
2016-11-03,6360,6360,6360,6360,0,ADC,0.0,6813.636293032836,6228.363706967164
2016-11-04,6360,6360,6360,6360,0,ADC,0.0,6786.603854250519,6218.396145749481
2016-11-07,6360,6360,6360,6360,0,ADC,0.0,6735.723431526183,6225.276568473817
2016-11-08,6560,6560,6560,6560,100,ADC,0.03144654088050314,6691.810730128189,6248.189269871811
2016-11-09,6560,6560,6560,6560,0,ADC,0.0,6685.770521421059,6250.229478578941
2016-11-10,6560,6560,6560,6560,0,ADC,0.0,6679.5790251874005,6252.4209748125995
2016-11-11,6560,6560,6560,6560,0,ADC,0.0,6673.227149289953,6254.772850710047
2016-11-14,6560,6560,6560,6560,0,ADC,0.0,6666.704665310784,6257.295334689216
2016-11-15,6560,6560,6560,6560,0,ADC,0.0,6660.0,6260.0
2016-11-16,6560,6560,6560,6560,0,ADC,0.0,6660.0,6260.0
2016-11-17,6560,6560,6560,6560,1,ADC,0.0,6660.0,6260.0
2016-11-18,6560,6560,6560,6560,9,ADC,0.0,6660.0,6260.0
2016-11-21,6560,6560,6360,6360,10800,ADC,-0.030487804878048808,6648.997487421324,6251.002512578676
2016-11-22,6360,6360,6360,6360,0,ADC,0.0,6648.997487421324,6251.002512578676
2016-11-23,6360,6360,6360,6360,200,ADC,0.0,6648.997487421324,6251.002512578676
2016-11-24,6360,6360,6360,6360,0,ADC,0.0,6648.997487421324,6251.002512578676
2016-11-25,6360,6360,6360,6360,0,ADC,0.0,6648.997487421324,6251.002512578676
2016-11-28,6360,6360,6360,6360,5600,ADC,0.0,6648.997487421324,6251.002512578676
2016-11-29,6360,6360,6360,6360,0,ADC,0.0,6648.997487421324,6251.002512578676
2016-11-30,6360,6360,6360,6360,0,ADC,0.0,6648.997487421324,6251.002512578676
2016-12-01,6360,6360,6360,6360,9,ADC,0.0,6648.997487421324,6251.002512578676
2016-12-02,6360,6360,6360,6360,0,ADC,0.0,6648.997487421324,6251.002512578676
2016-12-05,6360,6360,6360,6360,0,ADC,0.0,6648.997487421324,6251.002512578676
2016-12-06,6360,6360,6360,6360,0,ADC,0.0,6635.959179422654,6244.040820577346
2016-12-07,6360,6360,6360,6360,0,ADC,0.0,6620.787840283389,6239.212159716611
2016-12-08,6360,6360,6360,6360,0,ADC,0.0,6603.303027798233,6236.696972201767
2016-12-09,6360,6360,6360,6360,0,ADC,0.0,6583.205080756888,6236.794919243112
2016-12-12,6360,6360,6360,6360,0,ADC,0.0,6560.0,6240.0
2016-12-13,6360,6360,6360,6360,0,ADC,0.0,6532.828568570857,6247.171431429143
2016-12-14,6310,6560,6310,6560,8400,ADC,0.03144654088050314,6532.828568570857,6247.171431429143
2016-12-15,6310,6310,6310,6310,3700,ADC,-0.038109756097560954,6501.092070943083,6253.907929056917
2016-12-16,6270,6270,6270,6270,600,ADC,-0.006339144215530945,6463.419121685066,6262.580878314934
2016-12-19,6270,6270,6270,6270,0,ADC,0.0,6466.809741020834,6250.190258979166
2016-12-20,6270,6270,6270,6270,2000,ADC,0.0,6468.960862905599,6239.039137094401
2016-12-21,6270,6270,6270,6270,130,ADC,0.0,6470.077775730025,6228.922224269975
2016-12-22,6270,6270,6270,6270,0,ADC,0.0,6470.299640861417,6219.700359138583
2016-12-23,6270,6270,6270,6270,0,ADC,0.0,6469.724610659116,6211.275389340884
2016-12-26,6270,6270,6270,6270,0,ADC,0.0,6468.423562857975,6203.576437142025
2016-12-27,6270,6270,6270,6270,0,ADC,0.0,6466.448138186491,6196.551861813509
2016-12-28,6270,6270,6270,6270,0,ADC,0.0,6463.835667864779,6190.164332135221
2016-12-29,6270,6270,6270,6270,2770,ADC,0.0,6460.612273169331,6184.387726830669
2016-12-30,6270,6270,6270,6270,0,ADC,0.0,6456.79481258318,6179.20518741682
2017-01-03,6270,6270,6270,6270,0,ADC,0.0,6452.392044408599,6174.607955591401
2017-01-04,6270,6270,6270,6270,0,ADC,0.0,6447.405202214368,6170.594797785632
2017-01-05,6270,6270,6270,6270,0,ADC,0.0,6441.828074332964,6167.171925667036
2017-01-06,6270,6270,6270,6270,0,ADC,0.0,6435.646599662506,6164.353400337494
2017-01-09,6240,6240,6240,6240,100,ADC,-0.004784688995215336,6429.114766032437,6158.885233967563
2017-01-10,6240,6240,6240,6240,0,ADC,0.0,6421.506554146229,6154.493445853771
2017-01-11,6240,6240,6240,6240,0,ADC,0.0,6412.782261794175,6151.217738205825
