Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2019-12-26,29970,29970,29970,29970,10000,ADG,0.0,0.0,0.0
2019-12-27,34450,34450,34450,34450,21600,ADG,0.14948281614948278,0.0,0.0
2019-12-30,34950,35420,34950,36240,19400,ADG,0.05195936139332358,0.0,0.0
2019-12-31,34840,35610,34450,35380,18900,ADG,-0.02373068432671077,0.0,0.0
2020-01-02,35070,35070,34020,35030,21500,ADG,-0.009892594686263467,0.0,0.0
2020-01-03,35030,36980,34950,34950,3500,ADG,-0.00228375677990289,0.0,0.0
2020-01-06,34450,36310,34450,36280,6700,ADG,0.03805436337625179,0.0,0.0
2020-01-07,35030,35030,34870,34950,8300,ADG,-0.03665931642778386,0.0,0.0
2020-01-08,35030,35030,34490,35110,9600,ADG,0.004577968526466414,0.0,0.0
2020-01-09,34680,35150,34680,35190,11700,ADG,0.0022785531187696773,0.0,0.0
2020-01-10,35190,35190,34910,35030,5300,ADG,-0.004546746234725729,0.0,0.0
2020-01-13,35030,35030,34720,34720,8700,ADG,-0.008849557522123908,0.0,0.0
2020-01-14,34720,35110,34720,35110,11700,ADG,0.01123271889400912,0.0,0.0
2020-01-15,35190,35420,35030,35340,13100,ADG,0.006550840216462461,0.0,0.0
2020-01-16,35420,35420,35030,35030,10600,ADG,-0.00877192982456143,0.0,0.0
2020-01-17,34990,35070,34840,34840,8500,ADG,-0.005423922352269517,0.0,0.0
2020-01-20,34840,35300,34840,35300,14200,ADG,0.01320321469575192,0.0,0.0
2020-01-21,34990,35110,34990,35110,7800,ADG,-0.00538243626062318,0.0,0.0
2020-01-22,34950,35380,34950,35500,10200,ADG,0.011107946454001816,0.0,0.0
2020-01-30,35030,35340,35030,35300,12800,ADG,-0.005633802816901401,0.0,0.0
2020-01-31,35300,35340,35220,35220,10700,ADG,-0.002266288951841333,36048.828976775774,34359.171023224226
2020-02-03,35300,35300,35110,35260,9600,ADG,0.0011357183418512218,36015.278178206936,34473.721821793064
2020-02-04,35260,35260,35110,35260,9100,ADG,0.0,35817.06174270945,34573.93825729055
2020-02-05,35260,35500,35260,35500,8100,ADG,0.006806579693704018,35832.317723276705,34570.682276723295
2020-02-06,35610,36040,35610,36040,10200,ADG,0.015211267605633738,35974.81671259041,34529.18328740959
2020-02-07,36040,36040,35650,35730,11900,ADG,-0.00860155382907879,36028.452371343395,34553.547628656605
2020-02-10,35810,36200,35570,35930,9700,ADG,0.005597537083683157,35928.21444156976,34618.78555843024
2020-02-11,35810,36080,35770,36080,8400,ADG,0.004174784302811041,36054.5964394061,34605.4035605939
2020-02-12,35810,35810,35540,35540,10900,ADG,-0.014966740576496718,36074.22470554147,34628.77529445853
2020-02-13,35770,36200,35770,36200,14600,ADG,0.018570624648283518,36208.78621703646,34595.21378296354
2020-02-14,36160,36310,36080,36080,14000,ADG,-0.0033149171270717703,36293.62990651031,34615.37009348969
2020-02-17,36200,36240,36120,36160,11500,ADG,0.0022172949002217113,36348.1148732831,34704.8851267169
2020-02-18,36160,36160,36160,36280,13700,ADG,0.0033185840707965486,36445.36038960426,34724.63961039574
2020-02-19,36280,36780,36280,36740,15300,ADG,0.012679162072767314,36642.633535275105,34667.366464724895
2020-02-20,36740,36980,36700,36940,14500,ADG,0.005443658138268859,36841.85649537628,34659.14350462372
2020-02-21,36980,36980,36780,36860,16400,ADG,-0.0021656740660530582,36960.8471052831,34742.1528947169
2020-02-24,36860,36860,36590,36590,15500,ADG,-0.007325013564839944,37039.50166889062,34792.49833110938
2020-02-25,36660,36660,36390,36590,14600,ADG,0.0,37086.0291966914,34893.9708033086
2020-02-26,36390,41140,36310,36940,16300,ADG,0.009565455042361393,37207.87259326681,34916.12740673319
2020-02-27,36700,37020,36660,37020,16100,ADG,0.0021656740660531693,37310.26675079347,34985.73324920653
2020-02-28,37050,37050,36980,37050,22710,ADG,0.0008103727714747766,37383.11663156846,35095.88336843154
2020-03-02,37090,37130,37050,37130,12700,ADG,0.0021592442645075316,37446.37504911867,35219.62495088133
2020-03-03,37130,37250,37130,37170,18400,ADG,0.001077295987072402,37483.474407272515,35373.525592727485
2020-03-04,37170,37170,36980,36980,22310,ADG,-0.005111649179445843,37492.18429309553,35512.81570690447
2020-03-05,37210,37370,37130,37130,20800,ADG,0.004056246619794424,37558.780415061105,35555.219584938895
2020-03-06,37130,37130,37020,37090,19800,ADG,-0.001077295987072402,37576.367436903325,35673.632563096675
2020-03-09,36740,36740,35810,35810,18100,ADG,-0.03451064977082774,37589.15256532156,35648.84743467844
2020-03-10,35610,36200,35420,36200,19300,ADG,0.010890812622172508,37583.154476063224,35666.845523936776
2020-03-11,35930,36390,35690,35690,16300,ADG,-0.014088397790055218,37558.36986126561,35706.63013873439
2020-03-12,35730,35730,35650,35690,17600,ADG,0.0,37604.43871992218,35609.56128007782
2020-03-13,35650,35770,35500,35770,17900,ADG,0.0022415242364808297,37630.00421279839,35552.99578720161
2020-03-16,35300,35570,35300,35340,17610,ADG,-0.012021246854906353,37711.43884421187,35389.56115578813
2020-03-17,35340,35500,35340,35500,18808,ADG,0.004527447651386574,37755.59444979069,35267.40555020931
2020-03-18,35500,35500,35420,35460,5300,ADG,-0.0011267605633802358,37767.37688819829,35127.62311180171
2020-03-19,35460,35460,35340,35340,9700,ADG,-0.0033840947546531774,37750.711842054574,34984.288157945426
2020-03-20,35340,35380,35340,35340,4300,ADG,0.0,37724.26341382658,34858.73658617342
2020-03-23,35260,35260,35150,35150,3900,ADG,-0.005376344086021501,37727.76357113072,34711.23642886928
2020-03-24,35190,36280,35110,35110,4600,ADG,-0.001137980085348489,37717.663795537854,34573.336204462146
2020-03-25,36280,36700,36280,36700,3700,ADG,0.04528624323554542,37684.748207090015,34582.251792909985
2020-03-26,36390,37090,36390,36550,4800,ADG,-0.004087193460490468,37620.52308820488,34599.47691179512
2020-03-27,36390,36630,36390,36550,4200,ADG,0.0,37548.27714394779,34621.72285605221
2020-03-30,36160,36160,36040,36040,2600,ADG,-0.013953488372092981,37412.99737793603,34648.00262206397
2020-03-31,35810,36160,35810,35810,2500,ADG,-0.0063817980022197185,37244.23125108191,34680.76874891809
2020-04-01,35850,36040,35850,36040,800,ADG,0.0064227869310249375,37110.547697792856,34720.452302207144
2020-04-03,36040,36040,36040,36040,700,ADG,0.0,36921.35654380968,34800.64345619032
2020-04-06,36040,36120,36040,36120,640,ADG,0.002219755826859071,36721.49669966398,34903.50330033602
2020-04-07,36120,36120,36080,36080,700,ADG,-0.001107419712070845,36742.4365771836,34909.5634228164
2020-04-08,36080,36080,35890,35890,500,ADG,-0.005266075388026592,36711.46559312773,34909.53440687227
2020-04-09,36000,36000,36000,36000,610,ADG,0.0030649205906938537,36728.80451926206,34923.19548073794
2020-04-10,36000,36000,35960,35960,800,ADG,-0.0011111111111110628,36741.84084469229,34937.15915530771
2020-04-13,36000,36120,36000,36000,502,ADG,0.0011123470522802492,36755.364970573275,34946.635029426725
2020-04-14,36040,36120,35770,36080,3100,ADG,0.0022222222222221255,36765.874706322036,35010.125293677964
2020-04-15,36000,36120,36000,36040,4800,ADG,-0.0011086474501108556,36776.54512360061,35053.45487639939
2020-04-16,36040,36080,36000,36080,4500,ADG,0.0011098779134295356,36784.126482101594,35107.873517898406
2020-04-17,36080,36160,36080,36080,4700,ADG,0.0,36774.911611229436,35191.088388770564
2020-04-20,36120,36200,36080,36200,9300,ADG,0.003325942350332678,36765.2266228972,35286.7733771028
2020-04-21,36000,36120,35960,36120,8900,ADG,-0.0022099447513812542,36695.256796177055,35453.743203822945
2020-04-22,36080,36160,35890,36160,9700,ADG,0.001107419712070845,36562.57318558423,35691.42681441577
2020-04-23,36240,36510,36160,36430,9100,ADG,0.007466814159291957,36489.91864990991,35737.08135009009
2020-04-24,36430,36510,36310,36470,9900,ADG,0.0010979961570134478,36468.58077085803,35750.41922914197
2020-04-27,36430,36980,36430,36590,8200,ADG,0.0032903756512201454,36480.676109736254,35742.323890263746
2020-04-28,36590,36590,36430,36470,9340,ADG,-0.0032795845859524553,36531.90349710174,35734.09650289826
2020-04-29,36510,36980,36510,36980,10600,ADG,0.01398409651768584,36709.23641942594,35673.76358057406
2020-05-04,37170,41720,36980,38960,7600,ADG,0.0535424553812871,37645.59594449337,35029.40405550663
2020-05-05,38960,41260,38960,39970,10900,ADG,0.02592402464065713,38578.00978471239,34489.99021528761
2020-05-06,40600,42810,40090,40090,8900,ADG,0.003002251688766666,39284.972330898025,34180.027669101975
2020-05-07,40360,40440,40320,40400,9700,ADG,0.007732601646295745,39937.387920280715,33959.612079719285
2020-05-08,40400,40440,40360,40440,8100,ADG,0.000990099009900991,40483.636013832234,33868.363986167766
2020-05-11,40400,41490,40400,41490,11300,ADG,0.02596439169139475,41203.442712059434,33697.557287940566
2020-05-12,41060,41100,40630,41100,8600,ADG,-0.009399855386840184,41712.476279580194,33702.523720419806
2020-05-13,41260,41650,41100,41410,20700,ADG,0.0075425790754257704,42209.51793095574,33746.48206904426
2020-05-14,41570,41690,41260,41690,8700,ADG,0.006761651774933597,42688.66150947118,33828.33849052882
2020-05-15,41650,43130,41450,41570,11500,ADG,-0.002878388102662499,43065.935885664236,34004.064114335764
2020-05-18,42190,42620,42150,42150,7800,ADG,0.013952369497233663,43482.76215883643,34194.23784116357
2020-05-19,42390,42810,42310,42430,9700,ADG,0.006642941874258623,43870.218493027234,34441.781506972766
2020-05-20,42810,42810,41880,42350,8500,ADG,-0.0018854584020739917,44168.64303714563,34758.35696285437
2020-05-21,42310,42310,41610,42310,11500,ADG,-0.0009445100354191771,44370.81730824529,35175.18269175471
2020-05-22,41450,41690,41450,41690,10400,ADG,-0.014653746159300374,44403.61747659615,35695.38252340385
2020-05-25,41260,42040,41180,41840,13100,ADG,0.003597985128328096,44404.933291988986,36235.066708011014
2020-05-26,41570,41690,41490,41690,10300,ADG,-0.0035850860420649777,44299.20870850467,36862.79129149533
2020-05-27,41650,41840,41650,41800,9200,ADG,0.0026385224274405594,44107.263463571726,37575.736536428274
2020-05-28,41760,42040,41760,41960,11300,ADG,0.00382775119617218,43722.14965034627,38509.85034965373
2020-05-29,41760,41880,41760,41840,10700,ADG,-0.0028598665395614953,43158.821102220994,39559.178897779006
2020-06-01,41650,41650,41340,41490,9400,ADG,-0.008365200764818392,42909.4870083677,40061.5129916323
2020-06-02,41490,41530,40950,41370,10600,ADG,-0.002892263195950817,42801.07577047725,40309.92422952275
2020-06-03,41410,41410,40990,41370,10100,ADG,0.0,42674.212757104986,40564.787242895014
2020-06-04,41140,41650,41140,41370,15600,ADG,0.0,42572.44679224375,40763.55320775625
2020-06-05,40600,41370,40600,41370,17900,ADG,0.0,42439.44068722896,40989.55931277104
2020-06-08,41100,41370,41100,41300,14800,ADG,-0.0016920473773265332,42446.25569137781,40963.74430862219
2020-06-09,41220,41260,41060,41140,20540,ADG,-0.0038740920096852483,42441.9040753731,40972.0959246269
2020-06-10,41140,41260,40910,41180,23600,ADG,0.000972289742343202,42455.40723118023,40935.59276881977
2020-06-11,40520,41220,40280,40950,19900,ADG,-0.0055852355512384655,42485.01739243648,40831.98260756352
2020-06-12,40090,40990,40090,40870,19400,ADG,-0.0019536019536019467,42518.49217873677,40728.50782126323
2020-06-15,39740,41610,39740,40090,18200,ADG,-0.01908490335209201,42603.76312593017,40437.23687406983
2020-06-16,41410,41410,40170,40170,16300,ADG,0.0019955101022699484,42557.1586449899,40257.8413550101
2020-06-17,39930,40280,39930,40280,19500,ADG,0.002738361961662994,42468.24052497755,40139.75947502245
2020-06-18,40130,40170,40090,40170,15300,ADG,-0.0027308838133068836,42365.094174285616,40028.905825714384
2020-06-19,39970,40320,39970,40280,17600,ADG,0.002738361961662994,42336.51280984955,39916.48719015045
2020-06-22,40090,40480,40090,40360,19300,ADG,0.0019860973187686426,42259.941509970566,39845.058490029434
2020-06-23,41060,41100,40280,40280,14920,ADG,-0.001982160555004997,42196.95020474092,39767.04979525908
2020-06-24,40320,40440,40320,40360,17400,ADG,0.0019860973187686426,42092.75948527163,39727.24051472837
2020-06-25,40400,41060,40400,40600,13700,ADG,0.005946481665014769,41927.883971702315,39756.116028297685
2020-06-26,40870,40870,40480,40600,18300,ADG,0.0,41768.06882351383,39791.93117648617
2020-06-29,40630,40870,40400,40560,14300,ADG,-0.0009852216748768017,41669.710980495314,39797.289019504686
2020-06-30,40600,41260,40600,41260,19800,ADG,0.01725838264299795,41650.37953142944,39805.62046857056
2020-07-01,41060,41880,41060,41800,23700,ADG,0.013087736306349962,41747.66782156108,39751.33217843892
2020-07-02,41650,41840,41650,41800,15600,ADG,0.0,41837.86269032148,39704.13730967852
2020-07-03,41760,41760,41650,41720,19200,ADG,-0.00191387559808609,41904.4439950105,39672.5560049895
2020-07-06,41370,41650,41370,41570,13400,ADG,-0.0035953978906999584,41948.48331867498,39655.51668132502
2020-07-07,41650,41840,41300,41450,16100,ADG,-0.0028866971373586736,41989.931234657284,39645.068765342716
2020-07-08,42110,42660,41720,42000,17620,ADG,0.013268998793727338,42131.783550510256,39585.216449489744
2020-07-09,42110,43590,42110,42460,21600,ADG,0.010952380952381047,42386.49302924317,39481.50697075683
2020-07-10,42850,44760,42780,42810,26100,ADG,0.008243052284503172,42696.87994765529,39365.12005234471
2020-07-13,43010,44370,43010,43790,19900,ADG,0.02289184769913577,43211.88977651572,39220.11022348428
2020-07-14,44060,45110,43790,44220,24820,ADG,0.009819593514501124,43743.479784858355,39093.520215141645
2020-07-15,44570,44570,44370,44370,21400,ADG,0.0033921302578019397,44215.54392441092,39030.45607558908
2020-07-16,45630,49480,45630,46140,29300,ADG,0.03989181879648407,45087.4581488074,38755.5418511926
2020-07-17,47560,47560,44800,45630,24700,ADG,-0.011053315994798418,45645.69726762411,38732.30273237589
2020-07-20,43710,45970,43710,45210,24900,ADG,-0.009204470742932291,46018.94630621839,38844.05369378161
2020-07-21,44040,45050,43540,44460,22200,ADG,-0.016589250165892522,46189.05167638855,39091.94832361145
2020-07-22,44380,44380,43710,43710,26600,ADG,-0.01686909581646423,46223.93676756464,39392.06323243536
2020-07-23,44040,44040,42620,42620,15470,ADG,-0.02493708533516359,46173.94042824674,39644.05957175326
2020-07-24,42790,42790,41110,42700,17157,ADG,0.0018770530267480101,46105.62999079774,39922.37000920226
2020-07-27,41110,41110,36000,39860,16620,ADG,-0.06651053864168621,46194.33761835363,39763.66238164637
2020-07-28,39100,40610,39100,40270,21900,ADG,0.010286001003512402,46276.93767679101,39582.06232320899
2020-07-29,40110,40110,37680,39350,26300,ADG,-0.022845790911348418,46474.79552319919,39139.20447680081
2020-07-30,39270,40190,39270,39860,21223,ADG,0.012960609911054632,46576.42470507315,38843.57529492685
2020-07-31,38930,39860,38930,39440,20710,ADG,-0.010536879076768702,46699.63448664717,38492.36551335283
2020-08-03,39350,45210,38600,42700,23490,ADG,0.08265720081135908,46729.10091252504,38575.89908747496
2020-08-04,41530,42200,41450,41700,18100,ADG,-0.023419203747072626,46728.28684687655,38601.71315312345
2020-08-05,43040,43040,40940,41870,24600,ADG,0.004076738609112729,46726.43448816473,38590.56551183527
2020-08-06,41110,42200,41110,41200,22361,ADG,-0.01600191067590162,46712.51093027453,38478.48906972547
2020-08-07,41110,41610,41030,41360,23400,ADG,0.003883495145631022,46673.28240003015,38372.71759996985
2020-08-10,41280,42280,41280,41700,24060,ADG,0.00822050290135401,46541.06849548919,38295.93150451081
2020-08-11,41530,41780,41450,41610,26900,ADG,-0.0021582733812949284,46338.81522659328,38237.18477340672
2020-08-12,42700,42700,41610,41870,24030,ADG,0.006248497957221932,46101.85821019239,38224.14178980761
2020-08-13,41870,42280,41700,41870,27300,ADG,0.0,45440.36507903127,38458.63492096873
2020-08-14,41870,41870,40360,41200,19500,ADG,-0.01600191067590162,44792.804072041145,38663.195927958855
2020-08-17,41280,42030,41280,41530,24500,ADG,0.008009708737864107,44159.449483358454,38928.550516641546
2020-08-18,42950,42950,41360,42200,26441,ADG,0.01613291596436306,43705.85296228129,39156.14703771871
2020-08-19,40690,42030,40690,41870,18610,ADG,-0.00781990521327014,43373.91424880755,39304.08575119245
2020-08-20,41030,42280,41030,41360,20000,ADG,-0.012180558872701197,43224.56254711004,39327.43745288996
2020-08-21,41700,41700,41280,41610,22800,ADG,0.006044487427466105,43065.889058740046,39377.110941259954
