Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,11450,11450,11450,11450,500,ADP,0.0,0.0,0.0
2016-09-05,11130,11130,11050,11050,4500,ADP,-0.03493449781659386,0.0,0.0
2016-09-06,11050,11050,11050,11050,0,ADP,0.0,0.0,0.0
2016-09-07,11050,11050,11050,11050,0,ADP,0.0,0.0,0.0
2016-09-08,11050,11050,11050,11050,0,ADP,0.0,0.0,0.0
2016-09-09,11050,11050,11050,11050,0,ADP,0.0,0.0,0.0
2016-09-12,11050,11050,11050,11050,0,ADP,0.0,0.0,0.0
2016-09-13,11690,11780,11690,11780,3300,ADP,0.06606334841628958,0.0,0.0
2016-09-14,11760,11760,11760,11760,0,ADP,-0.001697792869269965,0.0,0.0
2016-09-15,11760,11760,11760,11760,0,ADP,0.0,0.0,0.0
2016-09-16,12100,12320,12100,12320,4500,ADP,0.04761904761904767,0.0,0.0
2016-09-19,12160,12160,12160,12160,0,ADP,-0.012987012987012991,0.0,0.0
2016-09-20,12160,12320,12160,12320,1300,ADP,0.013157894736842035,0.0,0.0
2016-09-21,12220,12220,12220,12220,0,ADP,-0.008116883116883078,0.0,0.0
2016-09-22,11930,12130,11860,12130,1700,ADP,-0.0073649754500818565,0.0,0.0
2016-09-23,13710,13710,13710,13710,100,ADP,0.1302555647155812,0.0,0.0
2016-09-26,13120,13120,13120,13120,1000,ADP,-0.04303428154631661,0.0,0.0
2016-09-27,13120,13120,13120,13120,0,ADP,0.0,0.0,0.0
2016-09-28,11660,11660,11660,11660,3600,ADP,-0.11128048780487809,0.0,0.0
2016-09-29,11660,11660,11660,11660,0,ADP,0.0,0.0,0.0
2016-09-30,11660,11660,11660,11660,1000,ADP,0.0,13392.965208346435,10375.034791653565
2016-10-03,11660,11660,11660,11660,2000,ADP,0.0,13378.801539984166,10450.198460015834
2016-10-04,12240,12240,12240,12240,100,ADP,0.0497427101200687,13388.827197929131,10559.172802070869
2016-10-05,11660,11660,11660,11660,500,ADP,-0.04738562091503273,13363.536055445182,10645.463944554818
2016-10-06,11660,11660,11660,11660,0,ADP,0.0,13332.99075497478,10737.00924502522
2016-10-07,11660,11660,11660,11660,0,ADP,0.0,13296.40982610425,10834.59017389575
2016-10-10,11950,11950,11950,11950,200,ADP,0.02487135506003435,13252.191289272192,10968.808710727808
2016-10-11,11950,11950,11950,11950,100,ADP,0.0,13253.229253722544,10984.770746277456
2016-10-12,11950,11950,11950,11950,0,ADP,0.0,13253.689317403963,11003.310682596037
2016-10-13,11950,11950,11950,11950,0,ADP,0.0,13253.752660763128,11022.247339236872
2016-10-14,11950,11950,11950,11950,0,ADP,0.0,13234.838065341624,11004.161934658376
2016-10-17,11950,11950,11950,11950,0,ADP,0.0,13226.56700022862,10991.43299977138
2016-10-18,11950,11950,11950,11950,100,ADP,0.0,13205.730469454633,10975.269530545367
2016-10-19,11950,11950,11950,11950,0,ADP,0.0,13192.16994220612,10961.83005779388
2016-10-20,11950,11950,11950,11950,0,ADP,0.0,13184.218616580103,10951.781383419897
2016-10-21,11950,11950,11950,11950,0,ADP,0.0,12803.723254497527,11156.276745502473
2016-10-24,11950,11950,11950,11950,0,ADP,0.0,12557.96759540451,11285.03240459549
2016-10-25,11950,11950,11950,11950,100,ADP,0.0,12185.93033304414,11540.06966695586
2016-10-26,11950,11950,11950,11950,0,ADP,0.0,12188.490353548143,11566.509646451857
2016-10-27,13120,13120,13120,13120,100,ADP,0.09790794979079487,12562.626620888193,11338.373379111807
2016-10-28,13120,13120,13120,13120,0,ADP,0.0,12804.55761631265,11242.44238368735
2016-10-31,11660,11950,11660,11950,1800,ADP,-0.08917682926829273,12802.109939733804,11273.890060266196
2016-11-01,11660,11660,11660,11660,300,ADP,-0.024267782426778295,12784.187719200967,11233.812280799033
2016-11-02,11660,11660,11660,11660,0,ADP,0.0,12784.187719200967,11233.812280799033
2016-11-03,11660,11660,11660,11660,0,ADP,0.0,12784.187719200967,11233.812280799033
2016-11-04,11660,11660,11660,11660,0,ADP,0.0,12784.187719200967,11233.812280799033
2016-11-07,11660,11660,11660,11660,0,ADP,0.0,12784.271485937545,11204.728514062455
2016-11-08,12240,12240,12240,12240,100,ADP,0.0497427101200687,12805.590233432471,11212.409766567529
2016-11-09,12240,12240,12240,12240,0,ADP,0.0,12825.803558511365,11221.196441488635
2016-11-10,12240,12240,12240,12240,0,ADP,0.0,12844.934941615493,11231.065058384507
2016-11-11,12540,12540,12540,12540,600,ADP,0.02450980392156854,12902.074742009365,11232.925257990635
2016-11-14,12540,12540,12540,12540,0,ADP,0.0,12954.277084728152,11239.722915271848
2016-11-15,12540,12540,12540,12540,0,ADP,0.0,13001.926181925122,11251.073818074878
2016-11-16,12540,12540,12540,12540,0,ADP,0.0,13045.30084898194,11266.69915101806
2016-11-17,10660,12240,10660,10790,900,ADP,-0.1395534290271132,13166.692659280487,11029.307340719513
2016-11-18,11660,11660,11660,11660,160,ADP,0.08063021316033359,13167.589940918187,10999.410059081813
2016-11-21,11660,11660,11660,11660,0,ADP,0.0,13167.506258516536,10970.493741483464
