Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,4730,4950,4730,4950,121450,ADS,0.0,0.0,0.0
2016-09-05,4820,5170,4820,5170,110020,ADS,0.04444444444444451,0.0,0.0
2016-09-06,5290,5420,5170,5200,103380,ADS,0.005802707930367523,0.0,0.0
2016-09-07,5200,5230,4970,5040,98350,ADS,-0.03076923076923077,0.0,0.0
2016-09-08,4970,5070,4950,5040,81460,ADS,0.0,0.0,0.0
2016-09-09,5040,5200,4950,5140,78960,ADS,0.01984126984126977,0.0,0.0
2016-09-12,5100,5420,5100,5420,123220,ADS,0.054474708171206254,0.0,0.0
2016-09-13,5360,5520,5310,5460,97110,ADS,0.007380073800737907,0.0,0.0
2016-09-14,5500,5550,5310,5470,90800,ADS,0.001831501831501825,0.0,0.0
2016-09-15,5400,5400,5200,5270,95190,ADS,-0.03656307129798908,0.0,0.0
2016-09-16,5220,5290,5200,5290,86950,ADS,0.00379506641366234,0.0,0.0
2016-09-19,5290,5360,5220,5360,91620,ADS,0.013232514177693666,0.0,0.0
2016-09-20,5360,5360,5270,5360,85110,ADS,0.0,0.0,0.0
2016-09-21,5360,5420,5360,5400,86800,ADS,0.00746268656716409,0.0,0.0
2016-09-22,5400,5490,5310,5490,108320,ADS,0.016666666666666607,0.0,0.0
2016-09-23,5500,5500,5380,5460,79730,ADS,-0.005464480874316946,0.0,0.0
2016-09-26,5460,5460,5330,5330,49970,ADS,-0.023809523809523836,0.0,0.0
2016-09-27,5330,5400,5140,5360,101520,ADS,0.0056285178236397115,0.0,0.0
2016-09-28,5380,5420,5380,5420,104170,ADS,0.011194029850746245,0.0,0.0
2016-09-29,5360,5490,5360,5490,115660,ADS,0.012915129151291449,0.0,0.0
2016-09-30,5470,5490,5330,5360,88400,ADS,-0.023679417122040025,5602.563398515631,5050.436601484369
2016-10-03,5400,5400,5270,5340,52340,ADS,-0.003731343283582045,5601.57081610709,5068.42918389291
2016-10-04,5340,5340,5290,5330,75780,ADS,-0.0018726591760299671,5600.827977665349,5082.172022334651
2016-10-05,5310,5420,5310,5380,96730,ADS,0.009380863039399667,5578.070034385387,5138.929965614613
2016-10-06,5340,5400,5330,5360,97520,ADS,-0.0037174721189591198,5538.50914608643,5210.49085391357
2016-10-07,5360,5400,5330,5400,58320,ADS,0.00746268656716409,5511.415293648524,5263.584706351476
2016-10-10,5380,5400,5340,5380,94760,ADS,-0.0037037037037036535,5508.5406436914245,5262.4593563085755
2016-10-11,5400,5400,5310,5360,44580,ADS,-0.0037174721189591198,5499.070654042221,5261.929345957779
2016-10-12,5400,5400,5230,5400,75810,ADS,0.00746268656716409,5488.731821787707,5265.268178212293
2016-10-13,5380,5400,5270,5400,70280,ADS,0.0,5484.152868811574,5282.847131188426
2016-10-14,5380,5380,5200,5200,37340,ADS,-0.03703703703703709,5501.621368447754,5256.378631552246
2016-10-17,5200,5270,5170,5170,18770,ADS,-0.005769230769230749,5522.271070559841,5216.728929440159
2016-10-18,5100,5170,5100,5160,24310,ADS,-0.0019342359767892114,5537.5421298457195,5181.4578701542805
2016-10-19,5160,5250,5100,5220,92100,ADS,0.011627906976744207,5537.419768884942,5163.580231115058
2016-10-20,5250,5270,5220,5270,75590,ADS,0.009578544061302763,5517.990896126385,5161.009103873615
2016-10-21,5290,5290,5220,5270,98350,ADS,0.0,5501.9302184027,5158.0697815973
2016-10-24,5250,5360,5230,5270,93630,ADS,0.0,5500.908021666627,5153.091978333373
2016-10-25,5230,5290,5230,5290,94260,ADS,0.00379506641366234,5497.428146083375,5149.571853916625
2016-10-26,5290,5460,5230,5460,154530,ADS,0.032136105860113506,5504.661937922093,5146.338062077907
2016-10-27,5470,5500,5360,5420,110630,ADS,-0.0073260073260073,5490.594187325661,5153.405812674339
2016-10-28,5380,5570,5310,5570,185940,ADS,0.027675276752767486,5532.48749960935,5132.51250039065
2016-10-31,5460,5940,5460,5940,219600,ADS,0.06642728904847406,5694.456322428117,5030.543677571883
2016-11-01,5960,5980,5870,5900,194070,ADS,-0.006734006734006703,5796.605719880773,4985.394280119227
2016-11-02,5870,6030,5870,5980,202860,ADS,0.013559322033898313,5900.87081594946,4941.12918405054
2016-11-03,5980,6030,5900,6020,194060,ADS,0.006688963210702337,5998.918342506471,4909.081657493529
2016-11-04,6050,6060,6020,6050,146470,ADS,0.004983388704318914,6089.136706482438,4883.863293517562
2016-11-07,6320,6380,6260,6380,165470,ADS,0.05454545454545445,6251.042510981677,4821.957489018323
2016-11-08,6460,6460,6260,6380,162620,ADS,0.0,6385.14340403466,4789.85659596534
2016-11-09,6410,6410,6200,6380,182130,ADS,0.0,6499.756045446541,4773.243954553459
2016-11-10,6480,6580,6480,6580,171940,ADS,0.03134796238244508,6643.201957368455,4747.798042631545
2016-11-11,6610,6660,6530,6530,171390,ADS,-0.0075987841945288626,6747.2025172521635,4776.7974827478365
2016-11-14,6570,6660,6390,6440,287010,ADS,-0.013782542113323082,6813.598679282591,4837.401320717409
2016-11-15,6460,6700,6440,6700,189730,ADS,0.04037267080745344,6910.9616998180945,4894.0383001819055
2016-11-16,6700,6930,6640,6930,155730,ADS,0.0343283582089553,7039.543627245203,4936.456372754797
2016-11-17,7030,7050,6880,6900,222610,ADS,-0.0043290043290042934,7138.340025448149,5000.659974551851
2016-11-18,6900,6930,6880,6900,130110,ADS,0.0,7212.1107388015635,5089.8892611984365
2016-11-21,6900,6960,6850,6960,122630,ADS,0.008695652173912993,7271.385611445588,5199.614388554412
2016-11-22,6960,7030,6940,6960,153160,ADS,0.0,7304.57394446079,5333.42605553921
2016-11-23,6960,7030,6960,7020,126710,ADS,0.008620689655172376,7344.482981377502,5449.517018622498
2016-11-24,7030,7030,6930,6930,145490,ADS,-0.012820512820512775,7333.2177237631395,5611.7822762368605
2016-11-25,6980,6990,6900,6940,244680,ADS,0.0014430014430013571,7317.450899928644,5764.549100071356
2016-11-28,6980,6990,6930,6940,103770,ADS,0.0,7334.287293043544,5847.712706956456
2016-11-29,6940,7170,6940,7170,155340,ADS,0.033141210374639796,7367.170330517554,5941.829669482446
2016-11-30,7180,7180,7080,7100,88430,ADS,-0.009762900976290068,7376.87752062926,6044.12247937074
2016-12-01,7140,7140,6990,7050,184600,ADS,-0.007042253521126751,7362.9525771639555,6161.0474228360445
2016-12-02,7030,7030,6940,7030,173950,ADS,-0.0028368794326241176,7325.311189845214,6296.688810154786
2016-12-05,7020,7020,6750,6870,137220,ADS,-0.022759601706970112,7310.535788125484,6360.464211874516
2016-12-06,6870,6870,6680,6680,103650,ADS,-0.027656477438136817,7284.203815985056,6416.796184014944
