Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2021-01-08,14500,14500,14500,14500,23600,AIC,0.0,0.0,0.0
2021-01-11,16600,16600,16600,16600,100,AIC,0.14482758620689662,0.0,0.0
2021-01-12,19000,19000,19000,19000,23700,AIC,0.14457831325301207,0.0,0.0
2021-01-13,21800,21800,21800,21800,3000,AIC,0.1473684210526316,0.0,0.0
2021-01-14,25000,25000,25000,25000,15150,AIC,0.14678899082568808,0.0,0.0
2021-01-15,28700,28700,28700,28700,5900,AIC,0.1479999999999999,0.0,0.0
2021-01-18,33000,33000,26500,26500,34960,AIC,-0.0766550522648084,0.0,0.0
2021-01-19,26500,26500,26000,26000,6700,AIC,-0.018867924528301883,0.0,0.0
2021-01-20,22100,25900,22100,22100,9291,AIC,-0.15000000000000002,0.0,0.0
2021-01-21,18900,21100,18900,18900,32000,AIC,-0.14479638009049778,0.0,0.0
2021-01-22,16400,19500,16300,19000,6295,AIC,0.005291005291005346,0.0,0.0
2021-01-25,18000,19000,18000,18500,14300,AIC,-0.02631578947368418,0.0,0.0
2021-01-26,17000,17000,16000,16000,5700,AIC,-0.1351351351351351,0.0,0.0
2021-01-27,14600,14700,14000,14000,16912,AIC,-0.125,0.0,0.0
2021-01-28,12100,12500,12100,12100,20006,AIC,-0.13571428571428568,0.0,0.0
2021-01-29,11000,12300,10300,12100,17559,AIC,0.0,0.0,0.0
2021-02-01,11000,13300,11000,13300,3230,AIC,0.09917355371900816,0.0,0.0
2021-02-02,15000,15000,15000,15000,14339,AIC,0.1278195488721805,0.0,0.0
2021-02-03,17200,17200,17100,17200,21854,AIC,0.14666666666666672,0.0,0.0
2021-02-04,17500,19500,15100,15400,7322,AIC,-0.10465116279069764,0.0,0.0
2021-02-05,16300,16300,14900,15300,8754,AIC,-0.00649350649350644,28254.096530827803,8995.903469172197
2021-02-08,17200,17200,13300,15200,8000,AIC,-0.006535947712418277,28262.002626969872,8847.997373030126
2021-02-09,15000,16500,15000,16500,8508,AIC,0.08552631578947367,28175.17316418749,8684.82683581251
2021-02-17,16400,16500,13900,16000,9010,AIC,-0.030303030303030276,27811.690648485404,8468.309351514596
2021-02-18,17500,17500,15100,15500,1914,AIC,-0.03125,26863.97276873891,8466.027231261089
2021-02-19,15500,15500,15500,15500,500,AIC,0.0,24716.15425860487,9293.84574139513
2021-02-22,15600,15600,15000,15000,5831,AIC,-0.032258064516129004,22826.280168973215,10033.719831026785
2021-02-23,14900,15100,14900,15000,8868,AIC,0.0,20548.44727934246,11211.552720657539
2021-02-24,15900,15900,15000,15200,3900,AIC,0.01333333333333342,19232.715510960792,11837.284489039208
2021-02-25,15200,15300,14500,15000,12320,AIC,-0.013157894736842146,18703.56953250561,11976.430467494387
2021-02-26,14400,14500,14400,14400,1600,AIC,-0.040000000000000036,18042.507459496057,12177.492540503943
2021-03-01,14500,15300,14500,15300,4300,AIC,0.0625,17441.18445724118,12458.81554275882
2021-03-02,15000,15200,15000,15000,11830,AIC,-0.019607843137254943,17344.58585449561,12455.414145504392
2021-03-03,15100,15100,15000,15000,8900,AIC,0.0,17359.564275963607,12540.435724036393
2021-03-04,15100,15200,14900,14900,12500,AIC,-0.00666666666666671,17115.73443471745,13064.26556528255
2021-03-05,15000,15000,14500,14900,11420,AIC,0.0,16728.13217040421,13731.86782959579
2021-03-08,15000,15400,15000,15100,5201,AIC,0.01342281879194629,16532.60051129794,14107.39948870206
2021-03-09,15100,15100,15000,15000,1332,AIC,-0.0066225165562914245,16532.60051129794,14107.39948870206
2021-03-10,15000,15400,15000,15100,9900,AIC,0.006666666666666599,16068.87352693477,14361.12647306523
2021-03-11,15200,15200,14900,15100,6460,AIC,0.0,16050.88189544732,14349.11810455268
2021-03-12,15100,15100,15000,15100,5963,AIC,0.0,16040.646812725483,14339.353187274517
2021-03-15,15100,15400,15000,15400,8387,AIC,0.019867549668874274,16055.569985448312,14344.430014551688
2021-03-16,15200,15500,15100,15400,5080,AIC,0.0,15769.419730629987,14520.580269370013
2021-03-17,15200,16000,15200,16000,11340,AIC,0.03896103896103886,15769.419730629987,14520.580269370013
2021-03-18,16000,17800,16000,17700,26371,AIC,0.10624999999999996,16528.53837790623,13981.461622093773
2021-03-19,17500,18900,17500,18600,24088,AIC,0.05084745762711873,17346.904747270764,13473.095252729236
2021-03-22,18600,18700,17900,18100,13540,AIC,-0.026881720430107503,17816.466188953327,13313.533811046673
