Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,4933,5197,4492,5021,10120,ALV,0.0,0.0,0.0
2016-09-05,4580,4580,4580,4580,11524,ALV,-0.08783110934076876,0.0,0.0
2016-09-06,4757,4757,4140,4316,276400,ALV,-0.05764192139737989,0.0,0.0
2016-09-07,4228,4580,4228,4404,81700,ALV,0.020389249304912038,0.0,0.0
2016-09-08,4404,4492,4316,4492,71314,ALV,0.019981834695731227,0.0,0.0
2016-09-09,4316,4492,4316,4404,52084,ALV,-0.019590382902938575,0.0,0.0
2016-09-12,4316,4404,4228,4316,52800,ALV,-0.019981834695731115,0.0,0.0
2016-09-13,4228,4316,4140,4140,47500,ALV,-0.040778498609823965,0.0,0.0
2016-09-14,4052,4228,4052,4228,49200,ALV,0.021256038647343045,0.0,0.0
2016-09-15,4316,4316,4140,4228,50600,ALV,0.0,0.0,0.0
2016-09-16,4316,4316,4140,4228,38350,ALV,0.0,0.0,0.0
2016-09-19,4228,4316,4140,4316,72000,ALV,0.02081362346263016,0.0,0.0
2016-09-20,4228,4228,4140,4228,51500,ALV,-0.020389249304911927,0.0,0.0
2016-09-21,4228,4316,4140,4316,121600,ALV,0.02081362346263016,0.0,0.0
2016-09-22,4404,4404,4316,4404,101700,ALV,0.020389249304912038,0.0,0.0
2016-09-23,4316,4404,4316,4404,57200,ALV,0.0,0.0,0.0
2016-09-26,4404,4492,4316,4404,82800,ALV,0.0,0.0,0.0
2016-09-27,4316,4404,4316,4316,51700,ALV,-0.019981834695731115,0.0,0.0
2016-09-28,4316,4404,4228,4404,59566,ALV,0.020389249304912038,0.0,0.0
2016-09-29,4492,4492,4228,4404,102060,ALV,0.0,0.0,0.0
2016-09-30,4316,4492,4316,4404,84300,ALV,0.0,4549.5822477437305,4144.01775225627
2016-10-03,4316,4492,4316,4492,108824,ALV,0.019981834695731227,4527.827506050207,4156.972493949792
2016-10-04,4404,4580,4316,4580,157300,ALV,0.019590382902938464,4567.349285713081,4143.850714286919
2016-10-05,4580,4669,4580,4580,134900,ALV,0.0,4597.0597515686795,4131.74024843132
2016-10-06,4404,4492,4316,4404,41100,ALV,-0.0384279475982533,4586.076093384506,4133.923906615494
2016-10-07,4404,4492,4316,4492,49300,ALV,0.019981834695731227,4597.0597515686795,4131.74024843132
2016-10-10,4492,4580,4404,4492,40900,ALV,0.0,4611.125702688885,4135.274297311114
2016-10-11,4492,4580,4316,4404,61000,ALV,-0.019590382902938575,4599.061609135265,4173.738390864734
2016-10-12,4404,4404,4228,4316,44200,ALV,-0.019981834695731115,4593.582247743732,4188.017752256268
2016-10-13,4316,4404,3964,4316,57000,ALV,0.0,4587.1933332175895,4203.20666678241
2016-10-14,4316,4492,4316,4404,27600,ALV,0.020389249304912038,4580.000000000001,4227.999999999999
2016-10-17,4316,4404,4228,4316,46100,ALV,-0.019981834695731115,4580.000000000001,4227.999999999999
2016-10-18,4316,4316,4052,4228,64300,ALV,-0.020389249304911927,4580.000000000001,4227.999999999999
2016-10-19,4140,4228,4052,4140,48800,ALV,-0.02081362346263005,4602.700939756908,4187.6990602430915
2016-10-20,4140,4316,4052,4052,21441,ALV,-0.021256038647343045,4633.254767215478,4121.945232784523
2016-10-21,3964,4052,3699,3876,42000,ALV,-0.04343534057255671,4686.986598898764,4015.4134011012356
2016-10-24,3523,3523,3523,3523,4300,ALV,-0.0910732714138287,4798.695023370187,3815.6049766298115
2016-10-25,3523,3523,3171,3171,36210,ALV,-0.09991484530229922,4947.50874421125,3552.2912557887494
2016-10-26,2907,3171,2907,3083,78700,ALV,-0.0277514979501734,5042.214322417933,3325.485677582068
2016-10-27,3171,3171,2819,3171,21900,ALV,0.028543626337982575,5079.835755389278,3164.564244610721
2016-10-28,3171,3171,2907,3171,14320,ALV,0.0,5093.476614043802,3027.623385956198
2016-10-31,3083,3083,2907,2907,8300,ALV,-0.0832544938505203,5108.562542622611,2854.0374573773897
2016-11-01,2642,2907,2642,2730,27200,ALV,-0.0608875128998968,5104.5128937376585,2673.087106262342
2016-11-02,2907,2907,2730,2730,1800,ALV,0.0,5067.81281550757,2524.7871844924302
2016-11-03,2819,2995,2554,2730,8100,ALV,0.0,5032.547483803802,2392.652516196198
2016-11-04,2819,2819,2642,2642,800,ALV,-0.03223443223443223,4967.608946166957,2272.5910538330427
2016-11-07,2554,2907,2554,2907,3100,ALV,0.10030280090840282,4860.061321206721,2221.638678793279
2016-11-08,2907,2907,2907,2907,30,ALV,0.0,4750.233623605915,2181.7663763940845
2016-11-09,2819,2819,2642,2642,8500,ALV,-0.09115927072583419,4652.153708109709,2112.446291890291
