Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,15040,15180,15010,15180,2100,AMC,0.0,0.0,0.0
2016-09-05,15180,15180,15180,15180,0,AMC,0.0,0.0,0.0
2016-09-06,15740,15740,15650,15650,6300,AMC,0.030961791831356944,0.0,0.0
2016-09-07,15650,15650,15650,15650,0,AMC,0.0,0.0,0.0
2016-09-08,15740,15740,15740,15740,2000,AMC,0.005750798722044648,0.0,0.0
2016-09-09,15740,15740,15740,15740,0,AMC,0.0,0.0,0.0
2016-09-12,15740,15740,15740,15740,1000,AMC,0.0,0.0,0.0
2016-09-13,15740,15740,15740,15740,3200,AMC,0.0,0.0,0.0
2016-09-14,15740,15740,15740,15740,0,AMC,0.0,0.0,0.0
2016-09-15,15740,15740,15740,15740,900,AMC,0.0,0.0,0.0
2016-09-16,15560,15650,15560,15560,10700,AMC,-0.01143583227445999,0.0,0.0
2016-09-19,15560,15560,15560,15560,6300,AMC,0.0,0.0,0.0
2016-09-20,15560,15560,15560,15560,3100,AMC,0.0,0.0,0.0
2016-09-21,15320,15560,15320,15560,2100,AMC,0.0,0.0,0.0
2016-09-22,15140,15140,15090,15090,1300,AMC,-0.03020565552699228,0.0,0.0
2016-09-23,15090,15090,15090,15090,0,AMC,0.0,0.0,0.0
2016-09-26,15090,15090,15090,15090,0,AMC,0.0,0.0,0.0
2016-09-27,16260,16260,15520,15560,2000,AMC,0.031146454605699203,0.0,0.0
2016-09-28,15790,15790,15740,15740,3100,AMC,0.011568123393316254,0.0,0.0
2016-09-29,16260,16260,15600,15600,2100,AMC,-0.008894536213468918,0.0,0.0
2016-09-30,15600,15600,15600,15600,0,AMC,0.0,16004.682278138298,15088.317721861702
2016-10-03,15600,15600,15600,15600,5500,AMC,0.0,15993.968052730801,15141.031947269199
2016-10-04,15600,15600,15600,15600,7500,AMC,0.0,15990.088226136646,15139.911773863354
2016-10-05,15600,15600,15600,15600,200,AMC,0.0,15986.144898470406,15138.855101529594
2016-10-06,15790,15790,15650,15650,9500,AMC,0.0032051282051281937,15975.880365655054,15140.119634344946
2016-10-07,15650,15650,15650,15650,3000,AMC,0.0,15965.338560603546,15141.661439396454
2016-10-10,15650,15650,15650,15650,5000,AMC,0.0,15954.507089950348,15143.492910049652
2016-10-11,15650,15650,15650,15650,6000,AMC,0.0,15943.372159971086,15145.627840028914
2016-10-12,15650,15650,15560,15560,2500,AMC,-0.005750798722044759,15924.317437880556,15146.682562119444
2016-10-13,15560,15560,15560,15560,0,AMC,0.0,15904.138716235504,15148.861283764496
2016-10-14,15560,15560,15560,15560,0,AMC,0.0,15904.138716235504,15148.861283764496
2016-10-17,15560,15560,15560,15560,3100,AMC,0.0,15904.138716235504,15148.861283764496
2016-10-18,15560,15560,15560,15560,0,AMC,0.0,15904.138716235504,15148.861283764496
2016-10-19,15560,15560,15560,15560,0,AMC,0.0,15904.138716235504,15148.861283764496
2016-10-20,15560,15600,15560,15600,1600,AMC,0.0025706940874035134,15872.911202671394,15231.088797328606
2016-10-21,15600,15600,15600,15600,0,AMC,0.0,15818.653478100567,15336.346521899433
2016-10-24,15600,15600,15600,15600,1000,AMC,0.0,15693.133234713958,15512.866765286042
2016-10-25,15600,15600,15600,15600,0,AMC,0.0,15692.977269791698,15517.022730208302
2016-10-26,15600,15600,15600,15600,1000,AMC,0.0,15660.481997407263,15535.518002592737
2016-10-27,14950,15600,14950,15600,1100,AMC,0.0,15660.481997407263,15535.518002592737
2016-10-28,15600,15600,15600,15600,0,AMC,0.0,15660.481997407263,15535.518002592737
2016-10-31,15600,15600,15600,15600,0,AMC,0.0,15660.481997407263,15535.518002592737
2016-11-01,15600,15600,15600,15600,0,AMC,0.0,15660.481997407263,15535.518002592737
2016-11-02,15600,15600,15600,15600,0,AMC,0.0,15660.481997407263,15535.518002592737
2016-11-03,15600,15600,15600,15600,0,AMC,0.0,15653.284080852785,15537.715919147215
2016-11-04,15320,15320,15320,15320,300,AMC,-0.017948717948717996,15708.753612666473,15449.246387333527
2016-11-07,15320,15790,15320,15320,105900,AMC,0.0,15730.294517192906,15394.705482807094
2016-11-08,15320,15320,15320,15320,0,AMC,0.0,15739.121723273174,15352.878276726826
2016-11-09,15320,15320,15320,15320,0,AMC,0.0,15750.554842938227,15317.445157061773
2016-11-10,14390,14870,14390,14870,6200,AMC,-0.02937336814621405,15860.303270495155,15138.696729504845
2016-11-11,14390,15790,14390,15790,112400,AMC,0.06186953597848022,15892.8324239768,15129.1675760232
2016-11-14,15320,15320,14390,15320,1600,AMC,-0.029765674477517434,15888.917940084833,15109.082059915167
2016-11-15,14870,15320,14870,14870,47800,AMC,-0.02937336814621405,15939.535788125484,14989.464211874516
2016-11-16,14870,14870,14870,14870,1500,AMC,0.0,15968.29360018488,14891.70639981512
2016-11-17,14870,14870,14870,14870,0,AMC,0.0,15977.769629537595,14809.230370462405
2016-11-18,14870,14870,14870,14870,0,AMC,0.0,15975.323539904472,14738.676460095528
2016-11-21,14870,14870,14870,14870,50300,AMC,0.0,15962.854263627165,14678.145736372835
2016-11-22,14730,14870,14730,14870,4100,AMC,0.0,15941.461785961737,14626.538214038263
2016-11-23,14870,14870,14870,14870,100,AMC,0.0,15911.755222034419,14583.244777965581
2016-11-24,14870,14870,14870,14870,0,AMC,0.0,15873.990196005941,14548.009803994059
2016-11-25,15090,15090,15090,15090,300,AMC,0.01479488903833226,15825.514843577863,14545.485156422137
2016-11-28,14640,15090,14640,15090,1100,AMC,0.0,15771.947710184453,14548.052289815547
2016-11-29,15090,15090,15090,15090,0,AMC,0.0,15712.547575896651,14556.452424103349
2016-11-30,15090,15090,15090,15090,0,AMC,0.0,15646.211317825671,14571.788682174329
2016-12-01,14870,14870,14870,14870,100,AMC,-0.014579191517561263,15568.962485994656,14576.037514005344
2016-12-02,14810,14810,14810,14810,50000,AMC,-0.00403496973772699,15542.38268035933,14551.61731964067
2016-12-05,14810,14810,14810,14810,0,AMC,0.0,15510.510224841968,14532.489775158032
2016-12-06,15040,15040,15040,15040,300,AMC,0.015530047265361224,15477.175419837991,14537.824580162009
2016-12-07,15040,15040,15040,15040,0,AMC,0.0,15441.262213680422,14545.737786319578
2016-12-08,15040,15040,15040,15040,0,AMC,0.0,15446.5042182027,14557.4957817973
2016-12-09,13980,14810,13940,14810,2100,AMC,-0.015292553191489366,15219.76581490137,14686.23418509863
2016-12-12,14770,14770,14390,14770,300,AMC,-0.0027008777852801646,15144.358401712137,14706.641598287863
2016-12-13,14770,14770,14770,14770,0,AMC,0.0,15148.576741470917,14692.423258529083
2016-12-14,14730,14730,14390,14440,30500,AMC,-0.022342586323628955,15208.573900708685,14589.426099291315
2016-12-15,14390,14390,14390,14390,100,AMC,-0.003462603878116366,15256.024933567332,14493.975066432668
2016-12-16,14640,14640,14640,14640,1100,AMC,0.017373175816539188,15258.07698868534,14468.92301131466
2016-12-19,14390,14580,14390,14390,2000,AMC,-0.017076502732240484,15284.71792416747,14394.28207583253
