Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,10919,11199,10826,10919,235570,AMD,0.0,0.0,0.0
2016-09-05,10919,10919,10733,10826,235510,AMD,-0.00851726348566717,0.0,0.0
2016-09-06,10919,10919,10546,10733,247080,AMD,-0.00859043044522445,0.0,0.0
2016-09-07,10733,10826,10546,10546,163700,AMD,-0.01742290133233948,0.0,0.0
2016-09-08,10639,10639,10266,10546,251570,AMD,0.0,0.0,0.0
2016-09-09,10639,10826,10546,10639,259040,AMD,0.00881850938744555,0.0,0.0
2016-09-12,10639,10733,10546,10593,230350,AMD,-0.004323714634834053,0.0,0.0
2016-09-13,10639,10733,10639,10733,212520,AMD,0.013216274898517844,0.0,0.0
2016-09-14,10733,10826,10686,10733,201640,AMD,0.0,0.0,0.0
2016-09-15,10733,10779,10639,10733,223740,AMD,0.0,0.0,0.0
2016-09-16,10733,10733,10593,10639,94820,AMD,-0.00875803596384983,0.0,0.0
2016-09-19,10686,10733,10546,10639,205650,AMD,0.0,0.0,0.0
2016-09-20,10639,10639,10546,10639,215410,AMD,0.0,0.0,0.0
2016-09-21,10639,10686,10546,10593,206390,AMD,-0.004323714634834053,0.0,0.0
2016-09-22,10639,10686,10546,10593,156950,AMD,0.0,0.0,0.0
2016-09-23,10639,10733,10546,10639,214910,AMD,0.004342490323798742,0.0,0.0
2016-09-26,10593,10733,10593,10639,212480,AMD,0.0,0.0,0.0
2016-09-27,10639,10686,10546,10593,154710,AMD,-0.004323714634834053,0.0,0.0
2016-09-28,10593,10639,10499,10499,95970,AMD,-0.008873784574719101,0.0,0.0
2016-09-29,10499,10546,10453,10499,118810,AMD,0.0,0.0,0.0
2016-09-30,10499,10546,10453,10499,93730,AMD,0.0,10802.177103912258,10453.122896087742
2016-10-03,10546,11199,10546,11199,460640,AMD,0.0666730164777598,10940.388490084191,10352.211509915807
2016-10-04,11293,11946,11246,11946,515340,AMD,0.06670238414144114,11345.788782479587,10068.111217520414
2016-10-05,11993,12133,11946,11946,331380,AMD,0.0,11607.842887200271,9946.05711279973
2016-10-06,11946,12039,11853,11993,326880,AMD,0.00393437133768626,11826.301965197614,9872.298034802385
2016-10-07,11993,12086,11946,12039,422900,AMD,0.003835570749603834,12018.920316291038,9819.67968370896
2016-10-10,12039,12319,11946,12273,587630,AMD,0.01943683030151999,12238.67332009397,9767.926679906028
