Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,1510,1510,1510,1510,0,AMV,0.0,0.0,0.0
2016-09-05,1510,1510,1510,1510,0,AMV,0.0,0.0,0.0
2016-09-06,1420,1510,1420,1510,1400,AMV,0.0,0.0,0.0
2016-09-07,1510,1510,1510,1510,700,AMV,0.0,0.0,0.0
2016-09-08,1470,1470,1470,1470,100,AMV,-0.026490066225165587,0.0,0.0
2016-09-09,1470,1470,1470,1470,0,AMV,0.0,0.0,0.0
2016-09-12,1470,1470,1470,1470,0,AMV,0.0,0.0,0.0
2016-09-13,1380,1380,1380,1380,200,AMV,-0.061224489795918324,0.0,0.0
2016-09-14,1380,1380,1380,1380,0,AMV,0.0,0.0,0.0
2016-09-15,1260,1510,1260,1340,11600,AMV,-0.02898550724637683,0.0,0.0
2016-09-16,1340,1340,1340,1340,0,AMV,0.0,0.0,0.0
2016-09-19,1470,1470,1470,1470,100,AMV,0.09701492537313428,0.0,0.0
2016-09-20,1340,1470,1340,1470,6300,AMV,0.0,0.0,0.0
2016-09-21,1470,1470,1470,1470,0,AMV,0.0,0.0,0.0
2016-09-22,1470,1470,1470,1470,0,AMV,0.0,0.0,0.0
2016-09-23,1470,1470,1470,1470,0,AMV,0.0,0.0,0.0
2016-09-26,1420,1420,1340,1380,1600,AMV,-0.061224489795918324,0.0,0.0
2016-09-27,1380,1380,1380,1380,0,AMV,0.0,0.0,0.0
2016-09-28,1380,1380,1380,1380,500,AMV,0.0,0.0,0.0
2016-09-29,1380,1380,1380,1380,0,AMV,0.0,0.0,0.0
2016-09-30,1470,1470,1470,1470,100,AMV,0.0652173913043479,1549.2077735846792,1322.7922264153208
2016-10-03,1470,1470,1470,1470,0,AMV,0.0,1543.2520022699814,1324.7479977300186
2016-10-04,1420,1470,1420,1470,6100,AMV,0.0,1536.9952379872534,1327.0047620127466
2016-10-05,1420,1420,1420,1420,700,AMV,-0.03401360544217691,1526.267403529707,1328.732596470293
2016-10-06,1420,1420,1420,1420,0,AMV,0.0,1521.850400102426,1328.149599897574
2016-10-07,1470,1510,1470,1510,5500,AMV,0.06338028169014076,1529.0,1325.0
2016-10-10,1510,1510,1510,1510,2800,AMV,0.0,1535.7520491606601,1322.2479508393399
2016-10-11,1550,1590,1550,1590,1300,AMV,0.052980132450331174,1564.6359260963852,1314.3640739036148
2016-10-12,1630,1710,1630,1710,10300,AMV,0.07547169811320753,1624.8075827680736,1287.1924172319264
2016-10-13,1870,1870,1870,1870,3700,AMV,0.0935672514619883,1721.8219588754864,1243.1780411245136
2016-10-14,2029,2029,2029,2029,9400,AMV,0.08502673796791438,1845.8861488191897,1188.0138511808104
2016-10-17,2240,2240,2240,2240,11200,AMV,0.10399211434204036,2009.750990533809,1101.149009466191
2016-10-18,2029,2200,2029,2200,11300,AMV,-0.017857142857142905,2123.635047749135,1060.264952250865
2016-10-19,2200,2200,1990,2029,51000,AMV,-0.07772727272727276,2180.9635971082066,1058.8364028917936
2016-10-20,2240,2240,1870,2240,23500,AMV,0.10399211434204036,2275.8740156476224,1040.9259843523778
2016-10-21,2440,2440,2120,2360,9100,AMV,0.0535714285714286,2384.5911030664843,1021.2088969335159
2016-10-24,2360,2360,2160,2160,5600,AMV,-0.0847457627118644,2434.398346568423,1049.401653431577
2016-10-25,2240,2240,1990,2240,5300,AMV,0.03703703703703698,2488.877528050434,1080.922471949566
2016-10-26,2029,2029,2029,2029,3200,AMV,-0.09419642857142863,2503.280397343637,1131.4196026563627
2016-10-27,2029,2160,2029,2160,6200,AMV,0.06456382454411047,2526.904479516765,1185.7955204832347
2016-10-28,2160,2160,2160,2160,0,AMV,0.0,2549.2341659699905,1232.4658340300095
2016-10-31,2360,2360,2360,2360,7200,AMV,0.09259259259259256,2594.247647590276,1276.4523524097237
2016-11-01,2560,2560,2560,2560,10100,AMV,0.0847457627118644,2665.862211428166,1313.8377885718337
2016-11-02,2810,2810,2810,2810,2900,AMV,0.09765625,2771.5683022079675,1347.1316977920326
2016-11-03,3050,3050,3050,3050,1100,AMV,0.08540925266903909,2912.348353854368,1369.351646145632
2016-11-04,3340,3340,3340,3340,8900,AMV,0.09508196721311468,3109.6860302643445,1355.0139697356553
2016-11-07,3660,3660,3010,3460,49600,AMV,0.03592814371257491,3293.5722162013276,1366.1277837986722
2016-11-08,3460,3540,3130,3500,17500,AMV,0.011560693641618602,3453.286821988588,1397.4131780114117
2016-11-09,3170,3170,3170,3170,6600,AMV,-0.0942857142857143,3520.061167600706,1476.6388323992937
2016-11-10,2890,3130,2890,3050,9900,AMV,-0.03785488958990535,3563.2667510286315,1551.4332489713684
2016-11-11,3050,3050,3010,3050,7800,AMV,0.0,3605.472795737602,1611.327204262398
2016-11-14,3050,3090,2970,3090,3000,AMV,0.013114754098360715,3653.981831158355,1647.8181688416455
2016-11-15,3050,3380,3050,3380,15100,AMV,0.09385113268608425,3738.444777829336,1681.3552221706643
2016-11-16,3380,3660,3380,3660,300,AMV,0.08284023668639051,3849.332691984322,1733.5673080156773
2016-11-17,3300,3460,3300,3460,17200,AMV,-0.05464480874316935,3916.7827440232195,1788.1172559767801
2016-11-18,3740,3740,3740,3740,100,AMV,0.08092485549132955,4027.2563980643245,1815.643601935675
2016-11-21,3380,3380,3380,3380,1500,AMV,-0.09625668449197866,4047.351962623788,1917.5480373762116
2016-11-22,3380,3380,3380,3380,0,AMV,0.0,4060.4215911816523,2018.4784088183474
2016-11-23,3380,3380,3380,3380,0,AMV,0.0,4025.2178390774134,2188.7821609225866
2016-11-24,3660,3660,3130,3660,300,AMV,0.08284023668639051,4020.1073916867663,2343.8926083132337
2016-11-25,3300,3300,3300,3300,100,AMV,-0.09836065573770492,3934.2093209961977,2543.7906790038023
2016-11-28,3620,3620,3620,3620,4800,AMV,0.09696969696969693,3886.7597797386493,2717.2402202613507
2016-11-29,3300,3300,3300,3300,100,AMV,-0.08839779005524862,3814.768851439429,2863.231148560571
2016-11-30,3300,3300,3300,3300,0,AMV,0.0,3773.732860702301,2953.267139297699
2016-12-01,2970,2970,2970,2970,400,AMV,-0.09999999999999998,3783.220426696653,2935.779573303347
2016-12-02,3170,3210,3170,3210,7600,AMV,0.08080808080808088,3781.6770346076323,2924.3229653923677
2016-12-05,3210,3210,3210,3210,0,AMV,0.0,3770.545346446155,2910.454653553845
2016-12-06,3210,3210,3210,3210,0,AMV,0.0,3753.1018613867113,2898.8981386132887
2016-12-07,3210,3210,3210,3210,0,AMV,0.0,3752.5279731654837,2903.4720268345163
2016-12-08,3210,3210,3210,3210,500,AMV,0.0,3745.018336997247,2926.981663002753
2016-12-09,3500,3500,3500,3500,100,AMV,0.09034267912772576,3751.2989307521,2965.7010692479
2016-12-12,3170,3170,3170,3170,100,AMV,-0.0942857142857143,3745.7949256121105,2979.2050743878895
2016-12-13,3170,3170,3170,3170,0,AMV,0.0,3744.2040285361604,2959.7959714638396
2016-12-14,3170,3170,3170,3170,0,AMV,0.0,3700.4276069158645,2954.5723930841355
2016-12-15,3420,3420,2890,2890,200,AMV,-0.08832807570977919,3712.032686357864,2885.967313642136
2016-12-16,3170,3170,3170,3170,300,AMV,0.09688581314878886,3633.513773843354,2907.486226156646
2016-12-19,3170,3170,3170,3170,0,AMV,0.0,3621.883959301865,2898.116040698135
2016-12-20,2890,3260,2890,3260,900,AMV,0.028391167192429068,3611.6814224977225,2896.3185775022775
2016-12-21,2970,2970,2970,2970,300,AMV,-0.08895705521472397,3606.60990337968,2860.39009662032
2016-12-22,3260,3260,3260,3260,100,AMV,0.09764309764309775,3531.8881279193592,2895.1118720806408
2016-12-23,3580,3580,3580,3580,100,AMV,0.09815950920245409,3582.401394756338,2872.598605243662
2016-12-26,3700,3700,3700,3700,100,AMV,0.033519553072625774,3605.3060994686875,2857.6939005313125
2016-12-27,3700,3700,3700,3700,0,AMV,0.0,3677.0478821472316,2825.9521178527684
2016-12-28,3700,3700,3700,3700,0,AMV,0.0,3739.7424585617946,2803.2575414382054
2016-12-29,3700,3700,3700,3700,0,AMV,0.0,3790.1452063434767,2825.8547936565233
2016-12-30,3700,3700,3700,3700,0,AMV,0.0,3841.2976021956015,2823.7023978043985
2017-01-03,3700,3700,3700,3700,0,AMV,0.0,3886.6074017609585,2827.3925982390415
2017-01-04,3700,3700,3700,3700,0,AMV,0.0,3926.743982085078,2836.256017914922
