Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-12-22,9410,9410,9410,9410,11000,ANT,0.0,0.0,0.0
2016-12-23,10820,10820,10820,10820,4700,ANT,0.14984059511158332,0.0,0.0
2016-12-26,11700,11700,11700,11700,3700,ANT,0.0813308687615526,0.0,0.0
2016-12-27,9950,9950,9950,9950,800,ANT,-0.1495726495726496,0.0,0.0
2016-12-28,9410,9410,8480,9360,4400,ANT,-0.059296482412060314,0.0,0.0
2016-12-29,8770,9360,8770,9360,600,ANT,0.0,0.0,0.0
2016-12-30,9360,9360,9360,9360,1000,ANT,0.0,0.0,0.0
2017-01-03,9360,9360,9360,9360,0,ANT,0.0,0.0,0.0
2017-01-04,8770,8770,8770,8770,300,ANT,-0.06303418803418803,0.0,0.0
2017-01-05,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-06,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-09,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-10,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-11,8770,8770,8770,8770,2000,ANT,0.0,0.0,0.0
2017-01-12,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-13,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-16,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-17,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-18,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-19,8770,8770,8770,8770,0,ANT,0.0,0.0,0.0
2017-01-20,8770,8770,8770,8770,0,ANT,0.0,10741.488919403822,7650.511080596178
2017-01-23,8770,8770,8770,8770,0,ANT,0.0,10455.605355690224,7731.394644309776
2017-01-24,8770,8770,8770,8770,0,ANT,0.0,9603.996194813935,8290.003805186065
2017-01-25,8480,8540,8480,8540,8000,ANT,-0.026225769669327215,9370.150686214442,8382.849313785558
2017-02-02,8480,8189,8189,8480,0,ANT,-0.007025761124121788,9302.218000506675,8362.781999493325
2017-02-03,8189,8189,8189,8189,0,ANT,-0.034316037735849014,9257.778264986648,8290.121735013354
2017-02-06,8189,8770,8189,8770,3000,ANT,0.07094883380144101,9146.844073017966,8342.055926982035
2017-02-07,8189,8189,8189,8189,200,ANT,-0.06624857468643097,9052.141941890859,8319.65805810914
2017-02-08,8189,8189,8189,8189,0,ANT,0.0,9079.608690034856,8234.091309965144
2017-02-09,8189,8189,8189,8189,0,ANT,0.0,9093.165920539941,8162.434079460058
2017-02-10,7900,7900,7900,7900,500,ANT,-0.035291244352179785,9141.875860309596,8026.724139690402
2017-02-13,7900,7900,7900,7900,0,ANT,0.0,9165.36243883217,7916.23756116783
2017-02-14,7900,7900,7900,7900,0,ANT,0.0,9171.18993166539,7823.410068334607
