Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,19021,19021,17942,18825,57330,APC,0.0,0.0,0.0
2016-09-05,19119,19119,18236,18236,40890,APC,-0.03128818061088978,0.0,0.0
2016-09-06,18334,18530,18334,18334,22400,APC,0.005373985523140945,0.0,0.0
2016-09-07,18334,18530,18334,18530,140,APC,0.010690520344714738,0.0,0.0
2016-09-08,18138,18530,18138,18236,4640,APC,-0.015866162978953047,0.0,0.0
2016-09-09,18334,18334,18236,18334,24130,APC,0.005373985523140945,0.0,0.0
2016-09-12,18236,18432,18138,18138,25160,APC,-0.010690520344714738,0.0,0.0
2016-09-13,18138,18530,18138,18138,35620,APC,0.0,0.0,0.0
2016-09-14,18236,18285,18138,18285,10560,APC,0.008104531921931946,0.0,0.0
2016-09-15,18383,18383,18040,18285,1310,APC,0.0,0.0,0.0
2016-09-16,18285,18285,18040,18089,12440,APC,-0.010719168717527983,0.0,0.0
2016-09-19,18089,18138,18040,18138,13600,APC,0.002708828569849109,0.0,0.0
2016-09-20,18138,18138,17942,17942,6480,APC,-0.01080604256257578,0.0,0.0
2016-09-21,17942,18236,17844,18138,20960,APC,0.010924088730353443,0.0,0.0
2016-09-22,18138,18138,17942,18138,16810,APC,0.0,0.0,0.0
2016-09-23,18138,18334,18089,18334,11920,APC,0.01080604256257578,0.0,0.0
2016-09-26,18138,19609,18138,19609,19850,APC,0.06954292571179232,0.0,0.0
2016-09-27,19119,19217,18628,18923,21710,APC,-0.034983935947779043,0.0,0.0
2016-09-28,18923,19217,18726,19021,4730,APC,0.005178882840987109,0.0,0.0
2016-09-29,18138,19021,18138,18923,8210,APC,-0.005152200199779244,0.0,0.0
2016-09-30,18923,18923,18334,18825,10300,APC,-0.005178882840987109,19244.313253421948,17615.28674657805
2016-10-03,18628,18923,18334,18923,10290,APC,0.005205843293492718,19300.72020625887,17627.579793741133
2016-10-04,18923,18923,18432,18825,5410,APC,-0.005178882840987109,19337.28331352909,17640.116686470912
2016-10-05,18726,18923,18334,18825,7240,APC,0.0,19364.554981985362,17642.34501801464
2016-10-06,18628,18628,18334,18628,21520,APC,-0.010464807436919021,19376.725459410663,17669.374540589335
2016-10-07,18334,18923,18334,18923,19720,APC,0.015836375348937004,19418.60426624051,17686.39573375949
2016-10-10,18923,18923,18726,18825,3310,APC,-0.005178882840987109,19438.851238262014,17734.848761737983
2016-10-11,18628,18628,18334,18628,20440,APC,-0.010464807436919021,19438.12113520007,17784.57886479993
2016-10-12,18628,18628,18628,18628,6400,APC,0.0,19441.598149057056,17815.401850942944
2016-10-13,18334,18530,18334,18530,11980,APC,-0.005260897573545198,19440.04365692467,17841.45634307533
2016-10-14,18334,18628,18334,18628,11000,APC,0.005288720992984386,19426.06141779498,17909.338582205022
2016-10-17,19609,19609,18530,18628,16650,APC,0.0,19411.164421929217,17973.235578070784
2016-10-18,18432,18579,18432,18579,1600,APC,-0.0026304487867726545,19358.758586675816,18089.341413324182
2016-10-19,18726,18726,18432,18628,6960,APC,0.0026373862963560146,19326.1382529969,18170.961747003097
2016-10-20,18530,18628,18432,18432,12250,APC,-0.010521795147090396,19290.725449665682,18235.774550334318
2016-10-21,18628,19707,18628,19707,310710,APC,0.06917317708333326,19464.877693129878,18198.922306870125
2016-10-24,19805,20001,19217,19609,85050,APC,-0.0049728522859897595,19464.877693129878,18198.922306870125
2016-10-25,19609,19903,19609,19854,62580,APC,0.012494262838492531,19652.575952284267,18104.324047715734
2016-10-26,20001,20001,19217,19854,71800,APC,0.0,19802.487420581245,18037.712579418752
2016-10-27,19854,19854,19511,19511,22960,APC,-0.017276115644202727,19868.72848084686,18030.27151915314
