Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2017-06-08,21970,21970,18120,18120,10300,APF,0.0,0.0,0.0
2017-06-09,18120,18120,17980,17980,3200,APF,-0.007726269315673329,0.0,0.0
2017-06-12,18060,18060,18060,18060,0,APF,0.004449388209121219,0.0,0.0
2017-06-13,17130,17130,16260,16260,6900,APF,-0.09966777408637872,0.0,0.0
2017-06-14,17130,17260,17130,17260,3900,APF,0.06150061500615012,0.0,0.0
2017-06-15,17130,17130,16850,17130,1400,APF,-0.007531865585168052,0.0,0.0
2017-06-16,16560,16560,16560,16560,1000,APF,-0.03327495621716292,0.0,0.0
2017-06-19,16560,16560,16560,16560,0,APF,0.0,0.0,0.0
2017-06-20,15690,16260,15690,16260,600,APF,-0.018115942028985477,0.0,0.0
2017-06-21,16260,17130,16260,17130,10200,APF,0.053505535055350606,0.0,0.0
2017-06-22,17050,17050,17050,17050,0,APF,-0.004670169293636839,0.0,0.0
2017-06-23,17050,17050,17050,17050,0,APF,0.0,0.0,0.0
2017-06-26,17130,17130,17130,17130,1000,APF,0.004692082111436902,0.0,0.0
2017-06-27,17130,17130,17130,17130,0,APF,0.0,0.0,0.0
2017-06-28,16980,16980,16850,16850,6393,APF,-0.016345592527729158,0.0,0.0
2017-06-29,16850,16850,16850,16850,2700,APF,0.0,0.0,0.0
2017-06-30,16850,16850,16850,16850,0,APF,0.0,0.0,0.0
2017-07-03,17070,17070,17070,17070,500,APF,0.013056379821958508,0.0,0.0
2017-07-04,17130,17130,17130,17130,1700,APF,0.0035149384885764245,0.0,0.0
2017-07-05,17130,17130,17130,17130,50100,APF,0.0,0.0,0.0
2017-07-06,16850,16850,16690,16850,10000,APF,-0.016345592527729158,17889.839362761668,16139.160637238332
2017-07-07,16790,16790,16790,16790,0,APF,-0.0035608308605341588,17713.748970345267,16196.251029654732
2017-07-10,16790,16790,16790,16790,0,APF,0.0,17457.9018008446,16325.0981991554
2017-07-11,16860,16860,16790,16860,3000,APF,0.004169148302560988,17408.99461535488,16434.00538464512
2017-07-12,16850,16860,16850,16860,5500,APF,0.0,17363.983513219668,16439.016486780332
2017-07-13,16860,16860,16860,16860,0,APF,0.0,17338.62623092759,16437.37376907241
2017-07-14,16860,16860,16860,16860,0,APF,0.0,17328.210536087718,16477.789463912282
2017-07-17,16980,17010,16980,16980,16000,APF,0.007117437722419906,17319.848455851487,16528.151544148513
2017-07-18,16980,17070,16980,17070,7000,APF,0.005300353356890497,17221.830526754995,16707.169473245005
2017-07-19,17070,17070,17070,17070,0,APF,0.0,17212.36051901406,16710.63948098594
2017-07-20,17130,17130,17130,17130,8900,APF,0.0035149384885764245,17224.303013892815,16706.696986107185
2017-07-21,17130,17130,17130,17130,0,APF,0.0,17235.768661317856,16703.231338682144
2017-07-24,17130,17130,17130,17130,0,APF,0.0,17235.768661317856,16703.231338682144
2017-07-25,17130,17130,17130,17130,0,APF,0.0,17235.768661317856,16703.231338682144
2017-07-26,17130,17130,17130,17130,0,APF,0.0,17252.592920754156,16714.407079245844
2017-07-27,17130,17130,17130,17130,0,APF,0.0,17266.488847352455,16728.511152647545
