Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,5097,5430,5097,5319,96800,APG,0.0,0.0,0.0
2016-09-05,5208,5263,4876,5153,53000,APG,-0.03120887384846771,0.0,0.0
2016-09-06,5097,5208,4876,4876,69700,APG,-0.05375509411993018,0.0,0.0
2016-09-07,5153,5319,4876,5319,103600,APG,0.0908531583264971,0.0,0.0
2016-09-08,5042,5263,4876,5097,59300,APG,-0.04173716864072197,0.0,0.0
2016-09-09,4765,5097,4765,5042,41700,APG,-0.010790661173239124,0.0,0.0
2016-09-12,4931,5097,4931,5097,62500,APG,0.010908369694565545,0.0,0.0
2016-09-13,5097,5430,5097,5263,84500,APG,0.03256817735923101,0.0,0.0
2016-09-14,5263,5263,4986,4986,51500,APG,-0.052631578947368474,0.0,0.0
2016-09-15,5263,5263,5097,5208,75500,APG,0.044524669073405576,0.0,0.0
2016-09-16,5208,5263,4820,5208,46800,APG,0.0,0.0,0.0
2016-09-19,5153,5208,4931,5208,80300,APG,0.0,0.0,0.0
2016-09-20,4986,5153,4931,5153,70600,APG,-0.010560675883256487,0.0,0.0
2016-09-21,5153,5153,4820,4820,72700,APG,-0.06462254997089079,0.0,0.0
2016-09-22,4986,4986,4876,4986,59700,APG,0.034439834024896365,0.0,0.0
2016-09-23,5153,5153,5097,5097,48500,APG,0.022262334536702788,0.0,0.0
2016-09-26,5153,5153,4820,5042,65300,APG,-0.010790661173239124,0.0,0.0
2016-09-27,4986,5042,4876,4876,38500,APG,-0.032923443078143544,0.0,0.0
2016-09-28,4765,5319,4765,5208,198100,APG,0.0680885972108285,0.0,0.0
2016-09-29,5153,5153,4931,5097,90300,APG,-0.02131336405529949,0.0,0.0
2016-09-30,5263,5263,4986,4986,44600,APG,-0.021777516185991774,5349.7072077922,4822.4927922078
2016-10-03,5097,5208,5042,5097,64200,APG,0.022262334536702788,5345.189365954405,4821.4106340455955
2016-10-04,5042,5263,4820,4820,51700,APG,-0.05434569354522267,5352.208299468382,4808.791700531618
2016-10-05,4931,5042,4931,5042,53200,APG,0.04605809128630711,5315.604031901474,4817.695968098526
2016-10-06,5042,5208,4820,4820,102400,APG,-0.04403014676715589,5323.343600922291,4782.256399077709
2016-10-07,4986,5153,4986,5153,173100,APG,0.06908713692946056,5332.312241923956,4784.3877580760445
2016-10-10,5263,5263,4765,4931,157600,APG,-0.04308169998059386,5328.841301872924,4771.258698127076
2016-10-11,4986,5153,4986,4986,100600,APG,0.011153924153315842,5298.322566750748,4774.077433249252
2016-10-12,4986,5042,4986,5042,102700,APG,0.011231448054552784,5300.112236404195,4777.887763595805
2016-10-13,4986,5430,4876,5319,121300,APG,0.05493851646172154,5323.878104565223,4765.221895434777
2016-10-14,5374,5430,4931,5153,106900,APG,-0.03120887384846771,5315.666828951591,4767.933171048409
2016-10-17,4986,4986,4876,4931,113700,APG,-0.04308169998059386,5294.720669302305,4761.179330697694
2016-10-18,4931,5263,4931,5153,65700,APG,0.045021293855201705,5294.720669302305,4761.179330697694
2016-10-19,5097,5319,4931,5319,104000,APG,0.03221424412963314,5330.334604907174,4775.465395092825
2016-10-20,5153,5153,4876,4931,427600,APG,-0.07294604248918968,5331.24875488874,4769.051245111259
2016-10-21,5042,5042,4599,4931,182000,APG,0.0,5326.70313759901,4756.996862400991
2016-10-24,4986,4986,4931,4931,48300,APG,0.0,5325.2215118332315,4747.378488166769
2016-10-25,4599,4709,4488,4654,83700,APG,-0.05617521800851755,5352.422004150088,4697.977995849912
2016-10-26,4654,4654,4211,4266,99100,APG,-0.0833691448216588,5432.846478820892,4523.353521179109
2016-10-27,4211,4321,3878,4321,95700,APG,0.012892639474918033,5472.499062264742,4406.100937735258
2016-10-28,4599,4599,4599,4599,23000,APG,0.06433695903726,5472.696044761968,4367.203955238032
2016-10-31,4599,4599,4155,4599,24000,APG,0.0,5458.415414273897,4331.684585726103
2016-11-01,4543,4654,4432,4488,49000,APG,-0.0241356816699283,5468.610817065992,4288.289182934008
2016-11-02,4044,4044,4044,4044,35000,APG,-0.09893048128342241,5515.748217401646,4141.3517825983545
2016-11-03,3878,3878,3657,3657,83000,APG,-0.0956973293768546,5626.675049268632,3914.124950731367
2016-11-04,3989,3989,3989,3989,11200,APG,0.09078479628110481,5613.587064473414,3810.8129355265855
2016-11-07,4321,4321,4321,4321,5900,APG,0.08322887941840063,5592.639317408135,3770.760682591865
