Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-05,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-06,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-07,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-08,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-09,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-12,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-13,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-14,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-15,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-16,17800,17800,17800,17800,0,ARM,0.0,0.0,0.0
2016-09-19,19580,19580,19580,19580,500,ARM,0.10000000000000009,0.0,0.0
2016-09-20,19760,19760,19760,19760,1105,ARM,0.009193054136874323,0.0,0.0
2016-09-21,17800,17800,17800,17800,100,ARM,-0.09919028340080971,0.0,0.0
2016-09-22,17800,17800,17800,17800,1300,ARM,0.0,0.0,0.0
2016-09-23,19580,19580,19580,19580,100,ARM,0.10000000000000009,0.0,0.0
2016-09-26,20170,20170,20170,20170,100,ARM,0.030132788559754875,0.0,0.0
2016-09-27,20770,20770,20770,20770,600,ARM,0.02974714923153199,0.0,0.0
2016-09-28,18700,18700,18700,18700,100,ARM,-0.09966297544535385,0.0,0.0
2016-09-29,18700,18700,18700,18700,0,ARM,0.0,0.0,0.0
2016-09-30,18700,18700,18700,18700,50,ARM,0.0,20367.577730605437,16588.422269394563
2016-10-03,16850,16850,16850,16850,100,ARM,-0.09893048128342241,20430.40474773175,16430.59525226825
2016-10-04,16850,16850,16850,16850,0,ARM,0.0,20483.162850828478,16282.837149171522
2016-10-05,16850,16850,16850,16850,0,ARM,0.0,20527.234244839005,16143.765755160995
2016-10-06,18520,18520,18520,18520,100,ARM,0.0991097922848665,20550.483937526846,16192.516062473152
2016-10-07,18520,18520,18520,18520,0,ARM,0.0,20571.264081409987,16243.735918590013
2016-10-10,18520,18520,18520,18520,0,ARM,0.0,20589.52213408902,16297.477865910978
2016-10-11,18520,18520,18520,18520,0,ARM,0.0,20605.194945188516,16353.805054811486
2016-10-12,18520,18520,18520,18520,0,ARM,0.0,20618.2075402918,16412.7924597082
2016-10-13,18520,18520,18520,18520,0,ARM,0.0,20628.471593450427,16474.528406549573
2016-10-14,18520,18520,18520,18520,0,ARM,0.0,20635.883509013875,16539.116490986125
2016-10-17,18520,18520,18520,18520,0,ARM,0.0,20531.632694639993,16537.367305360007
2016-10-18,18520,18520,18520,18520,0,ARM,0.0,20388.964192203966,16556.035807796034
2016-10-19,18520,18520,18520,18520,0,ARM,0.0,20399.967948446392,16617.032051553608
2016-10-20,18520,18520,18520,18520,0,ARM,0.0,20407.856916964647,16681.143083035353
2016-10-21,18520,18520,18520,18520,0,ARM,0.0,20293.31325336451,16689.68674663549
2016-10-24,18520,18520,18520,18520,0,ARM,0.0,20038.722675794874,16779.277324205126
2016-10-25,18520,18520,18520,18520,40,ARM,0.0,19518.37192454856,17074.62807545144
2016-10-26,18520,18520,18520,18520,0,ARM,0.0,19499.96649438242,17075.03350561758
2016-10-27,18520,18520,18520,18520,0,ARM,0.0,19481.218171476594,17075.781828523406
2016-10-28,18520,18520,18520,18520,0,ARM,0.0,19462.118547566657,17076.881452433343
2016-10-31,18520,18520,18520,18520,0,ARM,0.0,19355.0,17351.0
2016-11-01,18520,18520,18520,18520,5,ARM,0.0,19164.436123571293,17708.563876428707
2016-11-02,18520,18520,18520,18520,0,ARM,0.0,18520.0,18520.0
2016-11-03,16680,16680,16680,16680,100,ARM,-0.09935205183585316,19230.037405611485,17625.962594388515
2016-11-04,16680,16680,16680,16680,0,ARM,0.0,19440.0,17232.0
2016-11-07,18330,18330,18330,18330,100,ARM,0.09892086330935257,19427.26836800482,17225.73163199518
2016-11-08,18330,18330,18330,18330,2,ARM,0.0,19414.198250089747,17219.801749910253
2016-11-09,18330,18330,18330,18330,2,ARM,0.0,19400.78633029047,17214.21366970953
2016-11-10,16620,16620,16620,16620,100,ARM,-0.09328968903436985,19523.86379391838,16901.13620608162
2016-11-11,18280,18280,18280,18280,100,ARM,0.09987966305655838,19504.761860210594,16896.238139789406
2016-11-14,18280,18280,18280,18280,0,ARM,0.0,19485.17690655768,16891.82309344232
2016-11-15,18280,18280,18280,18280,0,ARM,0.0,19465.10040353866,16887.89959646134
2016-11-16,18280,18280,18280,18280,0,ARM,0.0,19444.52304666752,16884.47695333248
2016-11-17,18280,18280,18280,18280,0,ARM,0.0,19423.434695411215,16881.565304588785
2016-11-18,18280,18280,18280,18280,0,ARM,0.0,19401.824304055066,16879.175695944934
2016-11-21,18280,18280,18280,18280,0,ARM,0.0,19379.67984318802,16877.32015681198
2016-11-22,18280,18280,18280,18280,0,ARM,0.0,19356.98821034301,16876.01178965699
2016-11-23,18280,18280,18280,18280,0,ARM,0.0,19333.735128036944,16875.264871963056
2016-11-24,20060,20060,20060,20060,100,ARM,0.0973741794310723,19670.65110045959,16692.34889954041
2016-11-25,20060,20060,20060,20060,0,ARM,0.0,19954.58107117555,16562.41892882445
2016-11-28,20060,20060,20060,20060,0,ARM,0.0,20203.22026813439,16467.77973186561
2016-11-29,20170,20170,20170,20170,1050,ARM,0.0054835493519440615,20449.606261065368,16386.393738934632
2016-11-30,20170,20170,20130,20170,1100,ARM,0.0,20671.218544629864,16329.781455370136
2016-12-01,20170,20170,20170,20170,0,ARM,0.0,20792.739360733518,16557.260639266482
2016-12-02,20170,20170,20170,20170,0,ARM,0.0,20853.001684551327,16845.998315448673
2016-12-05,20170,20170,20170,20170,0,ARM,0.0,21009.09062679245,16873.90937320755
2016-12-06,20170,20170,20170,20170,0,ARM,0.0,21147.295401641324,16919.704598358676
2016-12-07,20170,20170,20170,20170,0,ARM,0.0,21268.772964416807,16982.227035583193
2016-12-08,20170,20170,20170,20170,0,ARM,0.0,21155.10258895127,17450.89741104873
2016-12-09,20170,20170,20170,20170,0,ARM,0.0,21223.861136248797,17571.138863751203
2016-12-12,20170,20170,20170,20170,0,ARM,0.0,21272.298851316824,17711.701148683176
2016-12-13,20170,20170,20170,20170,0,ARM,0.0,21298.776554765616,17874.223445234384
2016-12-14,20170,20170,20170,20170,0,ARM,0.0,21300.52956132329,18061.47043867671
2016-12-15,20170,20170,20170,20170,0,ARM,0.0,21272.970867830158,18278.029132169842
2016-12-16,20170,20170,20170,20170,0,ARM,0.0,21208.103135038553,18531.896864961447
2016-12-19,21100,21100,21100,21100,600,ARM,0.04610808130887456,21238.988599295615,18783.011400704385
2016-12-20,20790,20790,20170,20170,6000,ARM,-0.04407582938388621,21042.526680516625,19168.473319483375
2016-12-21,20170,20170,20170,20170,2000,ARM,0.0,20620.285617170044,19779.714382829956
2016-12-22,20170,20170,20170,20170,0,ARM,0.0,20621.166933974793,19789.833066025207
2016-12-23,20170,20170,20170,20170,0,ARM,0.0,20621.701838320703,19800.298161679297
2016-12-26,20170,20170,20170,20170,0,ARM,0.0,20621.87760174929,19811.12239825071
2016-12-27,20170,20170,20170,20170,0,ARM,0.0,20621.87760174929,19811.12239825071
2016-12-28,20170,20170,20170,20170,0,ARM,0.0,20621.87760174929,19811.12239825071
2016-12-29,21410,21410,21410,21410,400,ARM,0.061477441745166006,20936.83957802946,19620.16042197054
2016-12-30,19250,19250,19250,19250,100,ARM,-0.100887435777674,21028.83849586718,19436.16150413282
2017-01-03,19250,19250,19250,19250,0,ARM,0.0,21090.917492090906,19282.082507909094
2017-01-04,19250,19250,19250,19250,0,ARM,0.0,21132.90062474789,19148.09937525211
2017-01-05,19250,19250,19250,19250,0,ARM,0.0,21159.778836737125,19029.221163262875
2017-01-06,21150,21150,21150,21150,100,ARM,0.09870129870129873,21304.056332109736,18982.943667890264
2017-01-09,19080,19080,19080,19080,100,ARM,-0.09787234042553195,21338.430270163168,18839.569729836832
2017-01-10,19080,19080,19080,19080,0,ARM,0.0,21357.942103002624,18711.057896997376
2017-01-11,19080,19080,19080,19080,0,ARM,0.0,21364.97653409724,18595.02346590276
2017-01-12,19080,19080,19080,19080,0,ARM,0.0,21361.138882170584,18489.861117829416
2017-01-13,19080,19080,19080,19080,0,ARM,0.0,21347.54867850674,18394.45132149326
2017-01-16,19080,19080,19080,19080,0,ARM,0.0,21324.999585681086,18308.000414318914
2017-01-17,20980,20980,20850,20850,900,ARM,0.09276729559748431,21273.386266439156,18334.613733560844
2017-01-18,20850,20850,20850,20850,0,ARM,0.0,21369.830277804955,18306.169722195045
2017-01-19,20850,20850,20850,20850,0,ARM,0.0,21460.919129471353,18283.080870528647
2017-01-20,20850,20850,20850,20850,0,ARM,0.0,21547.211747459787,18264.788252540213
2017-01-23,20850,20850,20850,20850,0,ARM,0.0,21629.153634220405,18250.846365779595
2017-01-24,20850,20850,20850,20850,0,ARM,0.0,21707.105882512664,18240.894117487336
2017-01-25,20850,20850,20850,20850,0,ARM,0.0,21781.36516262162,18234.63483737838
2017-02-02,20850,20850,20850,20850,0,ARM,0.0,21852.177891810636,18231.822108189364
2017-02-03,20850,20850,20850,20850,0,ARM,0.0,21754.65964507712,18273.34035492288
2017-02-06,20850,20850,20850,20850,0,ARM,0.0,21833.92413627721,18354.07586372279
2017-02-07,20850,20850,20850,20850,0,ARM,0.0,21898.405984679943,18449.594015320057
2017-02-08,20850,20850,20850,20850,0,ARM,0.0,21947.6989106686,18560.3010893314
2017-02-09,20850,20850,20850,20850,0,ARM,0.0,21980.953551257593,18687.046448742407
2017-02-10,20850,20850,20850,20850,50,ARM,0.0,21941.23179601437,18696.76820398563
2017-02-13,20850,20850,20850,20850,0,ARM,0.0,21940.364964698456,18874.635035301544
2017-02-14,20850,20850,20850,20850,0,ARM,0.0,21912.0,19080.0
2017-02-15,20850,20850,20850,20850,0,ARM,0.0,21848.532831852084,19320.467168147916
2017-02-16,20790,20790,20790,20790,594,ARM,-0.0028776978417266452,21730.320706201666,19609.679293798334
2017-02-17,20790,20790,20790,20790,36,ARM,0.0,21525.109641311752,19985.890358688248
2017-02-20,20790,20790,20790,20790,0,ARM,0.0,20883.848570571292,20798.151429428708
2017-02-21,20790,20790,20790,20790,0,ARM,0.0,20886.00000000003,20789.99999999997
2017-02-22,22810,22810,22810,22810,100,ARM,0.09716209716209723,21797.17129538786,20074.82870461214
2017-02-23,22810,22810,22810,22810,10,ARM,0.0,22218.945568370127,19849.054431629873
2017-02-24,20790,20790,20790,20790,101,ARM,-0.08855765015344153,22218.09561535708,19843.90438464292
2017-02-27,20170,20170,20170,20170,100,ARM,-0.02982202982202986,22240.496682745877,19753.503317254123
2017-02-28,20170,20170,20170,20170,100,ARM,0.0,22256.879437969397,19669.120562030603
2017-03-01,20170,20170,20170,20170,0,ARM,0.0,22267.923448147805,19590.076551852195
2017-03-02,20170,20170,20170,20170,0,ARM,0.0,22274.151913314847,19515.848086685153
2017-03-03,20170,20170,20170,20170,9,ARM,0.0,22275.9756181645,19446.0243818355
2017-03-06,20170,20170,20170,20170,0,ARM,0.0,22273.721811544987,19380.278188455013
2017-03-07,20170,20170,20170,20170,0,ARM,0.0,22267.653857690002,19318.346142309998
2017-03-08,20170,20170,20170,20170,0,ARM,0.0,22257.98498991818,19260.01501008182
2017-03-09,20170,20170,20170,20170,0,ARM,0.0,22244.888153779746,19205.111846220254
2017-03-10,20170,20170,20170,20170,0,ARM,0.0,22228.50317072844,19153.49682927156
2017-03-13,20170,20170,20170,20170,0,ARM,0.0,22208.942009225862,19105.057990774138
2017-03-14,20170,20170,20170,20170,0,ARM,0.0,22186.292678931237,19059.707321068763
2017-03-15,20170,20170,20170,20170,0,ARM,0.0,22160.62209198013,19017.37790801987
2017-03-16,20170,20170,20170,20170,0,ARM,0.0,22136.981950498484,18979.018049501516
2017-03-17,20170,20170,20170,20170,0,ARM,0.0,22110.88257140484,18943.11742859516
2017-03-20,20170,20170,20170,20170,0,ARM,0.0,22082.34674645867,18909.65325354133
2017-03-21,21410,21410,21410,21410,1100,ARM,0.061477441745166006,22158.699727278276,18895.300272721724
2017-03-22,21410,21410,21410,21410,0,ARM,0.0,21782.278838584545,19131.721161415455
2017-03-23,21460,21460,21460,21460,100,ARM,0.0023353573096682734,21301.650755083832,19477.349244916168
2017-03-24,21460,21460,21460,21460,0,ARM,0.0,21435.247005429013,19410.752994570987
2017-03-27,21460,21460,21460,21460,0,ARM,0.0,21587.624992898534,19387.375007101466
2017-03-28,21460,21460,21460,21460,0,ARM,0.0,21719.3148675486,19384.6851324514
2017-03-29,21460,21460,21460,21460,0,ARM,0.0,21833.74730437163,19399.25269562837
2017-03-30,21460,21460,21460,21460,0,ARM,0.0,21932.98881784144,19429.01118215856
2017-03-31,21460,21460,21460,21460,0,ARM,0.0,22018.283956529936,19472.716043470064
2017-04-03,19320,19320,19320,19320,100,ARM,-0.09972041006523769,22100.470572140966,19305.529427859034
2017-04-04,19320,19320,19320,19320,0,ARM,0.0,22167.622755451594,19153.377244548406
2017-04-05,17480,17480,17480,17480,300,ARM,-0.09523809523809523,22569.050660164845,18482.949339835155
2017-04-07,16270,16270,16270,16270,300,ARM,-0.06922196796338675,23091.310852059964,17570.689147940036
2017-04-10,17850,17850,17850,17850,200,ARM,0.09711124769514434,23180.02613816472,17249.97386183528
2017-04-11,16200,16200,16200,16200,100,ARM,-0.09243697478991597,23459.959161947474,16573.040838052526
2017-04-12,16200,16200,16200,16200,0,ARM,0.0,23640.070642989216,15995.929357010784
2017-04-13,17730,17800,17730,17800,300,ARM,0.09876543209876543,23616.353201231825,15782.646798768174
2017-04-14,17800,17800,17800,17800,0,ARM,0.0,23576.361810900235,15585.638189099765
2017-04-17,17800,17800,17800,17800,0,ARM,0.0,23521.040994002647,15403.959005997353
2017-04-18,18950,18950,18950,18950,1000,ARM,0.06460674157303381,23452.338308301136,15350.661691698864
2017-04-19,18950,18950,18950,18950,0,ARM,0.0,23225.99680177198,15331.00319822802
2017-04-20,18950,18950,18950,18950,0,ARM,0.0,22981.090019853145,15329.909980146853
2017-04-21,20850,20850,20850,20850,100,ARM,0.10026385224274414,22885.789810664777,15364.210189335223
2017-04-24,18950,21460,18950,21460,400,ARM,0.029256594724220708,22885.789810664777,15364.210189335223
2017-04-25,21410,21410,21410,21410,1600,ARM,-0.002329916123019582,22877.139130462474,15367.860869537526
2017-04-26,22020,22630,19250,19250,3700,ARM,-0.100887435777674,22611.85333034556,15412.146669654441
2017-04-27,21150,21150,21150,21150,100,ARM,0.09870129870129873,22556.507162914142,15436.492837085858
2017-04-28,23240,23240,23240,23240,15500,ARM,0.09881796690307332,22962.31041579286,15208.68958420714
2017-05-03,23240,23240,23240,23240,1600,ARM,0.0,23336.506607395044,15012.493392604956
2017-05-04,23240,23240,23240,23240,0,ARM,0.0,23894.884930573437,14846.115069426563
2017-05-05,23240,23240,23240,23240,0,ARM,0.0,24394.593930320745,14738.406069679255
2017-05-08,23240,23240,23240,23240,10,ARM,0.0,24835.15648283437,14873.843517165633
2017-05-09,23240,23240,23240,23240,0,ARM,0.0,25106.44001696768,15299.559983032319
2017-05-10,23240,23240,23240,23240,0,ARM,0.0,25421.293287257005,15523.706712742995
2017-05-11,23240,23240,23240,23240,0,ARM,0.0,25501.667839622605,16147.332160377393
2017-05-12,23240,23240,21410,21410,1200,ARM,-0.07874354561101549,25255.829653678033,16914.170346321967
2017-05-15,22630,22630,22630,22630,5000,ARM,0.0569827183559084,25261.178004614863,17391.821995385137
2017-05-16,23240,23240,23240,23240,5000,ARM,0.02695536897923101,25263.307089056667,17933.692910943333
2017-05-17,23240,23240,23240,23240,0,ARM,0.0,25155.01807728318,18585.98192271682
2017-05-18,23240,23240,23240,23240,0,ARM,0.0,25130.20278470909,19039.79721529091
2017-05-19,23240,23240,23240,23240,0,ARM,0.0,25018.02515162174,19580.97484837826
2017-05-22,25070,25070,25070,25070,600,ARM,0.07874354561101549,25116.9017997923,20094.0982002077
2017-05-23,25070,25070,25070,25070,0,ARM,0.0,25410.233024040834,20222.766975959166
2017-05-24,24460,24460,24460,24460,3000,ARM,-0.024331870761866825,25576.030800737943,20356.969199262057
2017-05-25,24460,24460,24460,24460,0,ARM,0.0,25703.220578820627,20534.779421179373
2017-05-26,22020,22020,22020,22020,100,ARM,-0.09975470155355681,25219.436543316322,21295.563456683678
2017-05-29,22020,22020,22020,22020,0,ARM,0.0,25106.435127607747,21495.564872392253
2017-05-30,22020,22020,22020,22020,0,ARM,0.0,25130.01587294922,21349.98412705078
2017-05-31,22020,22020,22020,22020,0,ARM,0.0,25142.40418661059,21215.59581338941
2017-06-01,22020,22020,22020,22020,0,ARM,0.0,25144.81622255201,21091.18377744799
2017-06-02,22020,22020,22020,22020,0,ARM,0.0,25138.164097326302,20975.835902673698
2017-06-05,22020,22020,22020,22020,0,ARM,0.0,25123.14268444785,20868.85731555215
2017-06-06,19850,19850,19850,19850,130,ARM,-0.09854677565849224,25351.84571890662,20301.15428109338
2017-06-07,19850,19850,19850,19850,0,ARM,0.0,25485.45611597564,19828.54388402436
2017-06-08,19850,19850,19850,19850,0,ARM,0.0,25552.31891797868,19422.68108202132
2017-06-09,19850,19850,19850,19850,0,ARM,0.0,25654.166238613765,19164.833761386235
2017-06-12,21820,21820,21820,21820,1500,ARM,0.09924433249370268,25621.856590752195,19116.143409247805
2017-06-13,19650,19650,19650,19650,100,ARM,-0.09945004582951422,25621.563373540765,18757.436626459235
2017-06-14,19650,19650,19650,19650,0,ARM,0.0,25576.409959609242,18443.590040390758
2017-06-15,19650,19650,19650,19650,0,ARM,0.0,25491.338565137776,18169.661434862224
2017-06-16,19650,19650,19650,19650,50,ARM,0.0,25369.391587770177,17932.608412229823
2017-06-19,19650,19650,19650,19650,0,ARM,0.0,24843.460697048547,17916.539302951453
2017-06-20,19650,19650,19650,19650,0,ARM,0.0,24203.698046659803,18014.301953340197
2017-06-21,19650,19650,19650,19650,6,ARM,0.0,23611.7992909998,18125.2007090002
2017-06-22,19650,19650,19650,19650,0,ARM,0.0,22866.63887217211,18389.36112782789
2017-06-23,19650,19650,19650,19650,0,ARM,0.0,22691.035926818535,18327.964073181465
2017-06-26,19650,19650,19650,19650,0,ARM,0.0,22487.271928925253,18294.728071074747
2017-06-27,19650,19650,19650,19650,0,ARM,0.0,22251.71070126452,18293.28929873548
2017-06-28,19650,19650,19650,19650,0,ARM,0.0,21978.24121212081,18329.75878787919
2017-06-29,19650,19650,19650,19650,0,ARM,0.0,21656.024297873995,18414.975702126005
2017-06-30,19650,19650,19650,19650,10,ARM,0.0,21263.106979403943,18570.893020596057
2017-07-03,19650,19650,19650,19650,0,ARM,0.0,20739.54782025145,18857.45217974855
2017-07-04,19650,19650,19650,19650,0,ARM,0.0,20731.395010062097,18845.604989937903
2017-07-05,19650,19650,19650,19650,0,ARM,0.0,20722.815095717528,18834.184904282472
2017-07-06,19650,19650,19650,19650,0,ARM,0.0,20713.81000206282,18823.18999793718
2017-07-07,19650,19650,19650,19650,0,ARM,0.0,20704.381070748328,18812.618929251672
2017-07-10,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-11,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-12,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-13,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-14,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-17,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-18,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-19,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-20,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-21,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-24,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-25,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-26,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-27,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-28,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-07-31,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-08-01,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-08-02,19650,19650,19650,19650,0,ARM,0.0,19650.0,19650.0
2017-08-03,19650,21570,19650,21570,1100,ARM,0.09770992366412212,20582.90859715981,18909.09140284019
2017-08-04,21060,21060,21060,21060,3000,ARM,-0.02364394993045893,20828.434286404015,18804.565713595985
2017-08-07,21060,21060,21060,21060,3000,ARM,0.0,21030.610073407894,18743.389926592106
2017-08-08,21060,21060,21060,21060,3100,ARM,0.0,21203.258804905672,18711.741195094328
2017-08-09,21060,21060,19900,19900,1000,ARM,-0.05508072174738843,21208.159925050073,18731.840074949927
2017-08-10,19900,19900,19900,19900,0,ARM,0.0,21212.506097545862,18752.493902454138
2017-08-11,19900,19900,19900,19900,0,ARM,0.0,21216.286207242185,18773.713792757815
2017-08-14,19900,19900,19900,19900,0,ARM,0.0,21219.488036244584,18795.511963755416
2017-08-15,18500,18500,18500,18500,100,ARM,-0.07035175879396982,21322.82191124705,18577.17808875295
2017-08-16,18500,18500,18500,18500,0,ARM,0.0,21400.450596007708,18384.549403992292
2017-08-17,18500,18500,18500,18500,0,ARM,0.0,21458.80417538569,18211.19582461431
2017-08-18,16720,16720,16720,16720,100,ARM,-0.09621621621621623,21806.208903508697,17570.791096491303
2017-08-21,16720,16720,16720,16720,0,ARM,0.0,22024.124896132344,17059.875103867656
2017-08-22,16720,16720,16720,16720,0,ARM,0.0,22164.163757121838,16626.836242878162
2017-08-23,18370,18370,15310,15310,400,ARM,-0.08433014354066981,22465.208231650628,15891.791768349372
2017-08-24,15310,15310,15310,15310,0,ARM,0.0,22644.255897422474,15278.744102577526
2017-08-25,15310,15310,15310,15310,0,ARM,0.0,22737.771716274765,14751.228283725235
2017-08-28,15310,15310,15310,15310,0,ARM,0.0,22764.602193716833,14290.397806283167
