Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2020-09-24,27240,27240,27240,27240,2010,ASG,0.0,0.0,0.0
2020-09-25,29140,29140,29140,29140,4260,ASG,0.06975036710719529,0.0,0.0
2020-09-28,31140,31140,31140,31140,91910,ASG,0.06863417982155107,0.0,0.0
2020-09-29,33300,33300,33300,33300,152000,ASG,0.06936416184971095,0.0,0.0
2020-09-30,35610,35610,35610,35610,86000,ASG,0.06936936936936933,0.0,0.0
2020-10-01,38070,38070,37840,38070,137410,ASG,0.06908171861836565,0.0,0.0
2020-10-02,40710,40710,40110,40710,195430,ASG,0.06934594168636732,0.0,0.0
2020-10-05,38290,40640,37910,37910,78970,ASG,-0.06877916973716536,0.0,0.0
2020-10-06,35270,35270,35270,35270,24970,ASG,-0.0696386177789502,0.0,0.0
2020-10-07,32810,32810,32810,32810,18770,ASG,-0.0697476609016161,0.0,0.0
2020-10-08,30540,34960,30540,33300,181260,ASG,0.014934471197805443,0.0,0.0
2020-10-09,33300,33300,31560,32540,32000,ASG,-0.022822822822822775,0.0,0.0
2020-10-12,30570,32090,30570,31260,24370,ASG,-0.039336201598033194,0.0,0.0
2020-10-13,31710,31780,30350,30730,27690,ASG,-0.01695457453614846,0.0,0.0
2020-10-14,30730,31030,29890,30880,33750,ASG,0.004881223560039061,0.0,0.0
2020-10-15,30270,30880,29740,30730,53710,ASG,-0.004857512953367893,0.0,0.0
2020-10-16,30040,30880,30040,30880,16690,ASG,0.004881223560039061,0.0,0.0
2020-10-19,31030,31030,30120,30880,18310,ASG,0.0,0.0,0.0
2020-10-20,30800,30950,30270,30950,14390,ASG,0.00226683937823835,0.0,0.0
2020-10-21,30380,30650,28910,28910,45310,ASG,-0.06591276252019385,0.0,0.0
2020-10-22,28760,29890,28760,29440,18330,ASG,0.018332756831546115,39030.06302489518,26415.936975104818
2020-10-23,29820,30200,29510,29510,7420,ASG,0.0023777173913044347,39008.45867227477,26474.54132772523
2020-10-26,29510,29890,28980,28980,10150,ASG,-0.017960013554727206,39079.035741891435,26187.964258108565
2020-10-27,28980,29060,28610,29060,13570,ASG,0.002760524499654915,39041.94492462553,25801.05507537447
2020-10-28,29060,29060,27620,27620,16330,ASG,-0.049552649690295936,38787.3132965148,25256.686703485197
2020-10-29,26870,28150,26640,27850,21600,ASG,0.008327299058653148,37905.56300305189,25116.436996948112
2020-10-30,28110,28270,27240,27240,4960,ASG,-0.021903052064631945,35916.86954749308,25758.130452506924
2020-11-02,27020,28000,27020,27400,9800,ASG,0.005873715124816492,34441.72444601332,26182.275553986678
2020-11-03,27470,27930,27470,27620,3390,ASG,0.008029197080291928,33535.38671480401,26323.613285195992
2020-11-04,28000,28000,27620,27620,4900,ASG,0.0,33154.301938695906,26185.698061304094
2020-11-05,27620,27930,27550,27770,6410,ASG,0.005430847212165135,32543.289040554948,26243.710959445052
2020-11-06,28000,28000,27960,28000,1780,ASG,0.008282319049333742,32016.645785745015,26316.354214254985
2020-11-09,28080,28150,26870,26870,23670,ASG,-0.04035714285714287,31794.60320269522,26099.39679730478
2020-11-10,28270,28270,26870,27850,14890,ASG,0.036471901749162594,31565.383753210273,26040.616246789727
2020-11-11,27850,27850,27470,27620,4610,ASG,-0.008258527827648132,31274.6916328102,26005.3083671898
2020-11-12,27400,27850,27240,27620,22210,ASG,0.0,30970.32762877881,25998.67237122119
2020-11-13,27620,27620,27020,27090,21520,ASG,-0.019188993482983308,30592.159115081082,25997.840884918918
2020-11-16,26640,27090,26640,27090,26620,ASG,0.0,30127.197059403337,26083.802940596663
2020-11-17,27620,27620,26870,26870,8720,ASG,-0.00812107788851979,29516.384206375213,26286.615793624787
2020-11-18,27620,27620,27020,27240,7050,ASG,0.013770003721622626,29387.733735383204,26248.266264616796
2020-11-19,27240,27240,26870,27170,10150,ASG,-0.0025697503671071598,29108.18764331674,26300.81235668326
2020-11-20,26870,27240,26870,27090,6270,ASG,-0.002944423997055523,28739.06522966041,26427.93477033959
2020-11-23,27090,27240,26870,26870,17290,ASG,-0.00812107788851979,28479.291166444666,26476.708833555334
2020-11-24,27170,27240,26940,27240,20870,ASG,0.013770003721622626,28079.99639248709,26694.00360751291
2020-11-25,27240,27240,26870,27240,18240,ASG,0.0,28055.214668062403,26680.785331937597
2020-11-26,26870,27170,26790,26940,13970,ASG,-0.011013215859030812,27996.410231410773,26648.589768589227
2020-11-27,26940,27090,26830,27020,3660,ASG,0.0029695619896066283,27997.510932857575,26625.489067142425
2020-11-30,27020,27280,26940,27020,22420,ASG,0.0,27988.628580077075,26596.371419922925
2020-12-01,27210,27700,27020,27320,20050,ASG,0.011102886750555152,27957.496323519565,26597.503676480435
2020-12-02,27360,27700,27360,27620,12880,ASG,0.010980966325036645,27957.496323519565,26597.503676480435
2020-12-03,28380,29550,28300,29550,29660,ASG,0.06987690079652431,28556.059162042864,26176.940837957136
2020-12-04,31410,31410,29890,29890,31430,ASG,0.011505922165820692,29064.956358508585,25857.043641491415
2020-12-07,29890,30270,28760,29140,6030,ASG,-0.02509200401472067,29310.904042842598,25838.095957157402
2020-12-08,29140,29890,28610,28610,6820,ASG,-0.01818805765271103,29403.755146538348,25821.244853461652
2020-12-09,30270,30270,28000,28150,15570,ASG,-0.016078294302691365,29445.531483257382,25832.468516742618
2020-12-10,28080,28760,28080,28680,7660,ASG,0.0188277087033748,29554.520872366298,25829.479127633702
2020-12-11,28000,28760,28000,28080,5730,ASG,-0.02092050209205021,29589.96179295113,25893.03820704887
2020-12-14,28230,28910,28000,28150,10680,ASG,0.00249287749287741,29625.90902039935,25963.09097960065
2020-12-15,28150,28980,28150,28230,13480,ASG,0.002841918294848922,29652.068383717175,26072.931616282825
2020-12-16,28760,29510,28300,28300,37240,ASG,0.0024796315975912364,29690.9151627155,26140.0848372845
2020-12-17,28380,28910,28230,28380,33210,ASG,0.002826855123674976,29727.986301316338,26224.013698683662
2020-12-18,28760,29210,28380,28530,23940,ASG,0.005285412262156397,29766.45977549668,26329.54022450332
2020-12-21,28530,28760,28380,28530,14200,ASG,0.0,29772.485912214936,26489.514087785064
2020-12-22,28680,29890,28680,29740,39180,ASG,0.042411496670171855,29985.44384123917,26526.55615876083
2020-12-23,30270,30270,29360,29890,12320,ASG,0.00504371217215871,30190.80158408633,26586.19841591367
2020-12-24,29890,31940,28380,31940,41340,ASG,0.06858481097356983,30897.103772245162,26379.896227754838
2020-12-25,30270,32009,30270,31710,92280,ASG,-0.00720100187852224,31371.848534825607,26374.151465174393
2020-12-28,31780,31780,29890,31030,13370,ASG,-0.02144433932513401,31588.90275105202,26558.09724894798
2020-12-29,30950,31480,30270,31030,16380,ASG,0.0,31776.98252575352,26741.01747424648
