Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,2640,2710,2640,2710,19290,ASP,0.0,0.0,0.0
2016-09-05,2640,2780,2640,2780,11630,ASP,0.02583025830258312,0.0,0.0
2016-09-06,2710,2850,2710,2780,96530,ASP,0.0,0.0,0.0
2016-09-07,2710,2780,2710,2780,10150,ASP,0.0,0.0,0.0
2016-09-08,2780,2780,2780,2780,540,ASP,0.0,0.0,0.0
2016-09-09,2780,2780,2710,2710,1210,ASP,-0.025179856115107868,0.0,0.0
2016-09-12,2780,2780,2640,2710,2410,ASP,0.0,0.0,0.0
2016-09-13,2640,2710,2580,2710,22210,ASP,0.0,0.0,0.0
2016-09-14,2710,2710,2710,2710,100,ASP,0.0,0.0,0.0
2016-09-15,2710,2710,2640,2680,1830,ASP,-0.011070110701106972,0.0,0.0
2016-09-16,2680,2710,2640,2710,15350,ASP,0.011194029850746245,0.0,0.0
2016-09-19,2710,2710,2670,2670,3290,ASP,-0.014760147601476037,0.0,0.0
2016-09-20,2700,2700,2700,2700,780,ASP,0.011235955056179803,0.0,0.0
2016-09-21,2710,2710,2570,2690,8800,ASP,-0.0037037037037036535,0.0,0.0
2016-09-22,2700,2700,2580,2690,1460,ASP,0.0,0.0,0.0
2016-09-23,2640,2710,2640,2710,15920,ASP,0.0074349442379182396,0.0,0.0
2016-09-26,2640,2700,2640,2700,3120,ASP,-0.0036900369003689537,0.0,0.0
2016-09-27,2700,2710,2570,2710,7170,ASP,0.0037037037037037646,0.0,0.0
2016-09-28,2700,2710,2700,2710,10370,ASP,0.0,0.0,0.0
2016-09-29,2710,2710,2710,2710,2510,ASP,0.0,0.0,0.0
2016-09-30,2570,2710,2570,2710,1010,ASP,0.0,2783.7947961758687,2651.2052038241313
2016-10-03,2710,2710,2710,2710,140,ASP,0.0,2773.799665550904,2654.200334449096
2016-10-04,2710,2710,2710,2710,10,ASP,0.0,2762.065492337415,2658.934507662585
2016-10-05,2700,2710,2700,2710,2310,ASP,0.0,2747.5462698654264,2666.4537301345736
2016-10-06,2710,2710,2570,2700,3070,ASP,-0.0036900369003689537,2725.8910462845192,2680.1089537154808
2016-10-07,2640,2640,2640,2640,1030,ASP,-0.022222222222222254,2734.9823899984203,2664.0176100015797
2016-10-10,2640,2640,2570,2640,2570,ASP,0.0,2739.5430821141545,2652.4569178858455
2016-10-11,2640,2640,2570,2640,1300,ASP,0.0,2741.8457191659013,2643.1542808340987
2016-10-12,2570,2640,2570,2640,1780,ASP,0.0,2742.6283507111675,2635.3716492888325
2016-10-13,2500,2670,2500,2660,1600,ASP,0.007575757575757569,2742.99090833947,2633.00909166053
