Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2018-01-04,37200,37200,37200,37200,12000,AST,0.0,0.0,0.0
2018-01-05,39740,39740,39740,39740,8700,AST,0.06827956989247319,0.0,0.0
2018-01-08,42500,42500,42500,42500,150720,AST,0.06945143432310008,0.0,0.0
2018-01-09,45460,45460,45460,45460,223230,AST,0.0696470588235294,0.0,0.0
2018-01-10,48630,48630,48630,48630,173190,AST,0.06973163220413547,0.0,0.0
2018-01-11,46830,48630,45260,45260,203460,AST,-0.06929878675714585,0.0,0.0
2018-01-12,45460,47530,44770,45460,234850,AST,0.004418912947415032,0.0,0.0
2018-01-15,45460,45800,44010,44290,63550,AST,-0.02573691157061153,0.0,0.0
2018-01-16,43460,44150,42980,44150,126190,AST,-0.003160984420862545,0.0,0.0
2018-01-17,44910,46150,44770,44910,106720,AST,0.01721404303510754,0.0,0.0
2018-01-18,44770,44770,42560,44570,118340,AST,-0.007570696949454447,0.0,0.0
2018-01-19,44570,44980,43390,44700,159450,AST,0.002916760152569031,0.0,0.0
2018-01-22,44700,45800,44700,45600,295680,AST,0.020134228187919545,0.0,0.0
2018-01-25,46150,46150,44770,45800,278640,AST,0.004385964912280604,0.0,0.0
2018-01-26,45940,46020,45460,45740,163520,AST,-0.0013100436681222627,0.0,0.0
2018-01-29,43390,45670,43250,45330,269020,AST,-0.008963707914298236,0.0,0.0
2018-01-30,44080,45330,43740,44840,354390,AST,-0.010809618354290729,0.0,0.0
2018-01-31,46150,46150,45260,45390,116870,AST,0.01226583407671722,0.0,0.0
2018-02-01,45800,47390,45460,47390,471760,AST,0.04406256884776383,0.0,0.0
2018-02-02,48220,48220,47390,48010,322370,AST,0.01308292888795104,0.0,0.0
2018-02-05,47740,47740,46980,47250,193730,AST,-0.015830035409289733,48979.37176257948,41522.62823742052
2018-02-06,44770,46020,43950,44290,280640,AST,-0.06264550264550262,48272.10179696392,42684.89820303608
2018-02-07,45670,45800,44840,45800,252300,AST,0.03409347482501701,48081.058409556594,43205.941590443406
2018-02-08,45800,46490,45110,46150,186020,AST,0.007641921397379958,48123.71134846287,43232.28865153713
2018-02-09,44770,45330,44080,45190,175110,AST,-0.020801733477789797,47547.55235054114,43464.44764945886
2018-02-12,45800,48150,45740,46220,135440,AST,0.022792653241867633,47615.20741314407,43492.79258685593
2018-02-13,47530,47530,46360,46770,122540,AST,0.01189961055819988,47746.79382079676,43492.20617920324
2018-02-21,47180,49600,47180,49040,179470,AST,0.048535385931152364,48364.23034442392,43349.76965557608
2018-02-22,49600,49600,48220,49110,161180,AST,0.0014274061990211528,48857.05741219185,43352.94258780815
2018-02-23,49600,49600,49250,49600,172900,AST,0.009977601303196915,49423.53291162726,43255.46708837274
2018-02-26,49600,50700,48910,49600,145310,AST,0.0,49870.96890229163,43311.03109770837
2018-02-27,49730,49730,48970,49310,159690,AST,-0.0058467741935483986,50184.39919563464,43458.60080436536
2018-02-28,49310,49310,49040,49310,198250,AST,0.0,50487.16723736089,43526.83276263911
2018-03-01,49600,49730,49310,49600,422090,AST,0.005881160008111896,50805.39631969663,43588.60368030337
2018-03-02,49460,53040,49310,52900,377660,AST,0.06653225806451624,51866.39652548918,43243.60347451082
2018-03-05,53730,55100,53730,54410,186220,AST,0.028544423440453714,53124.83385187598,42893.16614812402
2018-03-06,54410,54410,53240,54210,123950,AST,-0.0036757948906450677,54043.08667168163,42911.91332831837
2018-03-07,54210,56480,53580,54000,166610,AST,-0.00387382401770886,54775.49554750579,43040.50445249421
2018-03-08,54410,55790,54000,55790,187690,AST,0.03314814814814815,55865.080694010154,42790.919305989846
2018-03-09,56140,58760,56140,58480,219610,AST,0.048216526259186265,57470.004512041734,42232.995487958266
2018-03-12,59030,59240,57310,57310,125910,AST,-0.020006839945280408,58527.74042225606,42181.25957774394
2018-03-13,57170,57720,55790,57110,155190,AST,-0.003489792357354693,59176.57932977064,42814.42067022936
2018-03-14,57650,58000,57110,57510,138290,AST,0.007004027315706596,59866.40379221196,43295.59620778804
2018-03-15,57860,57860,53520,53520,321820,AST,-0.06937923839332294,59884.07869076868,44014.92130923132
2018-03-16,53520,56480,53380,56480,228160,AST,0.05530642750373693,60040.6072037805,44987.3927962195
2018-03-19,57110,57110,55320,56070,124120,AST,-0.007259206798866824,60097.743261939366,45915.256738060634
2018-03-20,56420,56760,55170,56480,152330,AST,0.007312288211164697,60123.52652109607,46860.47347890393
2018-03-21,55320,56820,52690,52690,245380,AST,-0.0671033994334278,59999.72718959569,47349.27281040431
2018-03-22,54410,54410,51390,53040,173020,AST,0.006642626684380426,59851.60498611976,47890.39501388024
2018-03-23,50290,53040,50290,52900,116420,AST,-0.002639517345399689,59710.41767937473,48361.58232062527
2018-03-26,52900,53520,52840,53450,128920,AST,0.010396975425330801,59537.34648487791,48919.65351512209
2018-03-27,54760,56480,54410,56480,154960,AST,0.056688493919550886,59470.163318997285,49703.836681002715
2018-03-28,56820,56820,54410,55590,143580,AST,-0.015757790368271962,59153.38239108392,50648.61760891608
2018-03-29,55790,56000,54410,55100,118090,AST,-0.008814534988307199,58664.274071801214,51687.725928198786
2018-03-30,55320,55380,53730,55100,112340,AST,0.0,58615.380723197726,51956.619276802274
2018-04-02,55100,55100,54490,54970,139790,AST,-0.002359346642468285,58622.79676015325,52005.20323984675
2018-04-03,55100,56420,55100,55450,185980,AST,0.008732035655812265,58645.96880719077,52106.03119280923
2018-04-04,56280,56280,55100,55720,175870,AST,0.004869251577998224,58672.62361543682,52251.37638456318
2018-04-05,56420,56420,55100,55720,146820,AST,0.0,58667.8380937509,52249.1619062491
2018-04-06,56070,56140,55720,56070,160160,AST,0.00628140703517599,58251.874396744075,52424.125603255925
2018-04-09,56420,56480,55100,55660,135170,AST,-0.007312288211164586,58031.54376766661,52479.45623233339
2018-04-10,55790,55790,55100,55170,115720,AST,-0.008803449514911965,57800.92521180839,52516.07478819161
2018-04-11,55590,55590,53380,53660,228580,AST,-0.02736994743520027,57451.43275909863,52480.56724090137
2018-04-12,53660,53660,53040,53310,138310,AST,-0.006522549385016729,57466.91772710169,52444.08227289831
2018-04-13,52550,54410,52550,53930,353340,AST,0.011630088163571584,57274.9785450634,52381.0214549366
2018-04-16,54560,54760,54070,54410,104460,AST,0.008900426478768875,57129.65511133174,52360.34488866826
2018-04-17,55030,55450,54970,55100,257250,AST,0.012681492372725645,56932.25707755136,52419.74292244864
2018-04-18,55450,56070,55170,55930,225770,AST,0.015063520871143377,56962.001883238474,52713.998116761526
2018-04-19,56140,58140,55930,56480,238130,AST,0.009833720722331574,57080.19805815787,52939.80194184213
2018-04-20,57510,57510,56690,56820,106250,AST,0.00601983002832851,57180.045592178816,53231.954407821184
2018-04-23,57170,57510,55100,56480,164650,AST,-0.005983808518127409,57231.78786476374,53483.21213523626
2018-04-24,56480,56820,55790,56820,149860,AST,0.00601983002832851,57294.80700670508,53454.19299329492
2018-04-26,57510,57650,56140,56420,122900,AST,-0.007039774727208736,57388.3123484886,53443.6876515114
2018-04-27,56140,56480,55450,56480,140120,AST,0.0010634526763559915,57504.26224151313,53465.73775848687
2018-05-02,57170,57170,55450,56140,101420,AST,-0.006019830028328621,57567.4590613949,53506.5409386051
2018-05-03,56480,56480,55170,56140,103170,AST,0.0,57624.662142363355,53566.337857636645
