Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,1700,1700,1700,1700,26700,ATA,0.0,0.0,0.0
2016-09-05,1600,1600,1600,1600,15680,ATA,-0.05882352941176472,0.0,0.0
2016-09-06,1500,1500,1500,1500,12400,ATA,-0.0625,0.0,0.0
2016-09-07,1400,1400,1400,1400,9710,ATA,-0.06666666666666665,0.0,0.0
2016-09-08,1300,1500,1300,1500,1465060,ATA,0.0714285714285714,0.0,0.0
2016-09-09,1500,1600,1400,1400,347010,ATA,-0.06666666666666665,0.0,0.0
2016-09-12,1310,1390,1310,1310,387230,ATA,-0.06428571428571428,0.0,0.0
2016-09-13,1220,1300,1220,1220,795270,ATA,-0.06870229007633588,0.0,0.0
2016-09-14,1140,1200,1140,1140,272900,ATA,-0.06557377049180324,0.0,0.0
2016-09-15,1100,1110,1070,1070,391600,ATA,-0.06140350877192979,0.0,0.0
2016-09-16,1010,1020,1000,1000,215050,ATA,-0.06542056074766356,0.0,0.0
2016-09-19,930,930,930,930,7410,ATA,-0.06999999999999995,0.0,0.0
2016-09-20,870,870,870,870,13810,ATA,-0.06451612903225812,0.0,0.0
2016-09-21,810,930,810,930,429700,ATA,0.06896551724137923,0.0,0.0
2016-09-22,870,960,870,870,123000,ATA,-0.06451612903225812,0.0,0.0
2016-09-23,810,850,810,810,244730,ATA,-0.06896551724137934,0.0,0.0
2016-09-26,760,860,760,860,116560,ATA,0.06172839506172845,0.0,0.0
2016-09-27,910,920,820,920,136370,ATA,0.06976744186046502,0.0,0.0
2016-09-28,980,980,930,960,215200,ATA,0.04347826086956519,0.0,0.0
2016-09-29,1000,1000,900,960,74210,ATA,0.0,0.0,0.0
2016-09-30,950,970,920,930,123410,ATA,-0.03125,1604.0111109864097,613.9888890135903
2016-10-03,870,930,870,880,196070,ATA,-0.053763440860215006,1522.5820281105548,623.4179718894453
2016-10-04,940,940,830,850,15240,ATA,-0.03409090909090906,1454.4794680899035,626.5205319100965
2016-10-05,850,900,820,900,66770,ATA,0.05882352941176472,1398.8784031475946,632.1215968524054
2016-10-06,930,930,890,930,41080,ATA,0.03333333333333344,1300.4389892786146,673.5610107213854
2016-10-07,950,950,900,900,50030,ATA,-0.032258064516129004,1213.284699096462,710.715300903538
2016-10-10,860,940,860,930,43370,ATA,0.03333333333333344,1137.1236719207614,748.8763280792386
2016-10-11,930,950,870,930,164210,ATA,0.0,1075.2344540317622,781.7655459682378
2016-10-12,930,930,870,870,102990,ATA,-0.06451612903225812,1026.9821414333524,803.0178585666478
2016-10-13,900,900,820,890,10240,ATA,0.02298850574712641,992.8101376568388,819.1898623431612
2016-10-14,840,910,840,910,23570,ATA,0.022471910112359605,976.9387168501645,826.0612831498355
2016-10-17,920,920,850,850,166960,ATA,-0.06593406593406592,974.9273853361929,820.0726146638071
2016-10-18,850,850,810,810,59750,ATA,-0.04705882352941182,980.1679636737052,808.8320363262948
2016-10-19,800,830,760,760,164570,ATA,-0.06172839506172845,988.058806577381,783.941193422619
2016-10-20,750,750,720,720,60760,ATA,-0.052631578947368474,1003.6039567719553,753.3960432280447
2016-10-21,680,760,680,760,10630,ATA,0.05555555555555558,1008.2724461102888,743.7275538897112
2016-10-24,800,800,710,710,116480,ATA,-0.06578947368421051,1019.2680337472079,717.7319662527921
2016-10-25,710,710,680,680,43930,ATA,-0.04225352112676062,1026.0022123749397,686.9977876250601
2016-10-26,710,710,650,650,49560,ATA,-0.044117647058823484,1025.8134194261856,656.1865805738145
2016-10-27,690,690,670,690,81570,ATA,0.06153846153846154,1014.9966666370343,640.0033333629657
2016-10-28,730,730,700,730,60250,ATA,0.05797101449275366,1003.3897522726821,631.6102477273179
2016-10-31,780,780,760,780,193960,ATA,0.06849315068493156,996.7688253612074,628.2311746387926
2016-11-01,830,830,830,830,54410,ATA,0.0641025641025641,995.1600119786535,627.8399880213465
2016-11-02,880,880,880,880,82150,ATA,0.06024096385542177,992.4313057172931,628.5686942827069
2016-11-03,940,940,880,880,361420,ATA,0.0,984.5899204371505,631.4100795628495
2016-11-04,880,880,820,880,124110,ATA,0.0,981.7111902540852,632.2888097459148
2016-11-07,940,940,930,940,171490,ATA,0.06818181818181812,983.6675338988406,631.3324661011594
2016-11-08,880,1000,880,1000,81070,ATA,0.06382978723404253,999.1382470419004,622.8617529580996
2016-11-09,1000,1070,1000,1070,427940,ATA,0.07000000000000006,1039.4399230909935,602.5600769090065
2016-11-10,1000,1140,1000,1140,150420,ATA,0.06542056074766345,1091.3584883225665,575.6415116774335
2016-11-11,1210,1210,1210,1210,139150,ATA,0.06140350877192979,1153.0833219334231,543.916678066577
2016-11-14,1290,1290,1290,1290,324960,ATA,0.06611570247933884,1230.8040382787838,510.19596172121624
2016-11-15,1380,1380,1350,1380,786310,ATA,0.06976744186046502,1320.6111952972778,477.3888047027222
2016-11-16,1470,1470,1290,1290,482100,ATA,-0.06521739130434778,1374.5645833285,476.4354166715
2016-11-17,1200,1230,1200,1200,80610,ATA,-0.06976744186046513,1403.349093862706,495.6509061372939
2016-11-18,1120,1120,1120,1120,20750,ATA,-0.06666666666666665,1418.4046462390907,516.5953537609093
2016-11-21,1050,1190,1050,1050,765850,ATA,-0.0625,1420.6868865520828,548.3131134479172
2016-11-22,980,1120,980,980,256410,ATA,-0.06666666666666665,1412.8025526173283,586.1974473826716
2016-11-23,1040,1040,920,920,244550,ATA,-0.061224489795918324,1396.3066657390652,629.6933342609348
2016-11-24,980,980,940,950,82900,ATA,0.032608695652173836,1381.2126123886926,670.7873876113074
2016-11-25,950,1010,950,1010,324530,ATA,0.06315789473684208,1368.511795830834,711.488204169166
2016-11-28,1080,1080,940,1080,369650,ATA,0.06930693069306937,1361.3005060394116,748.6994939605884
2016-11-29,1080,1150,1080,1080,439500,ATA,0.0,1355.9354347163323,779.0645652836677
2016-11-30,1080,1080,1010,1030,94200,ATA,-0.04629629629629628,1351.0796986379107,798.9203013620893
2016-12-01,1030,1030,970,980,100880,ATA,-0.04854368932038833,1345.179184703475,814.8208152965251
2016-12-02,1040,1040,990,1040,425130,ATA,0.061224489795918435,1337.7678922519858,838.2321077480141
2016-12-05,1110,1110,1090,1110,238570,ATA,0.06730769230769229,1336.9391814991884,856.0608185008116
2016-12-06,1180,1180,1140,1170,80560,ATA,0.054054054054053946,1343.201595292726,866.7984047072739
2016-12-07,1170,1180,1100,1160,100230,ATA,-0.008547008547008517,1348.2865155321792,870.7134844678208
