Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2017-08-25,9834,9834,8761,8761,12100,ATB,0.0,0.0,0.0
2017-08-28,8850,8850,8850,8850,0,ATB,0.01015865768747859,0.0,0.0
2017-08-29,8850,8850,8850,8850,0,ATB,0.0,0.0,0.0
2017-08-30,8671,8850,8671,8850,6000,ATB,0.0,0.0,0.0
2017-08-31,8761,8761,8761,8761,0,ATB,-0.010056497175141232,0.0,0.0
2017-09-01,8761,8761,8761,8761,0,ATB,0.0,0.0,0.0
2017-09-05,8761,8761,8761,8761,0,ATB,0.0,0.0,0.0
2017-09-06,8761,8761,8761,8761,0,ATB,0.0,0.0,0.0
2017-09-07,10012,10012,8940,8940,11400,ATB,0.020431457596164826,0.0,0.0
2017-09-08,10012,10012,10012,10012,0,ATB,0.11991051454138701,0.0,0.0
2017-09-11,10012,10012,10012,10012,0,ATB,0.0,0.0,0.0
2017-09-12,10012,10012,10012,10012,0,ATB,0.0,0.0,0.0
2017-09-13,10012,10012,10012,10012,0,ATB,0.0,0.0,0.0
2017-09-14,10012,10012,10012,10012,0,ATB,0.0,0.0,0.0
2017-09-15,10012,10012,10012,10012,0,ATB,0.0,0.0,0.0
2017-09-18,10012,10012,10012,10012,0,ATB,0.0,0.0,0.0
2017-09-19,8582,8582,8582,8582,100,ATB,-0.14282860567319222,0.0,0.0
2017-09-20,7330,7330,7330,7330,100,ATB,-0.14588673968771848,0.0,0.0
2017-09-21,6258,6258,6258,6258,100,ATB,-0.1462482946793997,0.0,0.0
2017-09-22,5364,5364,5364,5364,1300,ATB,-0.1428571428571429,0.0,0.0
2017-09-25,4559,4559,4559,4559,500,ATB,-0.15007457121551082,11741.585445708884,5529.514554291114
2017-09-26,3933,3933,3933,3933,10500,ATB,-0.1373108137749507,12107.129870219476,4672.270129780524
2017-09-27,3397,3397,3397,3397,15700,ATB,-0.1362827358250699,12414.138338631172,3819.9616613688295
2017-09-28,2950,2950,2950,2950,3400,ATB,-0.13158669414188995,12654.141285354614,2989.9587146453878
2017-09-29,2592,2682,2592,2682,80300,ATB,-0.09084745762711866,12817.841612569428,2218.358387430573
2017-10-02,2503,2592,2235,2235,64300,ATB,-0.16666666666666663,12930.67126881236,1452.9287311876396
2017-10-03,2056,2235,1966,2235,111100,ATB,0.0,12942.526592010274,788.4734079897262
2017-10-04,1966,2056,1788,2056,90300,ATB,-0.08008948545861294,12885.433392318431,175.0666076815687
