Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,8700,8800,8700,8800,4000,ATS,0.0,0.0,0.0
2016-09-05,8000,8000,8000,8000,1000,ATS,-0.09090909090909094,0.0,0.0
2016-09-06,7300,8800,7300,7300,1100,ATS,-0.08750000000000002,0.0,0.0
2016-09-07,7300,7300,7300,7300,0,ATS,0.0,0.0,0.0
2016-09-08,7800,7800,7800,7800,200,ATS,0.06849315068493156,0.0,0.0
2016-09-09,8000,8400,7300,7300,700,ATS,-0.0641025641025641,0.0,0.0
2016-09-12,7300,7300,7300,7300,100,ATS,0.0,0.0,0.0
2016-09-13,7900,7900,7800,7800,43800,ATS,0.06849315068493156,0.0,0.0
2016-09-14,8400,8400,7500,8200,21100,ATS,0.05128205128205132,0.0,0.0
2016-09-15,7600,8200,7600,8100,105900,ATS,-0.012195121951219523,0.0,0.0
2016-09-16,7600,8100,7600,8100,30900,ATS,0.0,0.0,0.0
2016-09-19,8200,8200,8200,8200,32500,ATS,0.012345679012345734,0.0,0.0
2016-09-20,8200,8300,8200,8300,46600,ATS,0.012195121951219523,0.0,0.0
2016-09-21,8300,8400,8300,8400,38400,ATS,0.012048192771084265,0.0,0.0
2016-09-22,8500,8700,8400,8400,78800,ATS,0.0,0.0,0.0
2016-09-23,8500,8600,8500,8600,24200,ATS,0.023809523809523725,0.0,0.0
2016-09-26,8600,8800,8500,8800,18200,ATS,0.023255813953488413,0.0,0.0
2016-09-27,8700,9200,8700,9200,43600,ATS,0.045454545454545414,0.0,0.0
2016-09-28,9200,10000,9200,9800,64700,ATS,0.0652173913043479,0.0,0.0
2016-09-29,9800,10000,9000,9900,47300,ATS,0.010204081632652962,0.0,0.0
2016-09-30,9800,10000,9400,9400,40100,ATS,-0.0505050505050505,9851.298154154478,6768.701845845522
2016-10-03,9400,9900,9100,9700,35700,ATS,0.03191489361702127,10042.39187809094,6747.608121909058
2016-10-04,9600,9700,8800,8800,39900,ATS,-0.09278350515463918,10046.197957110719,6893.802042889282
2016-10-05,8800,8900,8300,8900,57700,ATS,0.011363636363636465,10040.637447537127,7059.362552462873
2016-10-06,8800,9000,8300,9000,28100,ATS,0.011235955056179803,10071.369220970526,7148.630779029475
2016-10-07,8900,9100,8900,9100,26100,ATS,0.011111111111111072,10044.618905117728,7355.381094882271
2016-10-10,9000,9000,8900,8900,26500,ATS,-0.02197802197802201,9962.539639927558,7597.460360072441
2016-10-11,8800,8900,8800,8900,32700,ATS,0.0,9929.120651482275,7740.879348517725
2016-10-12,8800,9000,8600,8600,26900,ATS,-0.0337078651685393,9916.084351029644,7793.915648970356
2016-10-13,8600,9000,8500,9000,32800,ATS,0.04651162790697683,9903.99203184089,7896.00796815911
2016-10-14,9000,9000,8500,8800,23900,ATS,-0.022222222222222254,9871.536171218175,7998.463828781825
2016-10-17,8800,9500,8600,9400,199800,ATS,0.06818181818181812,9888.252483903627,8101.747516096373
2016-10-18,8700,9400,8600,9200,47300,ATS,-0.021276595744680882,9877.615663654877,8202.384336345123
2016-10-19,9100,9200,8500,9000,35000,ATS,-0.021739130434782594,9855.11145705562,8284.88854294438
2016-10-20,9000,9100,8500,8700,29800,ATS,-0.033333333333333326,9828.706931526121,8341.293068473879
2016-10-21,8800,9000,8400,8800,22600,ATS,0.011494252873563315,9817.42646684628,8372.57353315372
2016-10-24,8800,8900,8400,8400,23900,ATS,-0.045454545454545414,9849.273853361974,8300.726146638026
