Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2024-08-12,15920,15920,15920,15920,43800,AVG,0.0,0.0,0.0
2024-08-13,18310,18310,17770,18310,179400,AVG,0.15012562814070352,0.0,0.0
2024-08-14,21000,21000,17230,19230,55500,AVG,0.05024576734025121,0.0,0.0
2024-08-15,17690,18080,16770,16770,117300,AVG,-0.12792511700468023,0.0,0.0
2024-08-16,19310,19310,16850,18460,92900,AVG,0.10077519379844957,0.0,0.0
2024-08-19,20380,20380,16850,17690,39300,AVG,-0.041711809317443116,0.0,0.0
2024-08-20,19920,19920,16690,17460,37700,AVG,-0.013001695873374741,0.0,0.0
2024-08-21,19540,19540,17310,17540,35700,AVG,0.004581901489117968,0.0,0.0
2024-08-22,19850,19850,17080,17380,16300,AVG,-0.009122006841505104,0.0,0.0
2024-08-23,17540,18230,17150,18230,51200,AVG,0.048906789413118545,0.0,0.0
2024-08-26,18850,18850,17770,18460,12700,AVG,0.012616566099835413,0.0,0.0
2024-08-27,18850,18850,17850,17850,10500,AVG,-0.03304442036836408,0.0,0.0
2024-08-28,18460,18460,17690,18150,31400,AVG,0.01680672268907557,0.0,0.0
2024-08-29,18080,18310,18080,18310,12100,AVG,0.008815426997245135,0.0,0.0
2024-08-30,18460,18460,18000,18150,14500,AVG,-0.008738394320043641,0.0,0.0
2024-09-04,18000,20380,18000,20150,42000,AVG,0.11019283746556474,0.0,0.0
2024-09-05,21850,21850,18690,19230,16800,AVG,-0.04565756823821343,0.0,0.0
2024-09-06,21540,21540,19080,19150,10500,AVG,-0.004160166406656285,0.0,0.0
2024-09-09,21540,21540,18380,18850,35500,AVG,-0.015665796344647487,0.0,0.0
2024-09-10,18620,18620,17770,18310,14500,AVG,-0.02864721485411137,0.0,0.0
2024-09-11,18310,18460,17620,18310,11400,AVG,0.0,19804.41827020606,16794.58172979394
2024-09-12,20540,20540,17620,19230,11700,AVG,0.05024576734025121,19904.17219132183,16786.82780867817
2024-09-13,18460,18460,17620,17920,7100,AVG,-0.0681227249089964,19793.948479968854,16766.051520031146
2024-09-16,17380,18620,17150,17850,12200,AVG,-0.00390625,19698.307883140755,16969.692116859245
2024-09-17,17920,18150,17310,17690,15100,AVG,-0.008963585434173638,19686.6071130578,16904.3928869422
2024-09-18,17380,18080,17310,17770,13400,AVG,0.0045223289994347216,19684.06455248573,16914.93544751427
2024-09-19,17620,17920,17380,17770,13200,AVG,0.0,19668.210996112583,16961.789003887417
