Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2017-03-24,11320,11320,11320,11320,100,BAX,0.0,0.0,0.0
2017-03-27,12450,12450,12450,12450,100,BAX,0.09982332155477036,0.0,0.0
2017-03-28,13680,13680,11380,11380,13800,BAX,-0.08594377510040163,0.0,0.0
2017-03-29,11380,12250,10240,12250,1200,BAX,0.07644991212653784,0.0,0.0
2017-03-30,11120,11120,11120,11120,100,BAX,-0.09224489795918367,0.0,0.0
2017-03-31,10040,10040,10040,10040,2300,BAX,-0.09712230215827333,0.0,0.0
2017-04-03,10040,10040,10040,10040,0,BAX,0.0,0.0,0.0
2017-04-04,11010,11010,9740,9740,8800,BAX,-0.029880478087649376,0.0,0.0
2017-04-05,8760,9740,8760,9740,1500,BAX,0.0,0.0,0.0
2017-04-07,9740,10500,9740,10500,8400,BAX,0.07802874743326482,0.0,0.0
2017-04-10,10760,11520,10760,11520,1400,BAX,0.0971428571428572,0.0,0.0
2017-04-11,11940,11940,11940,11940,100,BAX,0.03645833333333326,0.0,0.0
2017-04-12,11520,11520,11520,11520,3000,BAX,-0.035175879396984966,0.0,0.0
2017-04-13,10390,10390,10390,10390,300,BAX,-0.09809027777777779,0.0,0.0
2017-04-14,10390,10390,9370,9370,200,BAX,-0.09817131857555339,0.0,0.0
2017-04-17,10240,10240,10240,10240,300,BAX,0.09284951974386346,0.0,0.0
2017-04-18,10240,10240,10240,10240,0,BAX,0.0,0.0,0.0
2017-04-19,10240,10240,10240,10240,0,BAX,0.0,0.0,0.0
2017-04-20,10240,10240,10240,10240,0,BAX,0.0,0.0,0.0
2017-04-21,9790,9790,9790,9790,100,BAX,-0.0439453125,0.0,0.0
2017-04-24,9430,9430,9430,9430,100,BAX,-0.036772216547497405,12438.064241627397,8779.935758372603
2017-04-25,9840,9840,9840,9840,100,BAX,0.04347826086956519,12127.066346860207,8829.933653139793
2017-04-26,9840,9840,9840,9840,0,BAX,0.0,12017.993427144078,8785.006572855922
2017-04-27,10090,10800,10090,10800,800,BAX,0.09756097560975618,11721.980976180224,8936.019023819776
2017-04-28,10800,10800,10800,10800,0,BAX,0.0,11676.306275200113,8949.693724799887
2017-05-03,10800,10800,10800,10800,0,BAX,0.0,11724.082663207138,8977.917336792862
2017-05-04,10800,10800,10800,10800,0,BAX,0.0,11767.606542854055,9010.393457145945
2017-05-05,10800,10800,10800,10800,0,BAX,0.0,11798.047196818756,9085.952803181244
2017-05-08,10800,10800,10800,10800,0,BAX,0.0,11819.65089740656,9170.34910259344
2017-05-09,10040,10040,10040,10040,100,BAX,-0.07037037037037042,11811.396879196009,9132.603120803991
2017-05-10,10040,10040,10040,10040,0,BAX,0.0,11658.85050660259,9137.14949339741
2017-05-11,10240,10240,10240,10240,6300,BAX,0.019920318725099584,11357.16665336526,9268.83334663474
2017-05-12,10240,10240,10240,10240,200,BAX,0.0,11134.209579704157,9363.790420295843
2017-05-15,10240,10240,10240,10240,100,BAX,0.0,11124.342568072027,9358.657431927973
2017-05-16,10240,10240,10240,10240,0,BAX,0.0,11072.362686441267,9497.637313558733
2017-05-17,11170,11170,11170,11170,100,BAX,0.0908203125,11207.588465852627,9455.411534147373
2017-05-18,11170,11170,11170,11170,0,BAX,0.0,11325.535751304407,9430.464248695593
2017-05-19,11170,11170,11170,11170,0,BAX,0.0,11429.89494727197,9419.10505272803
2017-05-22,11170,11520,11170,11520,500,BAX,0.031333930170098556,11596.49413355848,9380.50586644152
2017-05-23,11520,11520,11520,11520,0,BAX,0.0,11720.835939390978,9429.164060609022
2017-05-24,11520,11520,11520,11520,0,BAX,0.0,11768.379699507712,9590.620300492288
2017-05-25,11520,11520,11520,11520,0,BAX,0.0,11839.497676577419,9687.502323422581
2017-05-26,11520,11520,11520,11520,0,BAX,0.0,11883.567082770223,9811.432917229777
2017-05-29,11520,11520,11520,11520,0,BAX,0.0,11959.720702272542,9807.279297727458
2017-05-30,12250,12250,12250,12250,100,BAX,0.06336805555555558,12184.534085811216,9727.465914188784
2017-05-31,12250,12250,12250,12250,0,BAX,0.0,12376.940210020452,9680.059789979548
2017-06-01,12250,12250,12250,12250,0,BAX,0.0,12545.034625623637,9656.965374376363
2017-06-02,12250,12250,12250,12250,0,BAX,0.0,12693.411510582111,9653.588489417889
2017-06-05,12250,12250,12250,12250,0,BAX,0.0,12824.916083900596,9667.083916099404
2017-06-06,12250,12250,12250,12250,0,BAX,0.0,12891.05237773104,9821.94762226896
2017-06-07,12340,12340,12340,12340,1500,BAX,0.007346938775510292,12937.368684432542,10005.631315567458
2017-06-08,12340,12340,12340,12340,0,BAX,0.0,12973.715445090696,10179.284554909304
2017-06-09,12340,12340,12340,12340,100,BAX,0.0,12972.798183999339,10390.201816000661
2017-06-12,12340,12340,12340,12340,0,BAX,0.0,12924.257003933611,10648.742996066389
2017-06-13,12340,12340,12340,12340,0,BAX,0.0,12804.369651155073,10978.630348844927
2017-06-14,12340,12340,12340,12340,0,BAX,0.0,12819.344580704328,11080.655419295672
2017-06-15,12340,12340,12340,12340,0,BAX,0.0,12815.228578891305,11201.771421108695
2017-06-16,12340,12340,12340,12340,0,BAX,0.0,12787.058330970474,11346.941669029526
2017-06-19,12340,12340,12340,12340,0,BAX,0.0,12791.245197568182,11424.754802431818
2017-06-20,12090,12090,12090,12090,1000,BAX,-0.02025931928687197,12764.585185305292,11508.414814694708
2017-06-21,12090,12090,12090,12090,0,BAX,0.0,12726.83627508375,11603.16372491625
2017-06-22,12090,12090,12090,12090,0,BAX,0.0,12673.428119617909,11713.571880382091
2017-06-23,12090,12090,12090,12090,0,BAX,0.0,12594.16125537189,11849.83874462811
2017-06-26,12090,12090,12090,12090,0,BAX,0.0,12450.947000476388,12050.052999523612
2017-06-27,12090,12090,12090,12090,0,BAX,0.0,12454.808737455576,12030.191262544424
2017-06-28,12090,12090,12090,12090,0,BAX,0.0,12456.893794877422,12012.106205122578
2017-06-29,10960,10960,10960,10960,100,BAX,-0.0934656741108354,12768.030099576921,11571.969900423079
2017-06-30,10960,10960,10960,10960,3500,BAX,0.0,12900.823204741308,11310.176795258692
2017-07-03,11420,11990,11420,11990,8400,BAX,0.09397810218978098,12886.448990804814,11298.551009195186
2017-07-04,11990,11990,11990,11990,0,BAX,0.0,12871.219015813049,11287.780984186951
2017-07-05,11990,11990,11990,11990,0,BAX,0.0,12845.341560240477,11278.658439759523
2017-07-06,11990,11990,11990,11990,0,BAX,0.0,12817.791018957278,11271.208981042722
2017-07-07,11990,11990,11990,11990,0,BAX,0.0,12788.501149047055,11265.498850952945
2017-07-10,11990,11990,11990,11990,0,BAX,0.0,12757.389697749597,11261.610302250403
2017-07-11,11990,11990,11990,11990,0,BAX,0.0,12724.35510512318,11259.64489487682
2017-07-12,10800,10800,10800,10800,1000,BAX,-0.09924937447873228,12793.965300794056,11036.034699205944
2017-07-13,10800,10800,10800,10800,4000,BAX,0.0,12818.501912287777,10857.498087712223
2017-07-14,10800,10800,10800,10800,1500,BAX,0.0,12811.121897686164,10710.878102313836
2017-07-17,10290,10290,10290,10290,4100,BAX,-0.047222222222222276,12852.841241019496,10464.158758980504
2017-07-18,9780,9780,9780,9780,1000,BAX,-0.04956268221574345,12971.847087689928,10114.152912310072
2017-07-19,10290,10290,10290,10290,4000,BAX,0.0521472392638036,12957.44807155315,9948.55192844685
2017-07-20,10290,10290,10290,10290,0,BAX,0.0,12918.739052669178,9807.260947330822
2017-07-21,10290,10290,10290,10290,0,BAX,0.0,12858.081701364315,9687.918298635685
2017-07-24,10290,10290,10290,10290,0,BAX,0.0,12776.688802746634,9589.311197253366
2017-07-25,10290,10290,10290,10290,0,BAX,0.0,12674.898858966653,9511.101141033347
2017-07-26,10290,10290,10290,10290,0,BAX,0.0,12552.246268351162,9453.753731648838
2017-07-27,10290,10290,10290,10290,0,BAX,0.0,12549.683217225142,9389.316782774858
2017-07-28,10290,10290,10290,10290,0,BAX,0.0,12543.736296785017,9328.263703214983
2017-07-31,10290,10290,10290,10290,0,BAX,0.0,12405.73341766362,9296.26658233638
2017-08-01,10290,10290,10290,10290,0,BAX,0.0,12246.464791881253,9285.535208118747
2017-08-02,10290,10290,10290,10290,0,BAX,0.0,12062.504976465883,9299.495023534117
2017-08-03,10290,10290,10290,10290,0,BAX,0.0,11848.012779487495,9343.987220512505
2017-08-04,10290,10290,10290,10290,0,BAX,0.0,11592.071690499759,9429.928309500241
2017-08-07,10290,10290,10290,10290,0,BAX,0.0,11269.857807927383,9582.142192072617
2017-08-08,10290,10290,10290,10290,0,BAX,0.0,10785.607692241158,9896.392307758842
2017-08-09,10290,10290,10290,10290,0,BAX,0.0,10707.23843314131,9923.76156685869
2017-08-10,10290,10290,10290,10290,0,BAX,0.0,10612.552321337189,9967.447678662811
2017-08-11,10290,10290,10290,10290,0,BAX,0.0,10486.803846120594,10042.196153879406
2017-08-14,10290,10290,10290,10290,400,BAX,0.0,10486.803846120594,10042.196153879406
2017-08-15,10290,10290,10290,10290,0,BAX,0.0,10290.0,10290.0
2017-08-16,10290,10290,10290,10290,0,BAX,0.0,10290.0,10290.0
2017-08-17,10290,10290,10290,10290,0,BAX,0.0,10290.0,10290.0
2017-08-18,10290,10290,10290,10290,0,BAX,0.0,10290.0,10290.0
2017-08-21,9260,10290,9260,10290,1600,BAX,0.0,10290.0,10290.0
2017-08-22,10290,10290,10290,10290,0,BAX,0.0,10290.0,10290.0
2017-08-23,10290,10290,10290,10290,0,BAX,0.0,10290.0,10290.0
2017-08-24,10290,10290,10290,10290,0,BAX,0.0,10290.0,10290.0
2017-08-25,10290,10290,10290,10290,400,BAX,0.0,10290.0,10290.0
2017-08-28,10290,10290,10290,10290,100,BAX,0.0,10290.0,10290.0
2017-08-29,10180,10180,10180,10180,100,BAX,-0.010689990281827044,10332.447888379038,10236.552111620962
2017-08-30,10290,10550,9260,9260,4300,BAX,-0.09037328094302555,10682.00334074482,9783.99665925518
2017-08-31,9260,9260,9260,9260,0,BAX,0.0,10797.690717229667,9565.309282770333
2017-09-01,10180,10180,10180,10180,100,BAX,0.09935205183585305,10790.179126965424,9561.820873034576
2017-09-05,10290,10290,10290,10290,200,BAX,0.01080550098231825,10790.179126965424,9561.820873034576
2017-09-06,10290,10290,10290,10290,100,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-07,10290,10290,10290,10290,700,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-08,10290,10290,10290,10290,800,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-11,10290,10290,10290,10290,0,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-12,10290,10290,10290,10290,0,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-13,10290,10290,10290,10290,0,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-14,10290,10290,10290,10290,0,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-15,10290,10290,10290,10290,0,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-18,10290,10290,10290,10290,0,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-19,10290,10290,10290,10290,0,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-20,10290,10290,10290,10290,400,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-21,10290,10290,10290,10290,0,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-22,10290,10290,10290,10290,0,BAX,0.0,10790.179126965424,9561.820873034576
2017-09-25,10030,10030,10030,10030,100,BAX,-0.02526724975704564,10777.982926592284,9548.017073407716
2017-09-26,10030,10030,10030,10030,0,BAX,0.0,10764.68691217563,9535.31308782437
2017-09-27,10030,10030,10030,10030,0,BAX,0.0,10759.19684610837,9525.80315389163
2017-09-28,10030,10030,10030,10030,0,BAX,0.0,10651.272261567712,9710.727738432288
2017-09-29,10030,10030,10030,10030,0,BAX,0.0,10443.417395483266,9995.582604516734
2017-10-02,10800,10800,10800,10800,100,BAX,0.07676969092721841,10587.21798288777,9913.78201711223
2017-10-03,11320,11320,11320,11320,100,BAX,0.04814814814814805,10877.52063386121,9726.47936613879
2017-10-04,11320,11320,11320,11320,0,BAX,0.0,11080.033550498536,9626.966449501464
2017-10-05,11320,11320,11320,11320,0,BAX,0.0,11243.60598614606,9566.39401385394
2017-10-06,11320,11320,11320,11320,0,BAX,0.0,11382.486500981524,9530.513499018476
2017-10-09,11320,11320,11320,11320,0,BAX,0.0,11503.200482314998,9512.799517685002
2017-10-10,11320,11320,11320,11320,0,BAX,0.0,11609.34713172919,9509.65286827081
2017-10-11,11320,11320,11320,11320,0,BAX,0.0,11703.115378520055,9518.884621479945
2017-10-12,10290,10800,10290,10290,600,BAX,-0.0909893992932862,11703.115378520055,9518.884621479945
2017-10-13,10290,10290,10290,10290,4300,BAX,0.0,11703.115378520055,9518.884621479945
2017-10-16,11060,11060,11060,11060,400,BAX,0.0748299319727892,11747.907483587036,9551.092516412964
2017-10-17,11060,11060,11060,11060,0,BAX,0.0,11787.283402949395,9588.716597050605
2017-10-18,12090,12090,12090,12090,200,BAX,0.09312839059674505,12017.945160077656,9538.054839922344
2017-10-19,12090,12090,12090,12090,0,BAX,0.0,12210.275679583,9525.724320417
2017-10-20,12090,12090,12090,12090,0,BAX,0.0,12372.617969629962,9543.382030370038
2017-10-23,12090,12090,12090,12090,0,BAX,0.0,12490.250153052291,9631.749846947709
2017-10-24,12090,12090,12090,12090,0,BAX,0.0,12578.035360236792,9749.964639763208
2017-10-25,12090,12090,12090,12090,0,BAX,0.0,12634.978069999659,9899.021930000341
2017-10-26,11060,11060,11060,11060,300,BAX,-0.08519437551695619,12568.816359966546,10068.183640033454
