Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,73930,74380,70870,74380,330,BBC,0.0,0.0,0.0
2016-09-05,74380,74380,74380,74380,0,BBC,0.0,0.0,0.0
2016-09-06,69990,73930,69990,73930,310,BBC,-0.0060500134444743114,0.0,0.0
2016-09-07,73930,73930,73930,73930,220,BBC,0.0,0.0,0.0
2016-09-08,71750,74380,71750,71750,540,BBC,-0.02948735290139326,0.0,0.0
2016-09-09,74380,74380,73500,73500,150,BBC,0.024390243902439046,0.0,0.0
2016-09-12,73500,73500,73500,73500,20,BBC,0.0,0.0,0.0
2016-09-13,73930,74380,68680,74380,390,BBC,0.011972789115646254,0.0,0.0
2016-09-14,69300,73930,69200,69200,1230,BBC,-0.06964237698305997,0.0,0.0
2016-09-15,73500,73500,73500,73500,30,BBC,0.06213872832369938,0.0,0.0
2016-09-16,73500,73500,73500,73500,50,BBC,0.0,0.0,0.0
2016-09-19,73500,74380,73410,74380,1540,BBC,0.011972789115646254,0.0,0.0
2016-09-20,69990,73500,69200,70870,870,BBC,-0.047190104866899674,0.0,0.0
2016-09-21,70870,73930,69990,69990,5170,BBC,-0.0124171017355722,0.0,0.0
2016-09-22,73500,73500,69990,73060,8680,BBC,0.043863409058436886,0.0,0.0
2016-09-23,74380,74380,74030,74030,130,BBC,0.013276758828360213,0.0,0.0
2016-09-26,74380,74380,73500,74380,160,BBC,0.004727813048764018,0.0,0.0
2016-09-27,73500,73500,73500,73500,10,BBC,-0.011831137402527614,0.0,0.0
2016-09-28,69130,72620,69130,72180,520,BBC,-0.01795918367346938,0.0,0.0
2016-09-29,72460,72460,72460,72460,80,BBC,0.00387919091160982,0.0,0.0
2016-09-30,72270,72270,69990,72100,410,BBC,-0.0049682583494341515,75856.04709859757,69995.95290140243
2016-10-03,72100,72100,72100,72100,0,BBC,0.0,75683.72839941384,69940.27160058616
2016-10-04,69990,71920,69990,71920,90,BBC,-0.0024965325936199267,75560.28412660559,69862.71587339441
2016-10-05,71920,72620,71750,72100,10040,BBC,0.0025027808676307828,75423.55488621144,69816.44511378856
2016-10-06,72100,72270,72100,72270,5580,BBC,0.002357836338418906,75426.34817963507,69865.65182036493
2016-10-07,71750,72620,71750,72620,320,BBC,0.004842950048429495,75354.61039742279,69849.38960257721
2016-10-10,72620,72620,71830,72620,120,BBC,0.0,75279.74649811476,69836.25350188524
2016-10-11,72620,72620,72620,72620,550,BBC,0.0,75061.09243370437,69878.90756629563
2016-10-12,71750,72620,70870,72620,1710,BBC,0.0,74753.5141419645,70528.4858580355
2016-10-13,69990,72620,69990,72620,170,BBC,0.0,74672.44790346565,70521.55209653435
2016-10-14,70870,72800,70870,72620,5400,BBC,0.0,74586.90363586872,70519.09636413128
2016-10-17,72620,72620,69990,72620,380,BBC,0.0,74319.48105948807,70610.51894051193
2016-10-18,71750,72620,71750,72620,5090,BBC,0.0,74256.75203535159,70848.24796464841
2016-10-19,72180,72620,71750,72620,3740,BBC,0.0,73918.07293139426,71449.92706860574
2016-10-20,71750,72530,71750,72530,420,BBC,-0.0012393280088129899,73880.85399619244,71434.14600380756
2016-10-21,73500,73500,72180,73060,3880,BBC,0.007307321108506848,73678.03507893802,71539.96492106198
2016-10-24,73060,78130,73060,74810,2040,BBC,0.023952915411990183,73848.11200716814,71412.88799283186
2016-10-25,77000,77000,74810,77000,100,BBC,0.029274161208394656,75047.68174999263,70563.31825000737
2016-10-26,77000,78750,77000,77000,240,BBC,0.0,75916.26845755891,70176.73154244109
2016-10-27,77000,77000,76120,76120,120,BBC,-0.011428571428571455,76379.43634856325,70079.56365143675
2016-10-28,76120,76120,76120,76120,50,BBC,0.0,76773.60319912503,70087.39680087497
2016-10-31,76120,76120,73500,76120,540,BBC,0.0,77111.06477163453,70151.93522836547
2016-11-01,76120,76120,76120,76120,950,BBC,0.0,77388.84421786215,70294.15578213785
2016-11-02,76120,76120,76120,76120,10,BBC,0.0,77627.71896123515,70457.28103876485
2016-11-03,71140,74380,71140,74380,260,BBC,-0.02285864424592743,77641.38002513326,70654.61997486674
2016-11-04,75240,75240,75240,75240,30,BBC,0.011562247916106383,77729.5935721264,70828.4064278736
2016-11-07,75240,75690,72620,75690,420,BBC,0.005980861244019087,77847.1851977891,71017.8148022109
2016-11-08,75690,75690,75690,75690,60,BBC,0.0,77936.38147081791,71235.61852918209
2016-11-09,75690,75690,75690,75690,70,BBC,0.0,77995.50046068794,71483.49953931206
2016-11-10,72620,80940,72530,80940,9160,BBC,0.06936187078874356,79242.07546118998,71068.92453881002
2016-11-11,75340,77870,75340,77350,920,BBC,-0.04435384235235973,79411.17703018914,71372.82296981086
2016-11-14,75430,78750,75340,78750,360,BBC,0.018099547511312153,79760.08232712327,71636.91767287673
2016-11-15,73320,78750,73320,78750,250,BBC,0.0,80015.93255989178,71994.06744010822
2016-11-16,73240,78570,73240,77000,720,BBC,-0.022222222222222254,79939.11722560675,72508.88277439325
2016-11-17,77000,78660,72620,73060,1130,BBC,-0.0511688311688312,79866.06897320463,72634.93102679537
2016-11-18,78130,78130,77870,77870,200,BBC,0.06583629893238441,79856.95840734849,73125.04159265151
2016-11-21,72620,77350,72620,77350,560,BBC,-0.006677796327211993,79911.56706323099,73324.43293676901
2016-11-22,78660,78660,75240,78230,690,BBC,0.011376858435681925,80044.46344705258,73314.53655294742
2016-11-23,78230,78750,73500,78130,1970,BBC,-0.0012782819890068131,80158.05435374718,73313.94564625282
2016-11-24,78130,78130,78130,78130,60,BBC,0.0,80298.11970759355,73374.88029240645
2016-11-25,73500,78570,73500,78310,3990,BBC,0.0023038525534366805,80448.34435771241,73443.65564228759
2016-11-28,78570,78570,74030,76910,1090,BBC,-0.01787766568765159,80467.45045915361,73503.54954084639
2016-11-29,78050,78490,77710,78490,1800,BBC,0.020543492393706897,80621.20002274537,73586.79997725463
2016-11-30,75240,78310,73500,78310,2620,BBC,-0.002293285768887765,80737.69792293226,73689.30207706774
2016-12-01,73670,77000,73670,77000,690,BBC,-0.0167283871791597,80623.93577464174,74065.06422535826
2016-12-02,72880,72880,72880,72880,290,BBC,-0.0535064935064935,80941.27738229359,73511.72261770641
2016-12-05,77710,77710,73770,75240,1760,BBC,0.03238199780461026,80960.94237379282,73447.05762620718
2016-12-06,77000,77000,72980,72980,140,BBC,-0.03003721424774053,81209.89722798961,72927.10277201039
2016-12-07,76560,76560,71310,71310,640,BBC,-0.0228829816388052,81667.31475359939,72031.68524640061
2016-12-08,75240,75240,69990,75160,410,BBC,0.05398962277380459,81043.99183115124,72077.00816884876
2016-12-09,73500,74380,73500,74380,70,BBC,-0.010377860564129815,80977.05684521014,71846.94315478986
