Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2018-06-12,2419,2419,2419,2419,300,BBT,0.0,0.0,0.0
2018-06-13,2721,2721,2721,2721,300,BBT,0.12484497726333199,0.0,0.0
2018-06-14,3099,3099,3099,3099,130,BBT,0.1389195148842337,0.0,0.0
2018-06-15,3552,3552,3552,3552,1800,BBT,0.14617618586640857,0.0,0.0
2018-06-18,4082,4082,4082,4082,26400,BBT,0.14921171171171177,0.0,0.0
2018-06-19,4686,4686,4686,4686,1900,BBT,0.14796668299853022,0.0,0.0
2018-06-20,5367,5367,5367,5367,4400,BBT,0.14532650448143403,0.0,0.0
2018-06-21,6123,6123,6123,6123,74620,BBT,0.14086081609837908,0.0,0.0
2018-06-22,7030,7030,7030,7030,23550,BBT,0.14813000163318635,0.0,0.0
2018-06-25,8013,8013,7181,8013,497300,BBT,0.13982930298719776,0.0,0.0
2018-06-26,9071,9071,8466,9071,147610,BBT,0.1320354424060901,0.0,0.0
2018-06-27,10280,10280,10280,10280,45830,BBT,0.13328188733325974,0.0,0.0
2018-06-28,11792,11792,11792,11792,60300,BBT,0.14708171206225673,0.0,0.0
2018-06-29,13531,13531,11566,11868,208123,BBT,0.006445047489823663,0.0,0.0
2018-07-02,11717,11717,10734,10734,185725,BBT,-0.09555106167846306,0.0,0.0
2018-07-03,10734,10734,9676,9902,78825,BBT,-0.07751071362027206,0.0,0.0
2018-07-04,9827,10054,9071,9902,165965,BBT,0.0,0.0,0.0
2018-07-05,9071,9827,9071,9525,100720,BBT,-0.03807311654211265,0.0,0.0
2018-07-06,9827,10658,9827,10658,17720,BBT,0.11895013123359588,0.0,0.0
2018-07-09,10810,10961,10583,10658,28785,BBT,0.0,0.0,0.0
2018-07-10,10961,11944,10583,10583,225252,BBT,-0.007036967536123151,14030.767941553462,1933.8320584465373
2018-07-11,11036,11188,10583,10583,30950,BBT,0.0,14012.981623355885,2737.8183766441143
2018-07-12,10810,10810,9222,10280,58830,BBT,-0.028630823018047757,13874.88575876598,3594.01424123402
2018-07-13,10205,11490,9978,11490,69480,BBT,0.11770428015564205,13815.473707802772,4447.22629219723
2018-07-16,10961,11490,10961,11263,60450,BBT,-0.01975630983463883,13641.899314705468,5338.900685294532
2018-07-17,11263,12095,11263,12095,23270,BBT,0.07387019444197818,13525.048426668507,6196.651573331494
2018-07-18,11490,11717,11414,11717,17880,BBT,-0.03125258371227779,13288.534256599592,7068.165743400408
2018-07-19,11414,12473,11414,12095,64515,BBT,0.03226081761543065,13077.36054258745,7876.539457412551
2018-07-20,11792,12019,11566,11868,10068,BBT,-0.018768085985944594,12849.29213955694,8588.407860443062
2018-07-23,11566,11717,11263,11339,42922,BBT,-0.04457364341085268,12628.92559049321,9141.374409506789
2018-07-24,11339,11339,11339,11339,7675,BBT,0.0,12538.771734037,9458.328265962999
2018-07-25,11339,12473,11339,12473,44485,BBT,0.10000881911985182,12737.840524778378,9478.559475221624
2018-07-26,11944,12095,11944,12095,20450,BBT,-0.030305459793153244,12783.48508787687,9463.21491212313
2018-07-27,12095,12473,12019,12095,24920,BBT,0.0,12817.986440270919,9451.413559729082
2018-07-30,12095,12473,11717,12095,60520,BBT,0.0,12925.321667594686,9480.178332405314
2018-07-31,12095,12170,11717,12170,50610,BBT,0.0062009094667216935,12978.840383083974,9653.459616916025
2018-08-01,12095,12473,12019,12473,35500,BBT,0.02489728841413319,13046.616115157076,9842.783884842926
2018-08-02,12170,12473,12170,12170,50000,BBT,-0.0242924717389561,12942.357408065422,10211.54259193458
2018-08-03,12095,12246,12095,12246,5400,BBT,0.006244864420706708,12982.906335026872,10329.79366497313
2018-08-06,12095,12926,11566,12926,51713,BBT,0.05552833578311289,13123.033100463434,10416.466899536566
2018-08-07,12246,12322,12246,12246,14500,BBT,-0.052607148383103874,13104.861325281225,10600.938674718775
2018-08-08,12246,13229,12246,12322,45820,BBT,0.0062061081169362264,13061.744696484442,10817.955303515559
2018-08-09,12246,12246,12246,12246,1301,BBT,-0.006167829897743893,12867.439641801895,11208.860358198104
2018-08-10,12246,13229,12246,13229,13510,BBT,0.08027110893352929,13063.72194732486,11186.47805267514
2018-08-13,12775,12775,12095,12775,18700,BBT,-0.03431854259581224,13091.755800721769,11309.644199278233
2018-08-14,12170,13304,12170,12700,68373,BBT,-0.005870841487279899,13146.34378957906,11315.556210420942
2018-08-15,12926,13229,12851,13229,26260,BBT,0.041653543307086593,13287.098922797788,11326.00107720221
2018-08-16,13002,14892,12851,14892,57200,BBT,0.12570867034545308,13933.411687916372,10959.388312083627
2018-08-17,14363,14363,12851,13607,71720,BBT,-0.08628793983346761,14077.193162371068,10989.506837628933
2018-08-20,12851,12926,12851,12851,48140,BBT,-0.05555963842140077,14056.525970372504,11161.374029627497
2018-08-21,12095,12473,12095,12473,17050,BBT,-0.029414053381059846,13993.715702440919,11337.58429755908
2018-08-22,12170,12246,12170,12246,1860,BBT,-0.018199310510703115,13992.5980385549,11316.0019614451
2018-08-23,12246,12473,12246,12246,15000,BBT,0.0,13989.0998295347,11334.6001704653
2018-08-24,12397,12397,12095,12095,7020,BBT,-0.012330556916544166,13989.0998295347,11334.6001704653
2018-08-27,11414,11414,10583,11339,10800,BBT,-0.06250516742455559,14052.895474500267,11195.204525499732
2018-08-28,10961,10961,10810,10961,4420,BBT,-0.03333627303995057,14156.991778565429,10970.208221434572
2018-08-29,10810,10961,10810,10961,4410,BBT,0.0,14228.132063953739,10747.867936046261
2018-08-30,10961,11036,10961,10961,5309,BBT,0.0,14287.540266103535,10567.559733896464
2018-08-31,10961,11339,10658,11339,1950,BBT,0.03448590457075085,14300.984365164546,10463.415634835455
2018-09-04,11036,11112,11036,11112,2550,BBT,-0.02001940206367403,14269.470019995226,10313.529980004774
2018-09-05,11263,11414,11263,11339,10283,BBT,0.020428365730741582,14267.33185970484,10224.96814029516
2018-09-06,11339,11717,11339,11490,6921,BBT,0.01331687097627654,14251.854518140844,10157.245481859154
2018-09-07,11339,11641,11339,11339,46600,BBT,-0.01314186248912097,14240.718926169042,10077.68107383096
2018-09-10,11339,11490,9827,9902,2000,BBT,-0.12673075227092334,14231.628173468718,9754.071826531283
2018-09-11,10658,11263,9902,9902,1200,BBT,0.0,14232.803456953345,9465.596543046657
2018-09-12,10356,11188,10356,10356,8205,BBT,0.04584932336901626,14166.703103049722,9297.296896950278
2018-09-13,11339,12246,10885,11339,6850,BBT,0.09492081884897652,13977.317556990276,9297.682443009724
2018-09-14,12019,12019,12019,12019,0,BBT,0.05997001499250376,13311.254553202163,9676.445446797838
2018-09-17,12246,12397,10885,11036,13240,BBT,-0.08178717031367,12909.872316209232,9820.727683790767
2018-09-18,10961,12548,10885,10961,15100,BBT,-0.00679594055817323,12664.074359198488,9877.52564080151
2018-09-19,10961,12775,10810,10961,14430,BBT,0.0,12479.135450090838,9911.264549909163
2018-09-20,11112,12775,11112,12775,300,BBT,0.16549584891889424,12608.736626710805,9834.563373289195
2018-09-21,10885,12397,10885,11641,20090,BBT,-0.08876712328767122,12512.634786099716,9870.165213900284
2018-09-24,10961,12095,10961,11717,96900,BBT,0.00652864874151704,12451.634472993346,9893.365527006654
2018-09-25,11717,11717,11339,11339,700,BBT,-0.03226081761543054,12451.634472993346,9893.365527006654
2018-09-26,11641,11641,11641,11641,1140,BBT,0.02663374195255308,12497.434932519824,9915.565067480176
2018-09-27,11414,11641,11339,11641,4402,BBT,0.0,12539.57390090016,9941.42609909984
2018-09-28,11641,13229,11414,11717,69180,BBT,0.00652864874151704,12586.605789943604,9969.994210056395
