Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2021-09-16,15400,15400,15400,15400,1800,BCA,0.0,0.0,0.0
2021-09-17,17700,17700,17700,17700,114900,BCA,0.14935064935064934,0.0,0.0
2021-09-20,20300,20300,18800,18900,658100,BCA,0.06779661016949157,0.0,0.0
2021-09-21,19300,20400,18500,18600,760800,BCA,-0.015873015873015928,0.0,0.0
2021-09-22,18000,18000,16800,16800,350800,BCA,-0.09677419354838712,0.0,0.0
2021-09-23,16800,16800,15200,15400,104100,BCA,-0.08333333333333337,0.0,0.0
2021-09-24,15700,15700,14700,15100,72900,BCA,-0.01948051948051943,0.0,0.0
2021-09-27,15100,15600,15000,15500,291900,BCA,0.026490066225165476,0.0,0.0
2021-09-28,15500,15700,15500,15600,189300,BCA,0.006451612903225712,0.0,0.0
2021-09-29,15700,16000,15500,15900,199200,BCA,0.019230769230769162,0.0,0.0
2021-09-30,15900,16000,15600,15700,57000,BCA,-0.012578616352201255,0.0,0.0
2021-10-01,15800,15800,15400,15500,168600,BCA,-0.01273885350318471,0.0,0.0
2021-10-04,15400,15400,15000,15100,141000,BCA,-0.02580645161290318,0.0,0.0
2021-10-05,15000,15400,15000,15200,322500,BCA,0.0066225165562914245,0.0,0.0
2021-10-06,15000,15400,15000,15300,172000,BCA,0.006578947368421018,0.0,0.0
2021-10-07,15300,15500,15200,15400,155900,BCA,0.006535947712418277,0.0,0.0
2021-10-08,15400,15400,15000,15100,91600,BCA,-0.01948051948051943,0.0,0.0
2021-10-11,15200,15200,15000,15000,347800,BCA,-0.0066225165562914245,0.0,0.0
2021-10-12,15100,15100,14700,15000,201200,BCA,0.0,0.0,0.0
2021-10-13,17000,17000,14900,15100,172200,BCA,0.006666666666666599,0.0,0.0
2021-10-14,15100,15200,15000,15100,113000,BCA,0.0,18169.913791501745,13530.086208498255
2021-10-15,15100,15300,15000,15000,172300,BCA,-0.0066225165562914245,17898.826916218408,13531.173083781592
2021-10-18,15200,15200,14900,15000,90400,BCA,0.0,17160.243884305015,13879.756115694985
2021-10-19,15100,15200,15000,15000,99700,BCA,0.0,16187.1127433819,14492.8872566181
2021-10-20,15100,15100,15000,15000,116400,BCA,0.0,15781.03672189408,14718.96327810592
2021-10-21,15100,15100,14700,15000,94800,BCA,0.0,15767.028863283911,14692.971136716089
2021-10-22,15000,15300,15000,15200,106800,BCA,0.01333333333333342,15768.947562968508,14701.052437031492
2021-10-25,15200,15500,14900,15100,494900,BCA,-0.006578947368421018,15737.589705218166,14692.410294781834
2021-10-26,15200,15300,15000,15100,319400,BCA,0.0,15683.558507170132,14696.441492829868
2021-10-27,15100,15200,14900,15000,287500,BCA,-0.0066225165562914245,15521.69616403676,14768.30383596324
2021-10-28,15000,15100,14800,14900,265500,BCA,-0.00666666666666671,15398.087017795075,14811.912982204925
2021-10-29,15000,15000,14600,14700,280400,BCA,-0.01342281879194629,15349.780617317983,14780.219382682017
2021-11-01,14700,14900,14700,14800,437200,BCA,0.006802721088435382,15356.594194335137,14743.405805664863
2021-11-02,14800,14800,14300,14400,404700,BCA,-0.027027027027026973,15419.38978980919,14600.61021019081
2021-11-03,14400,14400,14100,14400,298000,BCA,0.0,15430.939910288884,14499.060089711116
2021-11-04,14300,14500,14300,14400,294200,BCA,0.0,15397.804308182947,14432.195691817053
2021-11-05,14500,14700,14500,14600,246700,BCA,0.01388888888888884,15383.558507170137,14396.441492829863
2021-11-08,14600,14700,14500,14600,430200,BCA,0.0,15376.3595560469,14363.6404439531
2021-11-09,14600,15100,14600,14900,582300,BCA,0.020547945205479534,15368.090449124225,14361.909550875775
2021-11-10,15000,15100,14600,14800,347900,BCA,-0.006711409395973145,15341.934955049968,14358.065044950032
2021-11-11,14600,14800,14200,14500,455300,BCA,-0.020270270270270285,15320.399840127888,14319.600159872112
2021-11-12,14400,14600,14200,14400,505200,BCA,-0.006896551724137945,15314.976189936282,14265.023810063718
2021-11-15,14400,14500,14300,14500,307300,BCA,0.00694444444444442,15295.188645672477,14234.811354327523
2021-11-16,14300,14700,14300,14600,548200,BCA,0.006896551724137945,15268.354564325196,14221.645435674804
2021-11-17,14000,14700,14000,14600,358500,BCA,0.0,15238.32251070844,14211.67748929156
2021-11-18,14500,14600,14200,14400,508300,BCA,-0.013698630136986356,15210.654923374166,14179.345076625834
2021-11-19,14400,14500,13900,14000,323300,BCA,-0.02777777777777779,15180.068802996482,14089.931197003518
2021-11-22,14200,14300,13400,13600,490000,BCA,-0.02857142857142858,15227.532770731159,13892.467229268841
2021-11-23,13500,13600,13000,13100,367900,BCA,-0.03676470588235292,15339.545337091853,13580.454662908147
2021-11-24,13000,13400,12900,13100,324600,BCA,0.0,15389.255827418141,13340.744172581859
2021-11-25,13100,13300,13100,13200,377400,BCA,0.007633587786259444,15391.035552986503,13168.964447013497
2021-11-26,13200,13300,12900,13200,393100,BCA,0.0,15392.392100361134,13017.607899638866
2021-11-29,13100,13200,12800,12800,421600,BCA,-0.030303030303030276,15406.499135612477,12803.500864387523
2021-11-30,12800,13100,12600,12600,324300,BCA,-0.015625,15463.136733875646,12566.863266124354
