Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2018-10-29,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-10-30,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-10-31,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-01,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-02,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-05,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-06,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-07,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-08,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-09,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-12,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-13,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-14,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-15,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-16,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-19,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-20,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-21,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-22,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-23,440,440,440,440,0,BCB,0.0,0.0,0.0
2018-11-26,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-11-27,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-11-28,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-11-29,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-11-30,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-03,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-04,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-05,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-06,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-07,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-10,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-12,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-13,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-14,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-17,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-19,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-20,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-21,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-24,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-25,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-26,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-27,440,440,440,440,0,BCB,0.0,440.0,440.0
2018-12-28,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-02,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-03,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-04,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-07,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-08,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-09,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-10,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-14,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-15,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-16,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-17,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-21,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-22,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-23,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-24,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-25,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-28,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-29,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-30,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-01-31,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-01,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-12,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-13,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-14,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-15,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-19,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-20,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-21,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-22,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-25,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-26,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-27,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-02-28,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-01,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-04,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-05,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-06,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-07,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-08,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-12,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-13,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-14,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-15,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-19,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-20,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-21,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-22,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-25,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-26,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-27,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-28,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-03-29,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-01,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-02,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-03,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-04,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-05,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-08,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-09,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-10,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-12,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-16,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-17,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-19,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-22,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-23,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-24,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-25,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-04-26,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-02,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-03,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-06,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-07,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-08,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-09,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-10,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-13,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-14,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-15,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-16,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-17,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-20,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-21,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-22,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-23,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-24,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-27,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-28,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-29,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-30,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-05-31,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-03,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-04,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-05,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-06,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-07,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-10,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-12,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-13,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-14,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-17,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-19,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-20,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-21,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-24,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-25,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-26,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-27,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-06-28,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-01,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-02,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-03,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-04,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-05,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-08,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-09,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-10,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-12,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-15,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-16,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-17,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-19,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-22,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-23,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-24,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-25,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-26,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-29,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-30,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-07-31,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-01,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-02,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-05,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-06,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-07,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-08,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-09,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-12,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-13,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-14,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-15,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-16,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-19,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-20,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-21,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-22,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-23,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-26,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-27,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-28,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-29,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-08-30,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-03,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-04,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-05,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-06,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-09,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-10,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-12,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-13,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-16,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-17,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-19,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-20,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-23,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-24,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-25,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-26,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-27,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-09-30,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-01,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-02,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-03,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-04,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-07,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-08,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-09,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-10,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-14,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-15,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-16,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-17,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-21,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-22,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-23,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-24,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-25,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-28,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-29,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-30,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-10-31,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-01,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-04,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-05,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-06,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-07,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-08,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-11,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-12,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-13,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-14,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-15,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-18,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-19,440,440,440,440,0,BCB,0.0,440.0,440.0
2019-11-20,440,440,440,440,0,BCB,0.0,440.0,440.0
