Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,11330,11330,11080,11140,202700,BCC,0.0,0.0,0.0
2016-09-05,11080,11140,11010,11010,110140,BCC,-0.011669658886894085,0.0,0.0
2016-09-06,10950,11080,10890,10950,288550,BCC,-0.00544959128065392,0.0,0.0
2016-09-07,10950,11650,10820,11400,775388,BCC,0.041095890410958846,0.0,0.0
2016-09-08,11400,12220,11400,12220,1100870,BCC,0.07192982456140351,0.0,0.0
2016-09-09,12290,12350,11710,11900,411755,BCC,-0.026186579378068786,0.0,0.0
2016-09-12,11780,12350,11780,11900,514270,BCC,0.0,0.0,0.0
2016-09-13,11900,12100,11650,11900,453365,BCC,0.0,0.0,0.0
2016-09-14,11840,12350,11840,12160,653603,BCC,0.02184873949579824,0.0,0.0
2016-09-15,12350,12350,12030,12100,228653,BCC,-0.004934210526315819,0.0,0.0
2016-09-16,12100,12220,12030,12100,394000,BCC,0.0,0.0,0.0
2016-09-19,12100,12290,11970,11970,357218,BCC,-0.01074380165289257,0.0,0.0
2016-09-20,11970,12100,11650,12100,398615,BCC,0.010860484544695126,0.0,0.0
2016-09-21,12160,12800,12030,12160,967555,BCC,0.0049586776859504855,0.0,0.0
2016-09-22,12160,12410,12160,12160,333450,BCC,0.0,0.0,0.0
2016-09-23,12160,12160,12030,12160,246665,BCC,0.0,0.0,0.0
2016-09-26,12160,12350,12100,12350,342315,BCC,0.015625,0.0,0.0
2016-09-27,12290,12410,11900,12100,619395,BCC,-0.020242914979757054,0.0,0.0
2016-09-28,12100,12100,11970,12030,384270,BCC,-0.005785123966942196,0.0,0.0
2016-09-29,12030,12220,11970,12030,483674,BCC,0.0,0.0,0.0
2016-09-30,12030,12030,11710,11900,431110,BCC,-0.010806317539484578,12664.928567957457,11195.071432042543
2016-10-03,11970,12220,11900,12030,180515,BCC,0.01092436974789912,12583.026577486407,11378.973422513593
2016-10-04,12030,12100,11650,11650,534154,BCC,-0.03158769742310885,12424.480109674874,11607.519890325126
2016-10-05,11650,11840,11590,11590,172370,BCC,-0.0051502145922747156,12381.728859021834,11669.271140978166
2016-10-06,11710,11840,11590,11780,278720,BCC,0.016393442622950838,12363.292996040776,11643.707003959224
2016-10-07,11780,11780,11400,11590,322850,BCC,-0.016129032258064502,12388.679422980515,11587.320577019485
2016-10-10,11710,11780,11590,11710,169559,BCC,0.010353753235547991,12395.742135935476,11561.257864064524
