Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2020-03-16,14830,14830,14830,14830,0,BCF,0.0,0.0,0.0
2020-03-17,14830,14830,14830,14830,0,BCF,0.0,0.0,0.0
2020-03-18,19240,19240,19240,19240,100,BCF,0.2973701955495618,0.0,0.0
2020-03-19,19240,19240,19240,19240,0,BCF,0.0,0.0,0.0
2020-03-20,21130,21130,21130,21130,100,BCF,0.09823284823284828,0.0,0.0
2020-03-23,23240,23240,23240,23240,100,BCF,0.09985802176999536,0.0,0.0
2020-03-24,23240,23240,23240,23240,5,BCF,0.0,0.0,0.0
2020-03-25,23240,23240,23240,23240,0,BCF,0.0,0.0,0.0
2020-03-26,24130,24130,24130,24130,100,BCF,0.0382960413080895,0.0,0.0
2020-03-27,24130,24130,24130,24130,0,BCF,0.0,0.0,0.0
2020-03-30,24130,24130,24130,24130,0,BCF,0.0,0.0,0.0
2020-03-31,24130,24130,24130,24130,0,BCF,0.0,0.0,0.0
2020-04-01,24130,24130,24130,24130,0,BCF,0.0,0.0,0.0
2020-04-03,24130,24130,24130,24130,0,BCF,0.0,0.0,0.0
2020-04-06,24130,24130,24130,24130,0,BCF,0.0,0.0,0.0
2020-04-07,25430,25430,25430,25430,100,BCF,0.05387484459179448,0.0,0.0
2020-04-08,25430,25430,25430,25430,100,BCF,0.0,0.0,0.0
2020-04-09,24980,25430,24130,24130,2800,BCF,-0.05112072355485642,0.0,0.0
2020-04-10,24130,24130,24130,24130,0,BCF,0.0,0.0,0.0
2020-04-13,24130,24130,24130,24130,0,BCF,0.0,0.0,0.0
2020-04-14,24130,24130,24130,24130,0,BCF,0.0,28013.27899731094,18031.72100268906
2020-04-15,24130,24130,24130,24130,0,BCF,0.0,26783.69098354449,20191.30901645551
2020-04-16,24130,24130,24130,24130,200,BCF,0.0,26396.59452825378,21067.40547174622
2020-04-17,24130,24130,24130,24130,0,BCF,0.0,25666.769505138156,22286.230494861844
2020-04-20,24130,24550,24130,24130,1500,BCF,0.0,25199.445012570537,23053.554987429463
