Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,3070,3170,3070,3130,394540,BCG,0.0,0.0,0.0
2016-09-05,3070,3130,3020,3130,442390,BCG,0.0,0.0,0.0
2016-09-06,3130,3130,3070,3130,292190,BCG,0.0,0.0,0.0
2016-09-07,3130,3170,3070,3170,407780,BCG,0.012779552715654896,0.0,0.0
2016-09-08,3130,3170,3070,3130,312610,BCG,-0.012618296529968487,0.0,0.0
2016-09-09,3070,3130,3070,3130,273030,BCG,0.0,0.0,0.0
2016-09-12,3070,3110,3030,3070,87380,BCG,-0.019169329073482455,0.0,0.0
2016-09-13,3070,3070,3030,3060,80820,BCG,-0.0032573289902280145,0.0,0.0
2016-09-14,3020,3020,2870,2970,447340,BCG,-0.02941176470588236,0.0,0.0
2016-09-15,2860,2970,2780,2970,654260,BCG,0.0,0.0,0.0
2016-09-16,2960,2970,2870,2970,331680,BCG,0.0,0.0,0.0
2016-09-19,2970,2970,2950,2970,322790,BCG,0.0,0.0,0.0
2016-09-20,2820,3070,2820,2980,475610,BCG,0.0033670033670034627,0.0,0.0
2016-09-21,2980,2980,2880,2980,242850,BCG,0.0,0.0,0.0
2016-09-22,2970,2970,2890,2970,524030,BCG,-0.003355704697986628,0.0,0.0
2016-09-23,2920,3020,2920,3020,472570,BCG,0.01683501683501687,0.0,0.0
2016-09-26,3020,3040,2970,3020,332180,BCG,0.0,0.0,0.0
2016-09-27,3020,3020,2870,2870,270800,BCG,-0.04966887417218546,0.0,0.0
2016-09-28,2860,2920,2850,2850,379770,BCG,-0.006968641114982632,0.0,0.0
2016-09-29,2890,2920,2850,2920,347190,BCG,0.024561403508772006,0.0,0.0
2016-09-30,2920,2920,2850,2850,277310,BCG,-0.023972602739726012,3196.743211798465,2819.256788201535
2016-10-03,2850,2910,2850,2910,338160,BCG,0.021052631578947434,3181.6185256143062,2812.3814743856938
2016-10-04,2910,2910,2860,2860,339240,BCG,-0.01718213058419249,3166.7239067370856,2800.2760932629144
2016-10-05,2860,2870,2820,2850,286870,BCG,-0.0034965034965035446,3138.2483528471075,2796.7516471528925
2016-10-06,2820,2930,2790,2920,261410,BCG,0.024561403508772006,3111.544491975613,2802.455508024387
2016-10-07,2920,2920,2820,2850,267430,BCG,-0.023972602739726012,3082.2982411949283,2803.7017588050717
2016-10-10,2860,2890,2840,2850,528810,BCG,0.0,3064.0000000000014,2799.9999999999986
2016-10-11,2850,2860,2760,2850,142520,BCG,0.0,3044.182517091884,2798.817482908116
2016-10-12,2800,2840,2720,2820,233780,BCG,-0.010526315789473717,3042.1249390243775,2785.8750609756225
2016-10-13,2810,2820,2760,2820,95760,BCG,0.0,3038.147255953174,2774.852744046826
2016-10-14,2820,3010,2820,3010,643550,BCG,0.06737588652482263,3045.068664048531,2771.931335951469
2016-10-17,3200,3220,3070,3220,987410,BCG,0.06976744186046502,3112.5097908724265,2729.4902091275735
2016-10-18,3250,3250,3140,3170,350310,BCG,-0.01552795031055898,3149.6323800810833,2711.3676199189167
2016-10-19,3140,3140,3010,3080,411310,BCG,-0.028391167192429068,3163.3135202309127,2707.6864797690873
2016-10-20,3000,3140,3000,3070,637890,BCG,-0.0032467532467532756,3175.402107270242,2705.597892729758
2016-10-21,3070,3080,3050,3050,602930,BCG,-0.006514657980456029,3179.284639199423,2704.715360800577
2016-10-24,3030,3050,2850,2940,202070,BCG,-0.0360655737704918,3172.5719505823326,2703.4280494176674
2016-10-25,2940,2980,2940,2940,219590,BCG,0.0,3173.9887094032747,2709.0112905967253
2016-10-26,2920,2940,2870,2940,99430,BCG,0.0,3174.683186963975,2717.316813036025
2016-10-27,2840,2940,2820,2910,232350,BCG,-0.010204081632653073,3174.451960026553,2716.548039973447
2016-10-28,2910,3060,2900,2910,241750,BCG,0.0,3173.9129543748545,2723.0870456251455
2016-10-31,2890,2920,2850,2860,184780,BCG,-0.01718213058419249,3174.157840101979,2717.842159898021
2016-11-01,2820,2920,2770,2890,590670,BCG,0.010489510489510412,3173.763121166487,2721.236878833513
2016-11-02,2860,2860,2820,2820,164500,BCG,-0.02422145328719727,3175.2073297257316,2716.7926702742684
2016-11-03,2850,2850,2760,2820,99780,BCG,0.0,3176.533437116687,2705.466562883313
2016-11-04,2820,2850,2740,2740,145300,BCG,-0.028368794326241176,3184.053817110099,2686.946182889901
2016-11-07,2750,2820,2750,2820,44430,BCG,0.029197080291970767,3184.9501942617308,2683.0498057382692
2016-11-08,2770,2810,2770,2780,66160,BCG,-0.014184397163120588,3187.9082360764714,2673.0917639235286
2016-11-09,2780,2780,2590,2720,206440,BCG,-0.021582733812949617,3194.9048997327263,2656.0951002672737
2016-11-10,2720,2770,2640,2690,51500,BCG,-0.011029411764705843,3204.0894596438116,2633.9105403561884
2016-11-11,2690,2690,2560,2690,197210,BCG,0.0,3201.469428920284,2604.530571079716
2016-11-14,2730,2730,2600,2650,138950,BCG,-0.014869888475836479,3154.748104364687,2594.251895635313
2016-11-15,2680,2690,2570,2690,684410,BCG,0.015094339622641506,3106.5839706033953,2594.4160293966047
2016-11-16,2640,2720,2640,2720,366870,BCG,0.011152416356877248,3071.571119125671,2593.428880874329
2016-11-17,2660,2720,2660,2720,697160,BCG,0.0,3032.209576216153,2597.790423783847
2016-11-18,2700,2720,2660,2720,478240,BCG,0.0,2990.466142848162,2606.533857151838
2016-11-21,2720,2900,2720,2870,1384490,BCG,0.05514705882352944,2978.90214789393,2611.09785210607
2016-11-22,2890,2930,2870,2890,1104130,BCG,0.006968641114982521,2969.686342588815,2615.313657411185
2016-11-23,2890,2890,2850,2890,1235570,BCG,0.0,2960.058813355853,2619.941186644147
2016-11-24,2890,2890,2830,2850,1277340,BCG,-0.01384083044982698,2950.4747686953583,2623.5252313046417
2016-11-25,2820,2850,2660,2660,1554350,BCG,-0.06666666666666665,2936.669664240884,2612.330335759116
2016-11-28,2560,2660,2560,2650,955120,BCG,-0.003759398496240629,2929.819178625396,2598.180821374604
2016-11-29,2650,2820,2650,2760,1367720,BCG,0.04150943396226414,2912.9187890829194,2602.0812109170806
2016-11-30,2740,2850,2700,2820,2171140,BCG,0.021739130434782705,2912.9187890829194,2602.0812109170806
2016-12-01,2820,2860,2790,2850,2250040,BCG,0.010638297872340496,2917.354033734544,2600.645966265456
2016-12-02,2850,2890,2840,2890,1754060,BCG,0.01403508771929829,2934.461305067569,2598.538694932431
2016-12-05,2890,2890,2710,2850,1627060,BCG,-0.01384083044982698,2938.3643155123777,2597.6356844876223
2016-12-06,2820,2840,2730,2790,859430,BCG,-0.021052631578947323,2939.0608395851787,2597.9391604148213
2016-12-07,2790,2790,2650,2720,1077810,BCG,-0.02508960573476704,2939.0608395851787,2597.9391604148213
2016-12-08,2720,2720,2650,2690,954470,BCG,-0.011029411764705843,2939.0608395851787,2597.9391604148213
2016-12-09,2640,2780,2640,2700,724670,BCG,0.0037174721189590088,2938.6938419625208,2599.3061580374792
2016-12-12,2560,2660,2560,2560,1002080,BCG,-0.051851851851851816,2950.5618176843413,2578.4381823156587
2016-12-13,2560,2560,2540,2560,1102240,BCG,0.0,2962.2155723739033,2553.7844276260967
2016-12-14,2550,2610,2530,2580,914250,BCG,0.0078125,2969.0733821446374,2532.9266178553626
2016-12-15,2560,2580,2530,2560,823870,BCG,-0.007751937984496138,2976.2466505654497,2509.7533494345503
2016-12-16,2560,2560,2480,2480,767470,BCG,-0.03125,2990.9153708421286,2471.0846291578714
2016-12-19,2480,2640,2450,2640,1210360,BCG,0.06451612903225801,2974.0957580165095,2464.9042419834905
2016-12-20,2640,2640,2560,2640,923370,BCG,0.0,2951.221211200013,2462.778788799987
2016-12-21,2560,2800,2560,2760,1087040,BCG,0.045454545454545414,2931.4523760432035,2469.5476239567965
2016-12-22,2760,2790,2650,2780,941400,BCG,0.007246376811594235,2920.7945486378103,2473.2054513621897
2016-12-23,2660,2820,2660,2660,987690,BCG,-0.043165467625899234,2920.7945486378103,2473.2054513621897
2016-12-26,2660,2720,2480,2650,372870,BCG,-0.003759398496240629,2920.7945486378103,2473.2054513621897
2016-12-27,2580,2710,2560,2640,926580,BCG,-0.0037735849056603765,2914.1501736499467,2467.8498263500533
2016-12-28,2650,2650,2560,2640,1377510,BCG,0.0,2898.018517724757,2465.981482275243
2016-12-29,2630,2630,2540,2610,842970,BCG,-0.011363636363636354,2873.666393889619,2466.333606110381
2016-12-30,2560,2600,2560,2600,593780,BCG,-0.003831417624521105,2834.2148566851715,2476.7851433148285
2017-01-03,2590,2610,2550,2610,444410,BCG,0.0038461538461538325,2799.0988431833653,2487.9011568166347
2017-01-04,2610,2610,2510,2610,412840,BCG,0.0,2775.279970166219,2493.720029833781
2017-01-05,2600,2640,2560,2640,1218530,BCG,0.011494252873563315,2765.773796427843,2495.226203572157
2017-01-06,2640,2660,2600,2640,692840,BCG,0.0,2760.604675634012,2495.395324365988
2017-01-09,2620,2650,2620,2640,457810,BCG,0.0,2753.607931326188,2496.392068673812
2017-01-10,2640,2640,2610,2640,313720,BCG,0.0,2754.2038338071225,2503.7961661928775
2017-01-11,2610,2640,2570,2640,197510,BCG,0.0,2754.177555677615,2511.822444322385
2017-01-12,2560,2640,2560,2640,352220,BCG,0.0,2754.726576637253,2517.273423362747
2017-01-13,2640,2640,2560,2610,928990,BCG,-0.011363636363636354,2752.7409733852155,2524.2590266147845
2017-01-16,2550,2600,2550,2590,392510,BCG,-0.007662835249042099,2735.5204895091883,2552.4795104908117
2017-01-17,2590,2600,2550,2600,327500,BCG,0.0038610038610038533,2735.5093578204956,2548.4906421795044
2017-01-18,2600,2600,2520,2600,890210,BCG,0.0,2735.2890339965807,2544.7109660034193
2017-01-19,2510,2600,2510,2600,342570,BCG,0.0,2711.145435749647,2552.854564250353
2017-01-20,2540,2600,2540,2600,329650,BCG,0.0,2665.000000000018,2580.999999999982
2017-01-23,2600,2600,2560,2600,228830,BCG,0.0,2659.4968353162826,2580.5031646837174
2017-01-24,2560,2610,2560,2600,324980,BCG,0.0,2655.3813938497724,2579.6186061502276
2017-01-25,2600,2660,2560,2660,172750,BCG,0.023076923076922995,2659.6217703899233,2577.3782296100767
2017-02-02,2650,2660,2580,2660,338250,BCG,0.0,2663.5340777126257,2575.4659222873743
2017-02-03,2630,2650,2570,2610,247320,BCG,-0.018796992481203034,2663.5340777126257,2575.4659222873743
2017-02-06,2610,2610,2560,2610,229870,BCG,0.0,2663.3589667773754,2576.6410332226246
2017-02-07,2560,2610,2550,2560,323270,BCG,-0.019157088122605415,2668.0470078244157,2566.9529921755843
2017-02-08,2560,2560,2510,2560,498940,BCG,0.0,2671.3914887195006,2558.6085112804994
2017-02-09,2520,2560,2510,2540,741500,BCG,-0.0078125,2673.8748776906978,2546.1251223093022
2017-02-10,2550,2550,2500,2530,524270,BCG,-0.003937007874015741,2675.6266476083447,2533.3733523916553
2017-02-13,2510,2510,2460,2500,650180,BCG,-0.011857707509881465,2679.9317899842144,2515.0682100157856
2017-02-14,2470,2500,2450,2500,770400,BCG,0.0,2680.7164064901813,2500.2835935098187
2017-02-15,2490,2490,2450,2490,506890,BCG,-0.0040000000000000036,2680.180244906059,2485.819755093941
2017-02-16,2490,2490,2450,2490,486520,BCG,0.0,2676.983988884955,2474.016011115045
2017-02-17,2480,2560,2450,2560,1044070,BCG,0.028112449799196693,2673.419121685074,2472.580878314926
2017-02-20,2560,2560,2510,2560,410240,BCG,0.0,2671.7546757014443,2471.2453242985557
2017-02-21,2540,2560,2510,2560,644670,BCG,0.0,2668.9937183946895,2470.0062816053105
2017-02-22,2520,2560,2500,2560,1012880,BCG,0.0,2666.0646995632906,2468.9353004367094
2017-02-23,2560,2680,2540,2680,6449480,BCG,0.046875,2680.9120651482353,2462.0879348517647
2017-02-24,2710,2820,2610,2610,879330,BCG,-0.026119402985074647,2682.0181803158084,2461.9818196841916
2017-02-27,2610,2650,2580,2590,396330,BCG,-0.007662835249042099,2681.094707901439,2461.905292098561
2017-02-28,2590,2590,2530,2560,962100,BCG,-0.01158301158301156,2678.3990358084116,2460.6009641915884
2017-03-01,2520,2560,2510,2560,492660,BCG,0.0,2665.192601515711,2463.807398484289
2017-03-02,2560,2580,2530,2560,718550,BCG,0.0,2650.158700630451,2468.841299369549
2017-03-03,2530,2550,2530,2550,570290,BCG,-0.00390625,2644.198346620685,2468.801653379315
2017-03-06,2520,2560,2520,2560,868220,BCG,0.0039215686274509665,2638.2377587546216,2469.7622412453784
2017-03-07,2530,2560,2530,2560,1100070,BCG,0.0,2638.2377587546216,2469.7622412453784
2017-03-08,2560,2560,2540,2560,486930,BCG,0.0,2638.2377587546216,2469.7622412453784
2017-03-09,2550,2560,2510,2510,367500,BCG,-0.01953125,2638.7264460592096,2466.2735539407904
2017-03-10,2510,2540,2470,2470,235310,BCG,-0.015936254980079667,2642.553747909484,2456.446252090516
2017-03-13,2460,2520,2450,2450,442670,BCG,-0.0080971659919028,2647.6180898248513,2446.3819101751487
2017-03-14,2450,2520,2450,2480,687570,BCG,0.012244897959183598,2648.839681057468,2443.160318942532
2017-03-15,2500,2500,2480,2500,182580,BCG,0.008064516129032251,2648.338106816662,2444.661893183338
2017-03-16,2500,2500,2450,2490,529500,BCG,-0.0040000000000000036,2648.338106816662,2444.661893183338
2017-03-17,2490,2490,2450,2460,507540,BCG,-0.012048192771084376,2649.809741020842,2433.190258979158
2017-03-20,2450,2480,2450,2460,282470,BCG,0.0,2650.0385397123014,2422.9614602876986
2017-03-21,2460,2540,2450,2540,475190,BCG,0.03252032520325199,2648.5442391278825,2422.4557608721175
2017-03-22,2490,2550,2490,2530,548250,BCG,-0.003937007874015741,2646.49888888341,2421.50111111659
2017-03-23,2490,2530,2490,2490,374530,BCG,-0.015810276679841917,2616.2551088495998,2432.7448911504002
2017-03-24,2490,2560,2490,2560,791380,BCG,0.028112449799196693,2606.7584804016797,2437.2415195983203
2017-03-27,2540,2560,2450,2450,846220,BCG,-0.04296875,2599.261497731775,2430.738502268225
2017-03-28,2450,2520,2450,2510,463460,BCG,0.02448979591836742,2594.2006731918527,2430.7993268081473
2017-03-29,2490,2530,2480,2480,359550,BCG,-0.01195219123505975,2588.3185442112417,2428.6814557887583
2017-03-30,2480,2500,2470,2480,363100,BCG,0.0,2581.5649077077364,2427.4350922922636
2017-03-31,2480,2500,2450,2450,353390,BCG,-0.012096774193548376,2577.0822144566782,2421.9177855433218
2017-04-03,2450,2480,2450,2480,264390,BCG,0.012244897959183598,2568.2942305406273,2422.7057694593727
2017-04-04,2460,2480,2450,2460,300470,BCG,-0.008064516129032251,2558.4632253501995,2422.5367746498005
2017-04-05,2460,2470,2410,2450,679710,BCG,-0.004065040650406471,2547.1288982680526,2422.8711017319474
2017-04-07,2450,2480,2410,2450,346580,BCG,0.0,2544.8012738724465,2419.1987261275535
2017-04-10,2460,2470,2450,2460,314950,BCG,0.004081632653061273,2544.832456134292,2418.167543865708
2017-04-11,2480,2480,2450,2450,363880,BCG,-0.004065040650406471,2544.832456134292,2418.167543865708
2017-04-12,2450,2460,2430,2450,301700,BCG,0.0,2544.8074069840945,2415.1925930159055
2017-04-13,2450,2450,2440,2450,284030,BCG,0.0,2542.8834841531257,2412.1165158468743
2017-04-14,2450,2450,2380,2450,357220,BCG,0.0,2541.6740130262783,2409.3259869737217
2017-04-17,2450,2450,2380,2380,340840,BCG,-0.02857142857142858,2549.5448588953946,2393.4551411046054
2017-04-18,2410,2410,2300,2370,801230,BCG,-0.004201680672268893,2556.6883492991265,2377.3116507008735
2017-04-19,2380,2430,2340,2370,434960,BCG,0.0,2551.0796953980844,2365.9203046019156
2017-04-20,2370,2380,2350,2370,292280,BCG,0.0,2544.6222609163324,2356.3777390836676
2017-04-21,2370,2380,2360,2360,513530,BCG,-0.00421940928270037,2544.0799680255855,2343.9200319744145
2017-04-24,2360,2370,2350,2360,129520,BCG,0.0,2525.3016976841186,2342.6983023158814
2017-04-25,2380,2530,2370,2530,778410,BCG,0.07203389830508478,2538.3194896318864,2337.6805103681136
2017-04-26,2690,2690,2560,2660,1207930,BCG,0.05138339920948609,2582.097950204248,2308.902049795752
2017-04-27,2680,2800,2680,2790,1078750,BCG,0.048872180451127845,2663.967977769899,2258.032022230101
2017-04-28,2820,2980,2760,2960,985340,BCG,0.06093189964157708,2782.6911150840783,2187.3088849159217
2017-05-03,3110,3120,3030,3050,828330,BCG,0.030405405405405483,2900.512645706988,2129.487354293012
2017-05-04,3050,3050,2850,2970,928670,BCG,-0.02622950819672132,2972.372960578507,2106.627039421493
2017-05-05,2970,3170,2960,3170,1008290,BCG,0.06734006734006726,3085.4703713243325,2064.5296286756675
2017-05-08,3370,3390,3330,3390,454960,BCG,0.06940063091482651,3239.6277195851894,2004.3722804148106
2017-05-09,3610,3630,3390,3620,1750080,BCG,0.06784660766961648,3429.538717290369,1931.4612827096312
2017-05-10,3620,3660,3490,3490,941680,BCG,-0.035911602209944715,3551.6243041784455,1912.3756958215545
2017-05-11,3500,3610,3430,3510,621800,BCG,0.005730659025787954,3660.0428560933465,1909.9571439066535
2017-05-12,3440,3510,3380,3380,779270,BCG,-0.03703703703703709,3728.9469343643673,1934.0530656356327
2017-05-15,3480,3590,3480,3480,835440,BCG,0.029585798816567976,3804.848143676604,1961.151856323396
2017-05-16,3480,3480,3330,3340,752890,BCG,-0.04022988505747127,3847.366838189094,2007.6331618109061
2017-05-17,3340,3540,3310,3350,866970,BCG,0.0029940119760478723,3877.385600062482,2074.614399937518
2017-05-18,3380,3540,3340,3340,1001710,BCG,-0.0029850746268657025,3894.062533691511,2154.937466308489
2017-05-19,3340,3380,3270,3290,786660,BCG,-0.014970059880239472,3892.7523943412994,2248.2476056587006
2017-05-22,3470,3480,3350,3480,1041250,BCG,0.05775075987841949,3900.064596787632,2351.935403212368
2017-05-23,3480,3490,3410,3410,420420,BCG,-0.02011494252873558,3876.3044138582095,2480.6955861417905
2017-05-24,3470,3510,3420,3480,531000,BCG,0.02052785923753664,3833.3146624791343,2635.6853375208657
2017-05-25,3500,3510,3410,3410,608660,BCG,-0.02011494252873558,3786.172138293997,2770.827861706003
2017-05-26,3420,3420,3330,3340,884910,BCG,-0.02052785923753664,3733.635370160236,2891.364629839764
2017-05-29,3330,3350,3230,3240,631150,BCG,-0.029940119760479056,3683.969912743203,2986.030087256797
2017-05-30,3230,3270,3170,3250,443400,BCG,0.0030864197530864335,3656.516286212961,3042.483713787039
2017-05-31,3300,3300,3180,3230,413710,BCG,-0.006153846153846176,3639.304202247756,3077.695797752244
2017-06-01,3260,3260,3180,3230,141580,BCG,0.0,3597.9751642012843,3145.0248357987157
2017-06-02,3230,3340,3230,3270,314030,BCG,0.01238390092879249,3588.940579927656,3164.059420072344
2017-06-05,3300,3430,3300,3380,493730,BCG,0.033639143730886945,3588.358187974937,3163.641812025063
2017-06-06,3430,3450,3420,3450,673010,BCG,0.020710059171597628,3551.8773304937426,3183.1226695062574
2017-06-07,3680,3680,3580,3610,946660,BCG,0.04637681159420293,3579.924320272585,3167.075679727415
2017-06-08,3640,3640,3500,3540,415560,BCG,-0.01939058171745156,3585.7605276136846,3164.2394723863154
2017-06-09,3540,3580,3510,3580,481530,BCG,0.011299435028248483,3613.954143880382,3156.045856119618
2017-06-12,3580,3590,3530,3580,378990,BCG,0.0,3631.080899284864,3148.919100715136
2017-06-13,3580,3750,3580,3740,1091840,BCG,0.04469273743016755,3693.760462362181,3126.239537637819
2017-06-14,3780,3920,3770,3870,1243420,BCG,0.03475935828876997,3781.5662020510663,3090.4337979489337
