Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2018-02-21,26580,26580,22450,22450,81200,BCM,0.0,0.0,0.0
2018-02-22,23340,23340,22450,22450,28900,BCM,0.0,0.0,0.0
2018-02-23,22630,22630,20110,20650,37800,BCM,-0.08017817371937641,0.0,0.0
2018-02-26,19760,21820,17960,20560,21100,BCM,-0.004358353510895863,0.0,0.0
2018-02-27,22260,22260,17960,21540,34700,BCM,0.0476653696498055,0.0,0.0
2018-02-28,18320,19760,18320,19760,2300,BCM,-0.08263695450324982,0.0,0.0
2018-03-01,19840,20020,18940,20020,21100,BCM,0.013157894736842035,0.0,0.0
2018-03-02,19760,19760,18490,19480,24900,BCM,-0.026973026973026948,0.0,0.0
2018-03-05,19380,19670,19210,19480,35500,BCM,0.0,0.0,0.0
2018-03-06,20580,20580,18740,19840,4200,BCM,0.01848049281314168,0.0,0.0
2018-03-07,18740,18740,18290,18470,3000,BCM,-0.06905241935483875,0.0,0.0
2018-03-08,19210,19210,19210,19210,2100,BCM,0.04006497022198152,0.0,0.0
2018-03-09,19210,19210,16460,19110,36700,BCM,-0.005205622071837612,0.0,0.0
2018-03-12,18290,19110,17830,18740,7000,BCM,-0.019361590790162198,0.0,0.0
2018-03-13,18290,18290,17560,18110,15100,BCM,-0.03361792956243326,0.0,0.0
2018-03-14,17470,18020,17190,17190,11700,BCM,-0.05080066261733851,0.0,0.0
2018-03-15,16740,17830,16460,17650,29700,BCM,0.026759744037230915,0.0,0.0
2018-03-16,19110,19670,17830,18290,33500,BCM,0.036260623229461775,0.0,0.0
2018-03-19,18470,19380,18470,19380,14000,BCM,0.05959540732640778,0.0,0.0
2018-03-20,18290,19110,17470,18290,101100,BCM,-0.05624355005159953,0.0,0.0
2018-03-21,18740,18740,17470,18110,63600,BCM,-0.009841443411700346,21867.235384158856,16765.764615841144
2018-03-22,18290,20490,18110,20490,135400,BCM,0.13141910546659297,21404.704702217983,17032.295297782017
2018-03-23,20400,21770,20120,21490,97700,BCM,0.04880429477794035,21583.114690386683,16937.885309613317
2018-03-26,22220,22320,20760,21960,198500,BCM,0.021870637505816637,21878.962085258485,16782.037914741515
2018-03-27,21960,24510,19030,21960,362200,BCM,0.0,21978.16537648023,16724.83462351977
2018-03-28,21580,23970,20580,21860,433200,BCM,-0.004553734061930825,22299.106374438787,16613.893625561213
2018-03-29,21770,23140,21490,21770,272700,BCM,-0.004117108874656883,22553.441144132914,16534.558855867086
2018-03-30,22030,22860,22030,22770,46000,BCM,0.0459347726228756,23029.507527844526,16387.492472155474
2018-04-02,22860,23500,22860,23500,47800,BCM,0.03205972771190169,23615.190084181355,16203.809915818647
2018-04-03,23690,24690,23320,24050,49300,BCM,0.023404255319148914,24241.004731858484,15998.995268141518
2018-04-04,24050,24050,23410,23780,60400,BCM,-0.011226611226611172,24725.46993077141,16045.530069228591
2018-04-05,23780,24050,23410,23970,206800,BCM,0.007989907485281833,25195.38484106938,16051.615158930621
2018-04-06,23780,23970,23320,23590,70500,BCM,-0.015853149770546526,25538.269126699797,16156.730873300203
2018-04-09,23240,24510,23140,24230,71600,BCM,0.027130139889783855,25928.439846705664,16315.560153294336
2018-04-10,23140,23970,23140,23780,63800,BCM,-0.018572018159306647,26136.138329020723,16674.861670979277
2018-04-11,23780,23780,22860,23590,77400,BCM,-0.007989907485281722,26126.597476766445,17324.402523233555
2018-04-12,23500,23590,22860,23500,100200,BCM,-0.0038151759220008685,26059.690735323515,17976.309264676485
2018-04-13,23590,23780,23050,23590,36600,BCM,0.003829787234042481,25993.660857583178,18572.339142416822
2018-04-16,23410,23500,23410,23500,55000,BCM,-0.0038151759220008685,25983.280469567366,18994.719530432634
2018-04-17,23500,23500,22860,23500,58000,BCM,0.0,25684.91462148023,19814.08537851977
2018-04-18,23410,23500,23410,23500,10500,BCM,0.0,25052.17387352875,20985.82612647125
2018-04-19,22860,23410,22680,23410,30000,BCM,-0.003829787234042592,24838.302124542937,21491.697875457063
2018-04-20,23320,23500,23320,23500,20200,BCM,0.003844510892780928,24755.75467622145,21775.24532377855
2018-04-23,23320,23410,22860,22860,31600,BCM,-0.027234042553191506,24690.63731200917,21930.36268799083
2018-04-24,23320,23320,22860,22860,21100,BCM,0.0,24609.49322167223,22101.50677832777
2018-04-26,22860,22860,22770,22770,28200,BCM,-0.003937007874015741,24489.795664943565,22312.204335056435
2018-04-27,22860,22860,22860,22860,33200,BCM,0.0039525691699604515,24292.21918825846,22618.78081174154
2018-05-02,22860,23410,22860,23410,13900,BCM,0.024059492563429652,24263.66686350288,22711.33313649712
2018-05-03,23500,23500,23240,23320,1300,BCM,-0.003844510892780817,24258.045380333882,22698.954619666118
2018-05-04,23500,23500,23500,23500,4700,BCM,0.007718696397941649,24185.46306918721,22716.53693081279
2018-05-07,21960,21960,20210,21040,11900,BCM,-0.10468085106382974,24581.00276242789,22046.99723757211
2018-05-08,22770,22860,19210,22770,101600,BCM,0.0822243346007605,24504.60625298289,22003.39374701711
2018-05-09,22320,22320,20300,20300,300,BCM,-0.10847606499780416,24872.312104513516,21306.687895486484
2018-05-10,20490,22770,20490,21040,1400,BCM,0.03645320197044333,24842.223836270197,21017.776163729803
2018-05-11,21860,21860,21860,21860,100,BCM,0.03897338403041828,24758.63399117856,20909.36600882144
2018-05-14,21860,21860,21860,21860,0,BCM,0.0,24683.91808502191,20811.08191497809
2018-05-15,21490,21490,21490,21490,100,BCM,-0.016925892040256185,24624.959554692643,20669.040445307357
2018-05-16,21860,21860,20120,21770,10500,BCM,0.013029315960912058,24519.4602109541,20592.5397890459
2018-05-17,22860,22860,22860,22860,100,BCM,0.050068902158934225,24445.28498666906,20602.71501333094
2018-05-18,20400,20400,20300,20300,1100,BCM,-0.11198600174978124,24458.673244207777,20269.326755792223
2018-05-21,23320,23320,20120,20120,7100,BCM,-0.00886699507389166,24436.07563460048,19953.92436539952
2018-05-22,21490,21490,20120,20120,600,BCM,0.0,24371.452583885446,19689.547416114554
2018-05-23,23320,23320,23320,23320,100,BCM,0.1590457256461233,24341.0712965977,19701.9287034023
2018-05-24,23320,23320,23320,23320,0,BCM,0.0,24405.622402587367,19683.377597412633
2018-05-25,23320,23320,23320,23320,0,BCM,0.0,24468.573718151933,19666.426281848067
2018-05-28,19940,21490,19940,21490,4300,BCM,-0.07847341337907376,24394.47699696169,19612.52300303831
2018-05-29,20120,21960,20120,21960,8900,BCM,0.021870637505816637,24316.95945481366,19600.04054518634
2018-05-30,21490,21490,21490,21490,0,BCM,-0.021402550091074724,24131.41934629681,19593.58065370319
2018-05-31,21490,21490,21490,21490,0,BCM,0.0,23942.956721484097,19599.043278515903
2018-06-01,21490,21490,20120,20580,800,BCM,-0.04234527687296419,23702.965351010444,19547.034648989556
2018-06-04,21680,21680,19840,19840,3100,BCM,-0.035957240038872684,23772.337763007727,19357.662236992273
2018-06-05,21310,21310,21310,21310,100,BCM,0.07409274193548376,23630.603282518747,19353.396717481253
2018-06-06,22410,22410,19210,19210,92700,BCM,-0.09854528390427031,23743.811991036764,19131.188008963236
2018-06-07,22770,22770,18290,18290,52000,BCM,-0.04789172306090583,23982.014168493515,18617.985831506485
2018-06-08,21040,21040,18290,19210,9800,BCM,0.050300710770913026,23984.21351045859,18350.78648954141
2018-06-11,19210,19210,18740,18740,700,BCM,-0.024466423737636633,23997.998116523762,18025.001883476238
2018-06-12,19670,19670,18290,18290,2100,BCM,-0.024012806830309485,24053.419892814305,17649.580107185695
2018-06-13,19110,19110,18290,18290,300,BCM,0.0,24035.284239643755,17319.715760356245
2018-06-14,19030,19030,18740,18740,200,BCM,0.02460360852925092,23773.48288911375,17169.51711088625
2018-06-15,19210,19210,16460,18290,32400,BCM,-0.024012806830309485,23807.363775853773,16934.636224146227
2018-06-18,18290,18290,18290,18290,100,BCM,0.0,23833.17682830051,16725.82317169949
2018-06-19,18470,18470,17830,17830,555,BCM,-0.025150355385456513,23875.943276311293,16454.056723688707
2018-06-20,17380,17380,17380,17380,300,BCM,-0.025238362310712303,23470.59684116888,16265.403158831119
2018-06-21,18470,18470,18290,18290,200,BCM,0.05235903337169168,22908.98401666584,16324.015983334162
2018-06-22,18290,19840,18200,19840,15200,BCM,0.0847457627118644,22268.478591567888,16616.521408432112
2018-06-25,19940,19940,19940,19940,100,BCM,0.00504032258064524,22043.279298355574,16686.720701644426
2018-06-26,19940,19940,19940,19940,0,BCM,0.0,21683.027903931663,16844.972096068337
2018-06-27,19570,20120,19570,20120,5100,BCM,0.009027081243731194,21428.985840564033,16962.014159435967
