Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-26,5070,5070,5030,5050,2294890,HQC,0.0,0.0,0.0
2016-09-27,5050,5200,5030,5200,2479970,HQC,0.02970297029702973,0.0,0.0
2016-09-28,5200,5230,5180,5190,1788140,HQC,-0.0019230769230769162,0.0,0.0
2016-09-29,5190,5220,5180,5200,2446970,HQC,0.0019267822736031004,0.0,0.0
2016-09-30,5190,5200,5170,5180,1487270,HQC,-0.0038461538461538325,0.0,0.0
2016-10-03,5190,5200,5170,5180,1245320,HQC,0.0,0.0,0.0
2016-10-04,5180,5190,5130,5170,1562230,HQC,-0.0019305019305019266,0.0,0.0
2016-10-05,5180,5190,5170,5190,1250030,HQC,0.003868471953578423,0.0,0.0
2016-10-06,5200,5250,5190,5250,2280860,HQC,0.011560693641618602,0.0,0.0
2016-10-07,5270,5300,5270,5300,3759380,HQC,0.00952380952380949,0.0,0.0
2016-10-10,5300,5360,5300,5350,2425720,HQC,0.009433962264151052,0.0,0.0
2016-10-11,5350,5360,5200,5300,2761400,HQC,-0.009345794392523366,0.0,0.0
2016-10-12,5320,5340,5300,5310,3171780,HQC,0.0018867924528302993,0.0,0.0
2016-10-13,5310,5320,5200,5300,3914560,HQC,-0.0018832391713747842,0.0,0.0
2016-10-14,5290,5310,5270,5280,6113300,HQC,-0.0037735849056603765,0.0,0.0
2016-10-17,5290,5290,5250,5260,2118330,HQC,-0.0037878787878787845,0.0,0.0
2016-10-18,5250,5360,5250,5340,2557440,HQC,0.015209125475285079,0.0,0.0
2016-10-19,5360,5360,5200,5290,1867550,HQC,-0.009363295880149836,0.0,0.0
2016-10-20,5340,5340,4920,5200,1460140,HQC,-0.017013232514177745,0.0,0.0
2016-10-21,4840,5210,4840,5170,4330200,HQC,-0.005769230769230749,0.0,0.0
2016-10-24,5180,5270,5170,5200,2254600,HQC,0.005802707930367523,5361.844436133963,5124.155563866037
2016-10-25,5200,5270,5190,5250,2868670,HQC,0.009615384615384581,5362.713480453401,5128.286519546599
2016-10-26,5250,5280,5200,5270,2555330,HQC,0.003809523809523707,5364.299825783839,5134.700174216161
2016-10-27,5280,5300,5270,5290,1628970,HQC,0.00379506641366234,5367.736537664902,5140.263462335098
2016-10-28,5290,5330,5290,5310,2117620,HQC,0.003780718336483968,5371.400856624283,5149.599143375717
2016-10-31,5350,5350,4960,5160,979770,HQC,-0.02824858757062143,5373.600832599941,5145.399167400059
2016-11-01,5180,5200,5090,5140,2499260,HQC,-0.003875968992248069,5377.431989014668,5138.568010985332
2016-11-02,5200,5200,4900,5150,4841200,HQC,0.0019455252918287869,5381.123938556935,5130.876061443065
2016-11-03,5140,5150,5100,5150,3511900,HQC,0.0,5384.401649165217,5117.598350834783
2016-11-04,5150,5310,5150,5260,4017110,HQC,0.021359223300970953,5380.590273196767,5117.409726803233
2016-11-07,5260,5280,5190,5250,1358840,HQC,-0.0019011406844106071,5367.190908755475,5120.809091244525
2016-11-08,5150,5260,5150,5250,1103470,HQC,0.0,5362.044597556256,5120.955402443744
2016-11-09,5260,5260,5000,5000,848540,HQC,-0.04761904761904767,5381.871742147189,5070.128257852811
2016-11-10,5200,5250,5160,5160,1638030,HQC,0.03200000000000003,5373.518607293749,5064.481392706251
2016-11-11,5110,5240,4800,4850,4485120,HQC,-0.06007751937984496,5417.761208568371,4977.238791431629
2016-11-14,4950,5080,4900,5080,2697270,HQC,0.04742268041237119,5412.48883900766,4964.51116099234
2016-11-15,5100,5120,5000,5000,2422790,HQC,-0.015748031496062964,5398.504405243598,4944.495594756402
2016-11-16,4970,5000,4880,5000,3404010,HQC,0.0,5388.870653598077,4925.129346401923
2016-11-17,5000,5000,4850,4950,2656440,HQC,-0.010000000000000009,5392.167115297933,4896.832884702067
2016-11-18,4950,4950,4880,4950,991200,HQC,0.0,5394.8254675687,4872.1745324313
2016-11-21,4900,4960,4890,4890,949710,HQC,-0.012121212121212088,5397.8285189182825,4838.1714810817175
2016-11-22,4890,4930,4890,4920,1821640,HQC,0.006134969325153339,5387.106372477926,4815.893627522074
2016-11-23,5000,5000,4940,4970,3230430,HQC,0.010162601626016343,5366.591056622663,4806.408943377337
2016-11-24,4980,4980,4950,4960,1711920,HQC,-0.002012072434607659,5338.849400222503,4801.150599777497
2016-11-25,4970,4970,4890,4940,2521810,HQC,-0.0040322580645161255,5302.041413742319,4800.958586257681
2016-11-28,4920,4930,4800,4860,1938660,HQC,-0.01619433198380571,5295.055603304202,4777.944396695798
2016-11-29,4890,4900,4700,4710,3700880,HQC,-0.030864197530864224,5305.137898248401,4724.862101751599
2016-11-30,4710,4750,4390,4390,2996550,HQC,-0.06794055201698512,5368.003836298315,4585.996163701685
2016-12-01,4090,4090,4090,4090,1362180,HQC,-0.06833712984054674,5465.309523285892,4382.690476714108
2016-12-02,3810,3810,3810,3810,258920,HQC,-0.06845965770171147,5556.915480408532,4146.084519591468
2016-12-05,3550,3550,3550,3550,124910,HQC,-0.06824146981627299,5647.255925327783,3885.744074672217
2016-12-06,3310,3310,3310,3310,119190,HQC,-0.06760563380281692,5725.7286684236515,3613.2713315763485
2016-12-07,3080,3080,3080,3080,619830,HQC,-0.06948640483383683,5823.384394654162,3323.6156053458385
2016-12-08,2870,2870,2870,2870,1992650,HQC,-0.06818181818181823,5880.743999459818,3037.256000540182
2016-12-09,2670,2670,2670,2670,1647530,HQC,-0.06968641114982577,5957.283422424309,2742.7165775756907
2016-12-12,2490,2490,2490,2490,377460,HQC,-0.0674157303370787,5981.641391257386,2459.3586087426143
2016-12-13,2320,2320,2320,2320,201350,HQC,-0.06827309236947787,5991.926723860039,2181.0732761399613
2016-12-14,2160,2480,2160,2480,78778490,HQC,0.06896551724137923,5939.494441629385,1981.505558370615
2016-12-15,2650,2650,2310,2360,6608720,HQC,-0.048387096774193505,5872.037971229345,1789.9620287706548
2016-12-16,2280,2520,2230,2490,11978940,HQC,0.05508474576271194,5760.935459287506,1655.0645407124944
2016-12-19,2350,2510,2340,2400,20773180,HQC,-0.03614457831325302,5636.61738583063,1530.3826141693694
2016-12-20,2430,2450,2330,2360,17211480,HQC,-0.01666666666666672,5478.344284664542,1432.655715335458
2016-12-21,2380,2410,2350,2370,7825630,HQC,0.004237288135593209,5275.17151079355,1375.82848920645
