Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-08,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-09,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-12,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-13,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-14,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-15,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-16,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-19,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-20,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-21,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-22,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-23,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-26,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-27,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-28,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-29,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-09-30,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-10-03,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-10-04,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-10-05,8640,8640,8640,8640,0,KIP,0.0,0.0,0.0
2016-10-06,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-07,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-10,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-11,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-12,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-13,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-14,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-17,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-18,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-19,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-20,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-21,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-24,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-25,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-26,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-27,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-28,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-10-31,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-01,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-02,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-03,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-04,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-07,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-08,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-09,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-10,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-11,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-14,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-15,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-16,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-17,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-18,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-21,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-22,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-23,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-24,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-25,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-28,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-29,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-11-30,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-01,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-02,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-05,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-06,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-07,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-08,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-09,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-12,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-13,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-14,8640,8640,8640,8640,0,KIP,0.0,8640.0,8640.0
2016-12-15,9290,9290,9290,9290,100,KIP,0.0752314814814814,8955.828431330145,8389.171568669855
2016-12-16,9290,9290,9290,9290,0,KIP,0.0,9095.0,8315.0
2016-12-19,9290,9290,9290,9290,0,KIP,0.0,9201.692847855285,8273.307152144715
2016-12-20,9290,9290,9290,9290,0,KIP,0.0,9290.0,8250.0
2016-12-21,9290,9290,9290,9290,0,KIP,0.0,9365.416512459886,8239.583487540114
2016-12-22,9290,9290,9290,9290,0,KIP,0.0,9430.73484034426,8239.26515965574
2016-12-23,9290,9290,9290,9290,0,KIP,0.0,9487.560480921014,8247.439519078986
2016-12-26,9290,9290,9290,9290,0,KIP,0.0,9536.867333123626,8263.132666876374
2016-12-27,9290,9290,9290,9290,0,KIP,0.0,9579.241834119302,8285.758165880698
2016-12-28,9290,9290,9290,9290,0,KIP,0.0,9615.0,8315.0
2016-12-29,9290,9290,9290,9290,0,KIP,0.0,9644.241834119302,8350.758165880698
2016-12-30,9290,9290,9290,9290,0,KIP,0.0,9666.867333123626,8393.132666876374
2017-01-03,9290,9290,9290,9290,0,KIP,0.0,9682.560480921014,8442.439519078986
2017-01-04,9290,9290,9290,9290,0,KIP,0.0,9690.73484034426,8499.26515965574
2017-01-05,9290,9290,9290,9290,0,KIP,0.0,9690.416512459886,8564.583487540114
2017-01-06,9290,9290,9290,9290,0,KIP,0.0,9680.0,8640.0
2017-01-09,9290,9290,9290,9290,0,KIP,0.0,9656.692847855285,8728.307152144715
2017-01-10,9290,9290,9290,9290,0,KIP,0.0,9615.0,8835.0
2017-01-11,9290,9290,9290,9290,0,KIP,0.0,9540.828431330143,8974.171568669857
2017-01-12,9290,9290,9290,9290,0,KIP,0.0,9290.0,9290.0
2017-01-13,9290,9290,9290,9290,0,KIP,0.0,9290.0,9290.0
2017-01-16,9290,9290,9290,9290,0,KIP,0.0,9290.0,9290.0
2017-01-17,9290,9290,9290,9290,0,KIP,0.0,9290.0,9290.0
2017-01-18,9290,9290,9290,9290,0,KIP,0.0,9290.0,9290.0
2017-01-19,9290,9290,9290,9290,0,KIP,0.0,9290.0,9290.0
2017-01-20,9290,9290,9290,9290,0,KIP,0.0,9290.0,9290.0
2017-01-23,9290,9290,9290,9290,0,KIP,0.0,9290.0,9290.0
