Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-26,2100,2100,2000,2000,207959,KLF,0.0,0.0,0.0
2016-09-27,2100,2100,2000,2000,519182,KLF,0.0,0.0,0.0
2016-09-28,2000,2100,1900,2000,793649,KLF,0.0,0.0,0.0
2016-09-29,2000,2100,1900,2000,833201,KLF,0.0,0.0,0.0
2016-09-30,2000,2100,1900,2000,485073,KLF,0.0,0.0,0.0
2016-10-03,2000,2100,2000,2000,206293,KLF,0.0,0.0,0.0
2016-10-04,2100,2100,1900,1900,864810,KLF,-0.050000000000000044,0.0,0.0
2016-10-05,1900,2000,1900,2000,700110,KLF,0.05263157894736836,0.0,0.0
2016-10-06,2100,2200,2000,2100,1237880,KLF,0.050000000000000044,0.0,0.0
2016-10-07,2100,2200,2000,2200,772014,KLF,0.04761904761904767,0.0,0.0
2016-10-10,2100,2200,2000,2200,1068393,KLF,0.0,0.0,0.0
2016-10-11,2100,2200,2000,2100,962077,KLF,-0.045454545454545414,0.0,0.0
2016-10-12,2100,2300,2100,2100,2683450,KLF,0.0,0.0,0.0
2016-10-13,2200,2300,2100,2300,1680766,KLF,0.09523809523809534,0.0,0.0
2016-10-14,2300,2400,2200,2400,2401943,KLF,0.04347826086956519,0.0,0.0
2016-10-17,2400,2400,2200,2200,828542,KLF,-0.08333333333333337,0.0,0.0
2016-10-18,2200,2300,2100,2200,1306018,KLF,0.0,0.0,0.0
2016-10-19,2300,2400,2200,2200,1937577,KLF,0.0,0.0,0.0
2016-10-20,2200,2300,2200,2200,273471,KLF,0.0,0.0,0.0
2016-10-21,2300,2300,2200,2300,506080,KLF,0.045454545454545414,0.0,0.0
2016-10-24,2200,2300,2200,2200,1088760,KLF,-0.04347826086956519,2383.7715508089905,1876.2284491910095
2016-10-25,2300,2300,2100,2100,365754,KLF,-0.045454545454545414,2382.1841418861654,1887.8158581138343
2016-10-26,2200,2200,2100,2200,262047,KLF,0.04761904761904767,2385.6241883103194,1904.3758116896806
