Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-26,17570,17700,17230,17480,65030,LIX,0.0,0.0,0.0
2016-09-27,17510,18180,17510,18000,155860,LIX,0.029748283752860427,0.0,0.0
2016-09-28,18180,18610,18180,18580,214770,LIX,0.03222222222222215,0.0,0.0
2016-09-29,18760,18850,18250,18340,107530,LIX,-0.012917115177610294,0.0,0.0
2016-09-30,18340,18610,18090,18090,81590,LIX,-0.0136314067611778,0.0,0.0
2016-10-03,18250,18340,17840,17840,56780,LIX,-0.013819789939192972,0.0,0.0
2016-10-04,17940,18060,17170,17320,182720,LIX,-0.029147982062780242,0.0,0.0
2016-10-05,17320,17660,17320,17320,47360,LIX,0.0,0.0,0.0
2016-10-06,17320,17570,17010,17200,110980,LIX,-0.006928406466512715,0.0,0.0
2016-10-07,17260,17350,17110,17320,50030,LIX,0.006976744186046435,0.0,0.0
2016-10-10,17450,17480,17260,17410,76300,LIX,0.0051963048498844255,0.0,0.0
2016-10-11,17630,17630,17080,17170,103350,LIX,-0.01378518093049974,0.0,0.0
2016-10-12,17320,17530,17200,17530,60640,LIX,0.0209668025626093,0.0,0.0
2016-10-13,17410,17780,17410,17780,33110,LIX,0.01426126640045644,0.0,0.0
2016-10-14,17750,18000,17530,17660,65260,LIX,-0.006749156355455588,0.0,0.0
2016-10-17,17720,17720,17350,17530,27210,LIX,-0.007361268403170973,0.0,0.0
2016-10-18,17600,17780,17410,17570,84520,LIX,0.0022818026240729594,0.0,0.0
2016-10-19,17480,17600,17480,17510,30540,LIX,-0.0034149117814455954,0.0,0.0
2016-10-20,17480,17510,17320,17480,31080,LIX,-0.0017133066818960652,0.0,0.0
2016-10-21,17480,18090,17350,17780,179630,LIX,0.017162471395880896,0.0,0.0
2016-10-24,17840,17840,17660,17720,132790,LIX,-0.003374578177727794,18383.003273597027,16931.996726402973
2016-10-25,17720,17720,17410,17410,37840,LIX,-0.01749435665914223,18343.30692712989,16912.69307287011
2016-10-26,17410,17600,17410,17510,32920,LIX,0.005743825387708235,18141.720415711567,17007.279584288433
2016-10-27,17510,18090,17510,17840,81750,LIX,0.018846373500856606,18014.40751768497,17084.59248231503
2016-10-28,18030,18030,17810,18000,71100,LIX,0.008968609865470878,17990.219047211594,17099.780952788406
2016-10-31,18000,18000,17480,17910,32860,LIX,-0.0050000000000000044,18003.923978288363,17093.076021711637
2016-11-01,17780,17780,17630,17780,10340,LIX,-0.007258514796203208,18024.89938244334,17118.10061755666
2016-11-02,17530,17570,17230,17230,63140,LIX,-0.03093363329583798,18031.934403975443,17102.065596024557
2016-11-03,17320,17450,16890,17450,58590,LIX,0.012768427161926832,18016.923136105077,17142.076863894923
2016-11-04,17410,17410,17230,17230,13840,LIX,-0.012607449856733566,18024.68878126989,17125.31121873011
2016-11-07,17170,17320,17110,17290,39880,LIX,0.0034822983168891763,18030.384871880302,17107.615128119698
2016-11-08,17290,17320,17230,17260,28800,LIX,-0.001735106998264846,18020.77061159884,17126.22938840116
2016-11-09,17260,17260,16770,17260,74340,LIX,0.0,18027.54678910244,17092.45321089756
2016-11-10,17320,17780,17320,17720,82780,LIX,0.02665121668597914,18019.605663605624,17094.394336394376
2016-11-11,17720,17910,17630,17780,44760,LIX,0.003386004514672747,18033.83330383481,17092.16669616519
2016-11-14,17780,17780,17510,17660,76830,LIX,-0.006749156355455588,18041.918246895693,17097.081753104307
2016-11-15,17660,17940,17480,17940,92820,LIX,0.015855039637599155,18087.263457505156,17088.736542494844
2016-11-16,17940,18030,17780,17940,70590,LIX,0.0,18130.056433059857,17088.943566940143
