Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2022-07-28,11820,11820,9090,11820,793900,PCH,0.0,0.0,0.0
2022-07-29,12970,12970,11650,12970,1401600,PCH,0.09729272419627755,0.0,0.0
2022-08-01,14220,14220,11740,13640,1532500,PCH,0.05165767154973011,0.0,0.0
2022-08-02,13640,13880,12320,13470,651900,PCH,-0.012463343108504388,0.0,0.0
2022-08-03,13140,13230,11900,12150,698800,PCH,-0.09799554565701563,0.0,0.0
2022-08-04,12150,12150,10990,10990,425300,PCH,-0.09547325102880655,0.0,0.0
2022-08-05,10080,10500,9920,9920,515500,PCH,-0.09736123748862602,0.0,0.0
2022-08-08,9670,10580,9340,10000,158800,PCH,0.008064516129032251,0.0,0.0
2022-08-09,9920,10160,9840,9920,81000,PCH,-0.008000000000000007,0.0,0.0
2022-08-10,9920,9920,9590,9590,96800,PCH,-0.03326612903225812,0.0,0.0
2022-08-11,9670,9840,9420,9420,79300,PCH,-0.017726798748696537,0.0,0.0
2022-08-12,9420,9420,9250,9420,78900,PCH,0.0,0.0,0.0
2022-08-15,9420,9420,9250,9340,58700,PCH,-0.00849256900212314,0.0,0.0
2022-08-16,9340,9340,9010,9010,138000,PCH,-0.03533190578158463,0.0,0.0
2022-08-17,9010,9010,8510,8760,126900,PCH,-0.027746947835738056,0.0,0.0
2022-08-18,8760,8760,7940,8100,119500,PCH,-0.07534246575342463,0.0,0.0
2022-08-19,8100,8850,7850,8850,1337900,PCH,0.09259259259259256,0.0,0.0
2022-08-22,9670,9670,8680,9670,202200,PCH,0.09265536723163836,0.0,0.0
2022-08-23,9090,9670,9090,9170,89200,PCH,-0.05170630816959665,0.0,0.0
2022-08-24,8680,9010,8430,8680,140100,PCH,-0.05343511450381677,0.0,0.0
2022-08-25,8430,8850,8430,8680,67200,PCH,0.0,13330.430002328141,6844.569997671859
2022-08-26,8590,8680,8260,8350,113700,PCH,-0.03801843317972353,12897.087278799936,6815.912721200064
2022-08-29,8260,8260,7770,7940,111600,PCH,-0.049101796407185594,12177.625668497203,6965.374331502797
2022-08-30,8430,8430,7850,8020,25700,PCH,0.010075566750629816,11283.095763817864,7314.904236182136
2022-08-31,8020,8020,7770,7770,86200,PCH,-0.03117206982543641,10688.328324689955,7471.671675310045
2022-09-05,7850,8020,7520,7850,92900,PCH,0.01029601029601035,10358.647589069127,7487.352410930874
2022-09-06,7680,7850,7680,7770,68600,PCH,-0.010191082802547768,10258.392580894362,7372.607419105637
2022-09-07,7680,7680,7350,7350,185600,PCH,-0.05405405405405406,10152.912922590993,7213.087077409006
2022-09-08,7110,7270,7030,7030,53200,PCH,-0.0435374149659864,10060.85705404481,7016.142945955189
2022-09-09,7030,7190,6610,6690,129300,PCH,-0.0483641536273115,10035.368143305057,6751.631856694943
2022-09-12,6690,7350,6690,7030,34300,PCH,0.05082212257100149,9947.22921322812,6600.770786771879
2022-09-13,7270,7270,6770,7270,26300,PCH,0.03413940256045511,9807.356788388308,6525.643211611691
2022-09-14,6860,7110,6860,7110,35000,PCH,-0.022008253094910613,9664.503028888108,6445.496971111892
2022-09-15,6860,7190,6610,6950,67100,PCH,-0.02250351617440227,9567.507350648704,6336.492649351296
2022-09-16,6860,6860,6610,6690,56600,PCH,-0.037410071942446055,9508.310531355912,6188.689468644088
2022-09-19,7030,7030,6040,6120,105700,PCH,-0.08520179372197312,9566.271587184254,5932.728412815746
2022-09-20,6200,6200,5700,5780,76600,PCH,-0.05555555555555558,9529.901755519135,5662.098244480865
2022-09-21,5780,6040,5700,5950,28800,PCH,0.02941176470588225,9221.949226661716,5598.050773338284
2022-09-22,5780,6040,5780,5950,33900,PCH,0.0,8977.084488675247,5520.915511324753
