Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-26,11304,11304,10824,10824,18830,RDP,0.0,0.0,0.0
2016-09-27,11130,11173,10693,10912,23210,RDP,0.008130081300812941,0.0,0.0
2016-09-28,11130,11130,10606,10606,35420,RDP,-0.028042521994134928,0.0,0.0
2016-09-29,10606,11348,10039,10912,65850,RDP,0.028851593437676737,0.0,0.0
2016-09-30,10912,10912,10475,10737,13050,RDP,-0.01603739002932547,0.0,0.0
2016-10-03,10868,10912,10693,10912,3960,RDP,0.016298779919903028,0.0,0.0
2016-10-04,10693,10693,10606,10693,20570,RDP,-0.020069648093841597,0.0,0.0
2016-10-05,10606,10824,10606,10781,5860,RDP,0.008229682970167351,0.0,0.0
2016-10-06,10606,10912,10606,10737,9200,RDP,-0.004081254058065142,0.0,0.0
2016-10-07,10737,10737,10606,10650,3560,RDP,-0.008102822017323263,0.0,0.0
2016-10-10,10475,10650,10344,10475,14590,RDP,-0.016431924882629123,0.0,0.0
2016-10-11,10257,10431,10170,10431,6640,RDP,-0.004200477326968932,0.0,0.0
2016-10-12,10475,10475,10388,10475,3010,RDP,0.0042181957626306055,0.0,0.0
2016-10-13,10671,10671,10257,10344,8460,RDP,-0.012505966587112227,0.0,0.0
2016-10-14,10562,10562,10257,10257,9890,RDP,-0.00841067285382835,0.0,0.0
2016-10-17,10475,10737,10170,10606,13090,RDP,0.03402554353124687,0.0,0.0
2016-10-18,10650,10650,10257,10475,340,RDP,-0.01235149915142375,0.0,0.0
2016-10-19,10475,11130,10475,10912,83560,RDP,0.04171837708830539,0.0,0.0
2016-10-20,10868,11654,10868,11654,96800,RDP,0.06799853372434028,0.0,0.0
2016-10-21,11675,12003,11675,11828,105510,RDP,0.014930495967049984,0.0,0.0
2016-10-24,11959,11959,11392,11392,20920,RDP,-0.03686168413933044,11596.64947348843,9982.25052651157
2016-10-25,11304,11784,11304,11435,45350,RDP,0.0037745786516854007,11669.519762038566,9961.680237961435
2016-10-26,11130,11435,11130,11348,42450,RDP,-0.007608220376038477,11731.09446719569,9974.305532804312
2016-10-27,11130,11566,11130,11392,22380,RDP,0.0038773352132535077,11785.951582346712,9967.44841765329
2016-10-28,11261,11435,11261,11435,23620,RDP,0.0037745786516854007,11849.844616291508,9973.355383708493
2016-10-31,11348,12003,11304,12003,113550,RDP,0.04967205946655007,12018.115260833263,9914.184739166736
2016-11-01,11915,12046,11872,11959,39790,RDP,-0.0036657502291094213,12157.648293740953,9901.251706259049
2016-11-02,11959,12046,11872,11894,43960,RDP,-0.005435237059954856,12267.296075107677,9902.903924892324
