Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-26,11200,11900,11150,11900,2630,RIC,0.0,0.0,0.0
2016-09-27,11200,11950,11100,11100,10170,RIC,-0.0672268907563025,0.0,0.0
2016-09-28,10350,10350,10350,10350,10,RIC,-0.06756756756756754,0.0,0.0
2016-09-29,10350,10350,10350,10350,0,RIC,0.0,0.0,0.0
2016-09-30,10350,10350,10350,10350,0,RIC,0.0,0.0,0.0
2016-10-03,9650,9650,9650,9650,10,RIC,-0.06763285024154586,0.0,0.0
2016-10-04,9650,9650,9650,9650,0,RIC,0.0,0.0,0.0
2016-10-05,8980,8980,8980,8980,20,RIC,-0.0694300518134715,0.0,0.0
2016-10-06,8500,8500,8500,8500,10,RIC,-0.053452115812917644,0.0,0.0
2016-10-07,7920,7920,7920,7920,10,RIC,-0.06823529411764706,0.0,0.0
2016-10-10,8000,8470,8000,8020,190,RIC,0.012626262626262541,0.0,0.0
2016-10-11,8580,8580,8580,8580,10,RIC,0.06982543640897765,0.0,0.0
2016-10-12,9180,9180,9180,9180,120,RIC,0.06993006993007,0.0,0.0
2016-10-13,9820,9820,9210,9210,110,RIC,0.0032679738562091387,0.0,0.0
2016-10-14,9210,9210,9210,9210,500,RIC,0.0,0.0,0.0
2016-10-17,9210,9500,9210,9210,15800,RIC,0.0,0.0,0.0
2016-10-18,9850,9850,9000,9000,6930,RIC,-0.0228013029315961,0.0,0.0
2016-10-19,9000,9000,9000,9000,0,RIC,0.0,0.0,0.0
2016-10-20,8900,8900,8900,8900,10,RIC,-0.011111111111111072,0.0,0.0
2016-10-21,8280,9500,8280,9500,1620,RIC,0.0674157303370786,0.0,0.0
2016-10-24,9400,9400,9400,9400,80,RIC,-0.010526315789473717,10853.78173835005,7752.218261649951
2016-10-25,10050,10050,10050,10050,740,RIC,0.06914893617021267,10614.193147302574,7886.806852697426
2016-10-26,10050,10050,10050,10050,0,RIC,0.0,10556.415970075312,7914.584029924689
2016-10-27,10750,10750,9350,10300,3320,RIC,0.02487562189054726,10545.632469505459,7920.367530494541
2016-10-28,9580,9580,9580,9580,10,RIC,-0.06990291262135917,10415.818549764967,7973.1814502350335
2016-10-31,8930,8930,8930,8930,100,RIC,-0.06784968684759918,10366.362161010104,7950.6378389898955
2016-11-01,8930,8930,8930,8930,30,RIC,0.0,10312.405458429366,7932.594541570634
2016-11-02,9000,9000,8900,9000,710,RIC,0.007838745800671898,10312.958280058616,7934.041719941384
2016-11-03,8800,8800,8800,8800,10,RIC,-0.022222222222222254,10303.442487850794,7973.557512149205
2016-11-04,8990,8990,8990,8990,110,RIC,0.021590909090908994,10218.208555801402,8165.791444198598
2016-11-07,8800,8800,8800,8800,10,RIC,-0.021134593993325956,10127.122759447611,8334.877240552389
2016-11-08,8189,8370,8189,8200,870,RIC,-0.06818181818181823,10176.066387755533,8247.933612244467
2016-11-09,8010,8100,8000,8100,7300,RIC,-0.012195121951219523,10237.28865462396,8078.711345376039
2016-11-10,8100,8100,8000,8000,310,RIC,-0.012345679012345734,10288.245564761843,7906.754435238157
2016-11-11,8000,8000,7630,7630,3190,RIC,-0.04625000000000001,10367.978047246415,7669.021952753585
2016-11-14,7700,7900,7700,7800,1450,RIC,0.022280471821756187,10393.96818775518,7502.03181224482
2016-11-15,7800,7900,7280,7280,710,RIC,-0.06666666666666665,10479.758943724311,7244.241056275689
2016-11-16,7780,7780,7400,7400,1650,RIC,0.016483516483516425,10518.440036396305,7045.559963603696
2016-11-17,7780,7800,7330,7330,1910,RIC,-0.009459459459459474,10549.969875194285,6857.030124805715
2016-11-18,7840,7840,7840,7840,10,RIC,0.06957708049113243,10465.530894050287,6775.469105949714
2016-11-21,7870,8380,7870,8380,240,RIC,0.06887755102040827,10381.620029137142,6757.379970862858
2016-11-22,8380,8960,8380,8960,3890,RIC,0.06921241050119331,10207.341573087419,6822.6584269125815
2016-11-23,9500,9500,9500,9500,10,RIC,0.060267857142857206,10094.918738225979,6880.081261774021
2016-11-24,9990,9990,9990,9990,10,RIC,0.051578947368420947,10013.85083584632,6930.149164153679
2016-11-25,10000,10000,10000,10000,0,RIC,0.0010010010010010895,10104.509851040322,6881.490148959679
2016-11-28,10000,10000,10000,10000,0,RIC,0.0,10278.992712827387,6814.007287172613
2016-11-29,9300,9300,9300,9300,100,RIC,-0.06999999999999995,10321.217526390168,6808.782473609832
2016-11-30,8650,8650,8650,8650,490,RIC,-0.06989247311827962,10292.972715341033,6802.027284658967
2016-12-01,9250,9250,8060,8060,20,RIC,-0.06820809248554915,10264.34691464221,6756.65308535779
2016-12-02,8060,8060,7540,7540,370,RIC,-0.06451612903225812,10226.111853324617,6649.888146675383
2016-12-05,7540,7540,7540,7540,0,RIC,0.0,10196.137007476373,6553.862992523627
2016-12-06,7540,7540,7540,7540,0,RIC,0.0,10198.20688502117,6485.793114978829
2016-12-07,7080,7080,7080,7080,10,RIC,-0.06100795755968169,10225.403267160185,6356.596732839815
2016-12-08,7080,7080,7080,7080,0,RIC,0.0,10247.45349509046,6242.54650490954
2016-12-09,7570,7570,7570,7570,150,RIC,0.06920903954802249,10248.306058406843,6235.693941593157
