Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-26,13780,13780,13780,13780,500,SAS,0.0,0.0,0.0
2016-09-27,13340,13720,12590,12890,12400,SAS,-0.06458635703918725,0.0,0.0
2016-09-28,13720,14160,12890,13470,15400,SAS,0.04499612102404971,0.0,0.0
2016-09-29,13160,13530,12840,13210,15900,SAS,-0.019302152932442418,0.0,0.0
2016-09-30,13780,13780,13780,13780,100,SAS,0.043149129447388246,0.0,0.0
2016-10-03,13280,13580,13280,13580,2400,SAS,-0.014513788098693747,0.0,0.0
2016-10-04,13530,13530,13530,13530,0,SAS,-0.003681885125184081,0.0,0.0
2016-10-05,12890,13660,12890,13660,8800,SAS,0.009608277900960749,0.0,0.0
2016-10-06,13210,13210,13160,13160,3606,SAS,-0.03660322108345537,0.0,0.0
2016-10-07,12520,12970,12460,12460,10400,SAS,-0.05319148936170215,0.0,0.0
2016-10-10,12520,12520,12080,12210,190100,SAS,-0.0200642054574639,0.0,0.0
2016-10-11,13720,13970,11890,13090,55600,SAS,0.072072072072072,0.0,0.0
2016-10-12,13090,13090,12290,12840,4500,SAS,-0.01909854851031323,0.0,0.0
2016-10-13,12970,14280,12650,12790,6100,SAS,-0.003894080996884708,0.0,0.0
2016-10-14,12520,13160,12520,12840,14500,SAS,0.00390930414386248,0.0,0.0
2016-10-17,13090,13160,12650,12840,2900,SAS,0.0,0.0,0.0
2016-10-18,13020,13020,12400,12890,2100,SAS,0.003894080996884819,0.0,0.0
2016-10-19,12890,13090,12890,12890,29800,SAS,0.0,0.0,0.0
2016-10-20,14370,14690,13350,14690,18400,SAS,0.1396431342125679,0.0,0.0
2016-10-21,14690,14690,14370,14570,7600,SAS,-0.008168822328114334,0.0,0.0
2016-10-24,15320,15320,14240,15270,1200,SAS,0.04804392587508577,14835.599081591627,11830.400918408373
2016-10-25,14510,15010,14510,14760,5700,SAS,-0.03339882121807469,15036.112065064128,11816.887934935872
2016-10-26,15210,16480,15010,15770,13700,SAS,0.06842818428184283,15448.322225588952,11634.677774411048
2016-10-27,16290,16610,15840,16230,8700,SAS,0.02916930881420421,15921.48968144763,11463.51031855237
2016-10-28,16610,16610,16230,16350,500,SAS,0.007393715341959428,16333.623330306396,11308.376669693604
2016-10-31,15840,16610,15010,15010,6500,SAS,-0.08195718654434248,16454.521662671887,11330.478337328115
2016-11-01,15650,16610,15650,15910,900,SAS,0.059960026648900655,16712.442613237094,11310.557386762908
2016-11-02,15960,16610,15010,15960,11790,SAS,0.00314267756128217,16950.824875080772,11302.17512491923
2016-11-03,16230,16290,15720,15720,4200,SAS,-0.015037593984962405,17123.698320088733,11385.301679911267
2016-11-04,16100,16420,15650,16290,33100,SAS,0.03625954198473291,17321.798323944156,11570.201676055844
2016-11-07,16290,17370,16290,16860,69110,SAS,0.03499079189686927,17545.472444932115,11811.527555067887
2016-11-08,17510,19410,16930,18590,91500,SAS,0.10260972716488737,18189.598113469372,11717.401886530628
2016-11-09,19100,19160,17240,17880,50900,SAS,-0.03819257665411513,18527.821327024227,11883.178672975773
2016-11-10,18530,18530,17950,18150,45400,SAS,0.015100671140939603,18837.665721245023,12109.33427875498
2016-11-11,18530,20830,18530,19230,191220,SAS,0.05950413223140494,19306.471787278224,12279.528212721776
2016-11-14,19870,20690,19160,19800,91800,SAS,0.029641185647425905,19791.648709476172,12490.351290523828
2016-11-15,19800,20070,19480,19800,33800,SAS,0.0,20148.95969261097,12824.04030738903
2016-11-16,19160,20110,18590,19800,63050,SAS,0.0,20373.895537702945,13290.104462297053
2016-11-17,19610,20440,19480,20440,65010,SAS,0.03232323232323231,20847.810475268932,13391.189524731068
2016-11-18,21030,22350,20760,22290,216530,SAS,0.09050880626223101,21670.969841446466,13340.030158553534
2016-11-21,23320,24580,22350,22870,229100,SAS,0.026020637056976215,22525.502047413345,13245.497952586655
2016-11-22,22870,22870,20440,20630,85200,SAS,-0.09794490599038042,22732.87263765688,13625.127362343119
2016-11-23,19800,19800,17950,18270,119210,SAS,-0.11439650993698502,22721.72067926437,13886.27932073563
2016-11-24,17320,17620,16290,16480,94800,SAS,-0.0979748221127531,22712.0353485099,13920.9646514901
2016-11-25,16610,17880,16610,17880,28400,SAS,0.08495145631067968,22701.364422840765,14084.635577159233
2016-11-28,18530,18530,17620,18460,24500,SAS,0.032438478747203625,22584.820713752517,14546.179286247483
2016-11-29,18190,18190,16790,16930,58400,SAS,-0.08288190682556884,22524.078662036125,14708.921337963873
2016-11-30,16930,17370,16610,16610,16600,SAS,-0.01890135853514474,22477.675488990943,14820.324511009056
2016-12-01,16680,17240,16610,16790,27710,SAS,0.010836845273931361,22393.390813882204,15011.609186117796
2016-12-02,16610,17880,16540,17370,82100,SAS,0.03454437164979152,22334.500978199983,15178.499021800015
2016-12-05,17510,17820,17180,17580,45415,SAS,0.012089810017271052,22307.381932583234,15277.618067416766
2016-12-06,17820,18080,17370,17370,47855,SAS,-0.011945392491467532,22300.2548248654,15162.745175134603
2016-12-07,17370,17370,16610,16790,24500,SAS,-0.033390903857225096,22328.438620598743,15025.561379401257
2016-12-08,16790,16790,16610,16790,22995,SAS,0.0,22346.795607039,14871.204392961
2016-12-09,16790,17240,16730,16790,14605,SAS,0.0,22294.388081086567,14679.611918913433
2016-12-12,16860,16860,16350,16350,19605,SAS,-0.02620607504466943,22180.471934714486,14448.528065285516
2016-12-13,16350,16610,16020,16290,22702,SAS,-0.003669724770642202,22037.83521067511,14240.164789324888
2016-12-14,16020,16350,16020,16350,12508,SAS,0.0036832412523020164,21861.395505658664,14071.604494341338
2016-12-15,16170,16420,16020,16170,38909,SAS,-0.011009174311926606,21549.01422547388,13956.985774526122
2016-12-16,16290,17950,16230,17750,46510,SAS,0.09771181199752621,20701.962216399945,14350.037783600055
2016-12-19,17880,18530,17680,18020,56200,SAS,0.015211267605633738,19330.11940770629,15236.88059229371
2016-12-20,17880,18020,17880,17880,400,SAS,-0.007769145394006638,18540.408835313392,15751.59116468661
2016-12-21,17320,17880,17320,17320,10800,SAS,-0.031319910514541416,18398.0118314198,15798.9881685802
2016-12-22,16930,17580,16930,17370,12300,SAS,0.0028868360277136684,18415.41659844567,15870.583401554331
2016-12-23,17430,17430,17120,17120,7200,SAS,-0.014392630972941856,18331.678441972486,15878.321558027514
2016-12-26,17370,17580,17240,17430,6650,SAS,0.01810747663551404,18124.971418190915,15982.028581809087
2016-12-27,17240,17370,17050,17240,3400,SAS,-0.010900745840504822,18141.84481636444,15996.155183635561
2016-12-28,17320,17820,17240,17580,23400,SAS,0.019721577726218076,18190.66121808424,16044.338781915762
2016-12-29,17620,17680,17370,17680,31200,SAS,0.005688282138794021,18250.845259896945,16073.154740103055
2016-12-30,17620,17820,17370,17820,15000,SAS,0.007918552036199067,18307.664725229584,16061.335274770416
2017-01-03,17880,17880,17370,17370,28700,SAS,-0.025252525252525304,18286.05035857197,16061.949641428031
2017-01-04,17580,17820,17050,17370,46500,SAS,0.0,18286.05035857197,16061.949641428031
2017-01-05,17880,19480,17880,18710,72610,SAS,0.07714450201496836,18551.467908298935,15988.532091701065
2017-01-06,18330,18590,17880,18150,12610,SAS,-0.02993051843933725,18654.23098276862,16021.769017231381
2017-01-09,18020,18020,17580,17580,7400,SAS,-0.031404958677686,18672.828143753562,16082.17185624644
2017-01-10,17580,17820,17430,17580,22500,SAS,0.0,18647.220178609863,16230.779821390139
2017-01-11,17370,17580,17240,17370,16200,SAS,-0.011945392491467532,18581.59726253562,16404.40273746438
2017-01-12,17370,17580,17120,17580,12400,SAS,0.012089810017271052,18508.512054431205,16600.487945568795
2017-01-13,17580,17580,17240,17580,3600,SAS,0.0,18337.05336878639,16912.94663121361
2017-01-16,17120,17510,17120,17320,6100,SAS,-0.014789533560864654,18325.061501190332,16881.938498809668
2017-01-17,17180,17320,17120,17180,6610,SAS,-0.008083140877598205,18278.97543511959,16844.02456488041
2017-01-18,17180,17370,17180,17320,6500,SAS,0.008149010477299212,18242.732683962073,16824.267316037927
2017-01-19,16990,17320,16930,17050,37900,SAS,-0.01558891454965361,18254.7924877134,16785.2075122866
2017-01-20,17240,17320,17050,17120,24800,SAS,0.004105571847507372,18260.357888316277,16754.642111683723
2017-01-23,17240,17320,16610,16610,120300,SAS,-0.029789719626168276,18315.82492167124,16648.17507832876
2017-01-24,17240,17320,16100,17050,1424110,SAS,0.026490066225165476,18317.753765712703,16608.246234287297
2017-01-25,17050,17120,16930,17120,6700,SAS,0.004105571847507372,18319.57985137612,16594.42014862388
2017-02-02,17580,17580,17240,17580,6790,SAS,0.026869158878504606,18319.57985137612,16594.42014862388
2017-02-03,17820,17820,17120,17180,33900,SAS,-0.022753128555176305,18296.259220373173,16567.740779626827
2017-02-06,17320,17510,16610,16730,28820,SAS,-0.026193247962747357,18273.88998209487,16481.11001790513
2017-02-07,17050,17050,16610,16930,7500,SAS,0.011954572624028659,18272.89795072806,16438.10204927194
2017-02-08,16790,16860,16480,16610,62010,SAS,-0.01890135853514474,18290.61612873287,16344.38387126713
2017-02-09,16790,16790,16540,16610,30490,SAS,0.0,17996.818175232507,16428.181824767493
2017-02-10,16480,16610,16480,16540,18000,SAS,-0.004214328717639937,17841.861958411668,16422.138041588332
2017-02-13,16610,16790,16480,16540,44990,SAS,0.0,17803.215044091346,16356.784955908654
2017-02-14,16610,16610,16480,16540,27200,SAS,0.0,17749.487352626536,16306.512647373464
2017-02-15,16540,16540,16350,16540,44200,SAS,0.0,17719.91052624028,16253.089473759717
2017-02-16,16610,18150,16610,17750,200715,SAS,0.07315598548972191,17759.0287952689,16230.971204731099
2017-02-17,17750,17880,17370,17510,17100,SAS,-0.013521126760563384,17745.350780990542,16237.64921900946
2017-02-20,17510,17580,17240,17240,25800,SAS,-0.015419760137064586,17735.159681940953,16239.840318059047
2017-02-21,16990,17240,16930,17120,22500,SAS,-0.00696055684454755,17729.52281844253,16239.477181557471
2017-02-22,17240,17320,16990,17240,41000,SAS,0.007009345794392496,17719.106119660573,16241.893880339427
2017-02-23,17120,17320,16930,16930,24330,SAS,-0.01798143851508116,17712.699837442444,16236.300162557558
2017-02-24,16790,16990,16730,16730,15300,SAS,-0.011813349084465408,17697.388038696776,16212.611961303222
