Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-26,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-09-27,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-09-28,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-09-29,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-09-30,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-03,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-04,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-05,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-06,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-07,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-10,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-11,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-12,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-13,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-14,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-17,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-18,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-19,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-20,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-21,9080,9080,9080,9080,0,SDC,0.0,0.0,0.0
2016-10-24,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-10-25,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-10-26,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-10-27,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-10-28,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-10-31,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-01,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-02,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-03,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-04,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-07,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-08,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-09,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-10,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-11,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-14,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-15,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-16,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-17,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-18,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-21,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-22,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-23,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-24,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-25,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-28,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-29,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-11-30,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-12-01,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-12-02,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-12-05,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-12-06,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-12-07,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
2016-12-08,9080,9080,9080,9080,0,SDC,0.0,9080.0,9080.0
