Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,28910,28970,28550,28790,349770,VIC,0.0,0.0,0.0
2016-09-05,28850,28850,28550,28730,394080,VIC,-0.002084056964223646,0.0,0.0
2016-09-06,28970,29030,28730,28730,598070,VIC,0.0,0.0,0.0
2016-09-07,28850,28850,28430,28490,515100,VIC,-0.008353637312913276,0.0,0.0
2016-09-08,28790,28790,28550,28670,334150,VIC,0.006318006318006386,0.0,0.0
2016-09-09,29090,29330,28910,29270,918320,VIC,0.020927799093128696,0.0,0.0
2016-09-12,29990,29990,29330,29870,728040,VIC,0.020498804236419588,0.0,0.0
2016-09-13,29690,29930,29390,29450,393290,VIC,-0.014060930699698715,0.0,0.0
2016-09-14,29690,29690,28970,28970,801730,VIC,-0.016298811544991465,0.0,0.0
2016-09-15,29389,30418,29389,30271,824280,VIC,0.0449085260614428,0.0,0.0
2016-09-16,29903,31593,29903,31593,2866190,VIC,0.04367216147467867,0.0,0.0
2016-09-19,31593,31593,30859,31079,447860,VIC,-0.016269426771753248,0.0,0.0
2016-09-20,30638,31593,30455,31299,779080,VIC,0.0070787348370282555,0.0,0.0
2016-09-21,31593,32255,31299,32108,739790,VIC,0.02584747116521302,0.0,0.0
2016-09-22,32108,32622,32108,32328,1031190,VIC,0.006851874922137791,0.0,0.0
2016-09-23,32402,32585,32328,32585,464830,VIC,0.007949764909675805,0.0,0.0
2016-09-26,32585,33063,32108,32842,420940,VIC,0.007887064600276217,0.0,0.0
2016-09-27,32916,33761,32842,33761,362780,VIC,0.027982461482248366,0.0,0.0
2016-09-28,33393,33430,32328,32806,1071170,VIC,-0.028287076804596967,0.0,0.0
2016-09-29,32806,33026,32769,33026,218130,VIC,0.0067060903493263435,0.0,0.0
2016-09-30,32695,32916,31226,32695,170270,VIC,-0.010022406588748312,34406.11489701909,27451.18510298091
2016-10-03,32695,32695,31593,31593,1050750,VIC,-0.03370545955038995,34408.30329536777,27735.29670463223
2016-10-04,31593,32328,31446,32328,446930,VIC,0.02326464723198174,34448.8237761463,28054.5762238537
2016-10-05,32549,32695,32108,32181,254440,VIC,-0.004547141796584997,34391.36217215184,28481.137827848157
2016-10-06,32181,32181,31299,31373,797640,VIC,-0.025107982971318443,34241.60564002101,28901.194359978996
2016-10-07,31593,31887,31153,31446,250280,VIC,0.0023268415516526364,34135.09409954889,29225.305900451105
2016-10-10,31740,31740,30859,30932,286190,VIC,-0.01634548114227563,34072.49268979705,29394.107310202944
2016-10-11,31006,31226,30638,30932,307500,VIC,0.0,33937.091001060944,29677.708998939055
2016-10-12,30932,31446,30932,31006,164250,VIC,0.0023923444976077235,33644.82998360825,30173.57001639175
2016-10-13,31226,31667,30785,31593,1097150,VIC,0.0189318196478101,33549.52718817837,30401.072811821632
2016-10-14,31483,31887,31153,31593,628940,VIC,0.0,33549.52718817837,30401.072811821632
2016-10-17,31593,31667,31373,31593,542930,VIC,0.0,33532.04839897371,30469.95160102629
2016-10-18,31593,31593,31226,31520,320680,VIC,-0.0023106384325641827,33525.76469901034,30498.33530098966
2016-10-19,31483,32181,31373,32181,654870,VIC,0.020970812182741216,33530.67407238539,30500.725927614614
2016-10-20,32034,32034,31593,31814,331270,VIC,-0.011404244740685465,33500.3426101385,30479.657389861502
2016-10-21,31814,31814,31373,31593,751380,VIC,-0.006946627271012806,33434.39161978907,30446.40838021093
2016-10-24,31593,31593,31226,31593,587640,VIC,0.0,33319.467183386994,30436.432816613007
2016-10-25,31153,31483,31079,31373,555710,VIC,-0.006963567878960575,32925.92559936808,30591.174400631924
2016-10-26,31153,31446,30859,31189,434490,VIC,-0.005864915691836892,32764.928605216024,30590.471394783977
2016-10-27,31153,31520,30859,31446,1053560,VIC,0.008240084645227519,32495.503456728387,30701.896543271614
2016-10-28,31446,31740,31299,31483,711780,VIC,0.0011766202378680202,32280.97923648463,30795.220763515368
2016-10-31,31226,31777,31079,31226,980500,VIC,-0.008163135660515186,32274.336741203417,30765.163258796583
2016-11-01,31226,31483,31226,31410,207880,VIC,0.0058925254595529886,32131.67163996025,30816.02836003975
2016-11-02,31446,31740,31079,31079,481870,VIC,-0.010538045208532298,32011.838821341287,30825.661178658713
2016-11-03,30932,31446,30748,31153,488460,VIC,0.0023810289906367466,32011.882725483396,30803.617274516604
2016-11-04,30859,31373,30859,31153,166620,VIC,0.0,32006.94424734618,30779.25575265382
2016-11-07,31153,31483,31079,31410,195260,VIC,0.008249606779443308,31993.241615991068,30840.758384008932
2016-11-08,31373,31520,31299,31446,351360,VIC,0.0011461318051575464,31974.2408168711,30911.1591831289
2016-11-09,31520,31520,30859,31226,846210,VIC,-0.006996120333269684,31956.991207950225,30950.408792049777
2016-11-10,31446,31593,31299,31446,254060,VIC,0.007045410875552438,31945.566295807734,30947.133704192263
2016-11-11,31446,32328,31116,32328,1006070,VIC,0.02804808242701773,32111.57017431219,30854.629825687807
2016-11-14,32108,32916,31520,31520,1412440,VIC,-0.024993813412521604,32106.17018477148,30852.729815228522
2016-11-15,31593,31961,31263,31410,404110,VIC,-0.0034898477157360164,32101.080759889832,30846.81924011017
2016-11-16,31410,31814,31299,31373,465120,VIC,-0.0011779687997452992,31970.96844962747,30896.131550372527
2016-11-17,31299,31446,30895,31373,993910,VIC,0.0,31920.08489950056,30902.91510049944
2016-11-18,31593,31593,31079,31299,376190,VIC,-0.00235871609345617,31900.52317794598,30893.07682205402
2016-11-21,31226,31299,31006,31299,326180,VIC,0.0,31879.178223220446,30885.02177677955
2016-11-22,31153,31373,31153,31299,261260,VIC,0.0,31876.793980702016,30880.006019297987
2016-11-23,31299,31446,31263,31373,286930,VIC,0.00236429278890693,31878.4048084524,30896.795191547597
2016-11-24,31373,31373,30895,31226,619360,VIC,-0.004685557645108807,31871.52035722932,30881.679642770676
2016-11-25,31079,31226,30491,31226,1651400,VIC,0.0,31860.295617239746,30867.204382760254
2016-11-28,30712,31226,30197,31226,1107530,VIC,0.0,31860.295617239746,30867.204382760254
2016-11-29,31226,31226,30491,30491,986930,VIC,-0.023538077243322908,31942.31792608379,30693.28207391621
2016-11-30,30161,30859,29683,30859,1461410,VIC,0.012069135154635813,31955.053839171043,30658.546160828955
2016-12-01,30932,31006,30491,30859,701120,VIC,0.0,31966.44617222907,30617.75382777093
