Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-26,4680,4770,4610,4690,128950,VTO,0.0,0.0,0.0
2016-09-27,4690,4740,4630,4690,250470,VTO,0.0,0.0,0.0
2016-09-28,4710,4710,4630,4680,116170,VTO,-0.002132196162046962,0.0,0.0
2016-09-29,4710,4710,4570,4600,212010,VTO,-0.017094017094017144,0.0,0.0
2016-09-30,4600,4600,4520,4520,335440,VTO,-0.017391304347826098,0.0,0.0
2016-10-03,4490,4570,4490,4540,73170,VTO,0.004424778761061843,0.0,0.0
2016-10-04,4540,4570,4470,4470,51140,VTO,-0.01541850220264318,0.0,0.0
2016-10-05,4540,4560,4470,4490,62800,VTO,0.004474272930648837,0.0,0.0
2016-10-06,4540,4540,4490,4490,42330,VTO,0.0,0.0,0.0
2016-10-07,4520,4520,4480,4480,98140,VTO,-0.00222717149220486,0.0,0.0
2016-10-10,4490,4490,4470,4470,61560,VTO,-0.0022321428571429047,0.0,0.0
2016-10-11,4520,4520,4400,4410,129090,VTO,-0.01342281879194629,0.0,0.0
2016-10-12,4410,4540,4400,4400,76140,VTO,-0.0022675736961451642,0.0,0.0
2016-10-13,4400,4480,4390,4450,66750,VTO,0.011363636363636465,0.0,0.0
2016-10-14,4470,4580,4450,4520,69160,VTO,0.01573033707865168,0.0,0.0
2016-10-17,4520,4520,4450,4450,24410,VTO,-0.015486725663716783,0.0,0.0
2016-10-18,4470,4490,4400,4400,99420,VTO,-0.011235955056179803,0.0,0.0
2016-10-19,4450,4470,4400,4430,44210,VTO,0.006818181818181834,0.0,0.0
2016-10-20,4630,4670,4600,4600,99720,VTO,0.038374717832957206,0.0,0.0
2016-10-21,4600,4600,4490,4550,35000,VTO,-0.010869565217391353,0.0,0.0
2016-10-24,4550,4630,4470,4470,23080,VTO,-0.01758241758241763,4669.265075641908,4341.734924358092
2016-10-25,4470,4470,4410,4410,106370,VTO,-0.01342281879194629,4636.589627472124,4346.410372527876
2016-10-26,4350,4450,4350,4390,47690,VTO,-0.0045351473922902175,4600.142194230895,4353.857805769105
2016-10-27,4360,4440,4350,4390,25840,VTO,0.0,4581.439114317101,4351.560885682899
2016-10-28,4400,4400,4350,4390,35650,VTO,0.0,4576.79041056525,4343.20958943475
2016-10-31,4400,4400,4300,4350,47370,VTO,-0.009111617312072884,4570.579140569874,4330.420859430126
2016-11-01,4380,4380,4300,4300,103700,VTO,-0.011494252873563204,4578.323145503614,4305.676854496386
2016-11-02,4300,4300,4290,4290,45320,VTO,-0.0023255813953488857,4581.479095528436,4282.520904471564
2016-11-03,4260,4300,4230,4230,17410,VTO,-0.013986013986013957,4589.75128110793,4248.24871889207
2016-11-04,4230,4230,4160,4170,111740,VTO,-0.014184397163120588,4603.1271524617805,4203.8728475382195
2016-11-07,4170,4260,4070,4260,86260,VTO,0.021582733812949728,4599.5042372446605,4186.4957627553395
2016-11-08,4260,4290,4120,4170,27580,VTO,-0.021126760563380254,4608.938588220597,4153.061411779403
2016-11-09,4170,4170,3880,3970,196420,VTO,-0.04796163069544368,4649.015111868101,4069.9848881318994
2016-11-10,4200,4200,4010,4160,51880,VTO,0.04785894206549113,4643.831055949677,4046.1689440503233
2016-11-11,4070,4190,4070,4140,19750,VTO,-0.004807692307692291,4626.226581101671,4025.773418898328
2016-11-14,4070,4090,4050,4050,44800,VTO,-0.021739130434782594,4623.326330454941,3988.673669545059
2016-11-15,4040,4090,4010,4070,49600,VTO,0.004938271604938205,4619.619675269437,3959.380324730563
2016-11-16,4070,4090,4050,4050,36820,VTO,-0.004914004914004955,4609.703478755744,3931.2965212442564
