Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2020-04-23,9840,9840,9840,9840,2500,VW3,0.0,0.0,0.0
2020-04-24,9840,9840,9840,9840,0,VW3,0.0,0.0,0.0
2020-04-27,9840,9840,9840,9840,0,VW3,0.0,0.0,0.0
2020-04-28,9840,9840,9840,9840,0,VW3,0.0,0.0,0.0
2020-04-29,9270,9270,9270,9270,100,VW3,-0.057926829268292734,0.0,0.0
2020-05-04,9270,9270,9270,9270,0,VW3,0.0,0.0,0.0
2020-05-05,9270,9270,9270,9270,0,VW3,0.0,0.0,0.0
2020-05-06,9270,9270,9270,9270,1400,VW3,0.0,0.0,0.0
2020-05-07,9270,9270,9270,9270,0,VW3,0.0,0.0,0.0
2020-05-08,10630,10630,10630,10630,100,VW3,0.1467098166127292,0.0,0.0
2020-05-11,12190,12190,12190,12190,100,VW3,0.14675446848541873,0.0,0.0
2020-05-12,12190,12190,12190,12190,0,VW3,0.0,0.0,0.0
2020-05-13,12190,12190,12190,12190,0,VW3,0.0,0.0,0.0
2020-05-14,13990,13990,13990,13990,100,VW3,0.14766201804758006,0.0,0.0
2020-05-15,13990,13990,13990,13990,0,VW3,0.0,0.0,0.0
2020-05-18,16050,16050,16050,16050,100,VW3,0.1472480343102216,0.0,0.0
2020-05-19,16050,16050,16050,16050,0,VW3,0.0,0.0,0.0
2020-05-20,16050,16050,16050,16050,0,VW3,0.0,0.0,0.0
2020-05-21,16050,16050,16050,16050,0,VW3,0.0,0.0,0.0
2020-05-22,13690,18400,13690,18400,200,VW3,0.14641744548286595,0.0,0.0
2020-05-25,16050,16050,16050,16050,0,VW3,-0.12771739130434778,18475.570924377746,6494.429075622256
2020-05-26,16050,16050,16050,16050,0,VW3,0.0,18848.923741982715,6742.076258017285
2020-05-27,16050,16050,16050,16050,0,VW3,0.0,19158.243881404647,7053.756118595351
2020-05-28,16050,16050,16050,16050,0,VW3,0.0,19403.493485882544,7429.506514117456
2020-05-29,13690,13690,13690,13690,100,VW3,-0.14704049844236755,19314.206351397792,7960.793648602209
2020-06-01,15690,15690,11700,11700,500,VW3,-0.14536157779401027,19153.600633967264,8364.399366032736
2020-06-02,10630,10630,10630,10630,200,VW3,-0.09145299145299146,19024.222719876456,8629.777280123544
2020-06-03,9060,9060,9060,9060,1200,VW3,-0.147695202257761,19051.219763272915,8581.780236727087
2020-06-04,7700,7700,7700,7700,1600,VW3,-0.15011037527593818,19281.087948066495,8194.912051933505
2020-06-05,6560,8850,6560,8850,2300,VW3,0.14935064935064934,19440.434709983358,7857.565290016642
2020-06-08,6640,6640,6640,6640,0,VW3,-0.24971751412429377,19900.831589067904,6842.168410932095
2020-06-09,6640,6640,6640,6640,0,VW3,0.0,20242.95628745903,5945.043712540969
2020-06-10,6640,7490,6640,7490,3800,VW3,0.12801204819277112,20409.112317045357,5308.8876829546425
2020-06-11,7140,7560,7140,7560,4000,VW3,0.009345794392523255,20408.382733213602,4666.617266786398
2020-06-12,8410,8410,7140,7140,2000,VW3,-0.05555555555555558,20373.39959894355,4016.60040105645
2020-06-15,7640,7640,6420,6420,700,VW3,-0.10084033613445376,20059.563203690708,3367.436796309292
2020-06-16,7780,7780,7140,7140,1800,VW3,0.11214953271028039,19591.77462453183,2944.2253754681697
2020-06-17,7140,7140,7140,7140,100,VW3,0.0,19027.7370471547,2617.2629528453
2020-06-18,6990,6990,6990,6990,800,VW3,-0.021008403361344574,18368.08356210648,2370.91643789352
2020-06-19,6990,7780,6060,7780,1000,VW3,0.11301859799713876,17000.399957413534,2676.600042586466
