Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2017-08-03,12860,12860,12860,12860,100,YTC,0.0,0.0,0.0
2017-08-04,14770,14770,14770,14770,3000,YTC,0.1485225505443235,0.0,0.0
2017-08-07,14770,14770,14770,14770,500,YTC,0.0,0.0,0.0
2017-08-08,14770,14770,12570,12570,5500,YTC,-0.14895057549085988,0.0,0.0
2017-08-09,15110,15420,15110,15420,10000,YTC,0.22673031026252977,0.0,0.0
2017-08-10,13810,13810,13380,13380,1500,YTC,-0.13229571984435795,0.0,0.0
2017-08-11,13600,13600,13600,13600,500,YTC,0.01644245142002987,0.0,0.0
2017-08-14,13380,13380,13380,13380,500,YTC,-0.016176470588235348,0.0,0.0
2017-08-15,13380,13380,13380,13380,0,YTC,0.0,0.0,0.0
2017-08-16,13160,13160,13160,13160,500,YTC,-0.01644245142002987,0.0,0.0
2017-08-17,12950,12950,12950,12950,500,YTC,-0.015957446808510634,0.0,0.0
2017-08-18,13160,13160,13160,13160,2500,YTC,0.016216216216216273,0.0,0.0
2017-08-21,12950,12950,12740,12740,1200,YTC,-0.03191489361702127,0.0,0.0
2017-08-22,12950,14680,12950,14680,67700,YTC,0.152276295133438,0.0,0.0
2017-08-23,12950,12950,12740,12740,5500,YTC,-0.13215258855585832,0.0,0.0
2017-08-24,12950,12950,12950,12950,5000,YTC,0.016483516483516425,0.0,0.0
2017-08-25,12950,12950,12950,12950,0,YTC,0.0,0.0,0.0
2017-08-28,12950,12950,12950,12950,0,YTC,0.0,0.0,0.0
2017-08-29,12950,12950,12950,12950,0,YTC,0.0,0.0,0.0
2017-08-30,11660,11660,11660,11660,100,YTC,-0.09961389961389966,0.0,0.0
2017-08-31,11660,11660,11660,11660,0,YTC,0.0,15189.377201717298,11392.622798282702
2017-09-01,11660,11660,11660,11660,0,YTC,0.0,15033.303730631806,11237.696269368194
2017-09-05,13380,13380,13380,13380,1500,YTC,0.14751286449399648,14815.278708496733,11316.721291503267
2017-09-06,13810,13810,13810,13810,5000,YTC,0.032137518684603794,14890.414253233332,11365.585746766668
